"cont","iso3","int","pa","alt","slope","ddefor","dedge","driver","droad","dtown","Vrho"
"America","HND",-1.3,-0.446,-0.653,-0.227,-0.453,-2.96,-0.00987,NA,NA,3.1
"America","HTI",-0.0764,-0.113,-0.00402,-0.0723,-0.619,-1.16,-0.0728,-0.159,-0.0613,1.8
"America","JAM",-1.73,-0.0529,-0.273,-0.126,-2.32,-4.97,-0.018,-0.0611,-0.0533,2.36
"America","KNA",-1.82,-0.115,-0.599,-0.358,-0.451,-1.72,NA,NA,NA,4.44
"America","LCA",-1.02,-0.0325,-0.384,-0.155,-0.772,-3.03,NA,-0.0931,-0.0585,2.44
"America","MAF",-1.57,-0.83,NA,-0.309,-0.294,-0.931,NA,-0.0329,NA,3.65
"America","MEX",-0.635,-0.339,-0.204,-0.177,-1.42,-3.07,NA,-0.0589,-0.0231,3.1
"America","MSR",-6.8,NA,-0.73,NA,-1.03,-6.9,-0.531,NA,NA,9.34
"America","MTQ",-1.02,NA,-0.257,-0.36,-0.447,-3.53,-0.117,-0.166,-0.0261,1.69
"America","NIC",-1.49,NA,-0.208,-0.12,-0.849,-2.81,NA,-0.0287,NA,2.93
"America","PAN",-4.03,-0.249,-0.0536,-0.199,-3.58,-6.69,NA,-0.463,NA,2.49
"America","PER",-2.75,-0.639,-0.533,-0.37,-3.56,-5.7,-0.0899,-0.472,-0.483,5.12
"America","PRI",0.15,NA,-0.125,-0.269,-0.188,-0.54,NA,-0.0167,-0.0826,2.46
"America","PRY",-0.211,-0.0378,-0.0776,-0.2,-0.411,-0.661,NA,-0.0603,NA,3.88
"America","SLV",-0.331,-0.313,-0.298,-0.151,-0.65,-2.26,-0.00623,-0.108,-0.168,4.76
"America","SUR",-1.66,NA,-0.395,-0.026,-0.297,-2.71,NA,-0.25,-0.241,7.46
"America","SXM",-0.796,NA,NA,-0.32,-0.477,-0.804,-0.33,-0.103,-0.238,7.45
"America","TTO",-3.5,-0.23,-0.0695,-0.0864,-2.62,-7.32,NA,-0.0992,-0.091,1.39
"America","VCT",-1.75,NA,-0.69,-0.124,-1.9,-4.51,NA,NA,-0.0698,1.62
"America","VEN",-4.89,-0.0863,-0.32,-0.124,-1.88,-11.1,-0.0364,-0.183,-0.32,4.22
"America","VGB",0.402,-0.0509,NA,-0.145,-0.93,-0.632,NA,NA,NA,14.1
"America","VIR",0.0448,-0.56,NA,-0.156,NA,-0.241,NA,-0.0829,NA,7.77
"Asia","AUS-QLD",-0.752,-0.289,NA,-0.129,-0.677,-2.85,NA,NA,NA,5.68
"Asia","BGD",-0.211,-0.311,-0.12,-0.104,-1.05,-1.32,-0.0611,-0.0473,NA,2.93
"Asia","BRN",-0.538,-1.39,-1.35,-0.276,-1.98,-1.42,NA,-0.642,-0.55,24.1
"Asia","BTN",-0.446,-0.0564,NA,NA,-0.74,-1.84,NA,-0.0133,-0.0164,0.83
"Asia","FJI",-1.44,-0.137,-0.383,-0.116,-1.87,-6.73,NA,NA,NA,5.03
"Asia","IDN",-1.68,-0.549,-0.332,-0.51,-1.68,-2.8,0.00391,-0.407,-0.146,5.97
"Asia","IND-AND",-4.14,-0.0454,-0.331,-0.234,-1.6,-11.4,NA,-0.0738,NA,6.1
"Asia","IND-WEST",-0.237,-0.24,-0.445,-0.037,-0.612,-2.37,NA,-0.114,-0.0719,2.11
"Asia","IND-EAST",-0.773,-0.104,-0.207,-0.169,-1.12,-2.15,NA,-0.173,NA,1.8
"Asia","KHM",-0.604,-0.115,-1.14,-0.258,-0.77,-0.326,NA,-0.446,-0.35,9.56
"Asia","LAO",-0.337,-0.446,-0.32,-0.301,-1.43,-0.969,NA,-0.172,-0.214,2.79
"Asia","LKA",-0.153,-0.327,-0.169,-0.281,-0.875,-1.74,-0.027,-0.271,-0.0442,1.67
"Asia","MMR",-0.669,-0.231,-0.412,-0.143,-1.4,-1.84,-0.0708,-0.143,-0.0752,2.39
"Asia","MYS",-0.324,-0.679,-0.664,-0.445,-0.576,-1.9,-0.000235,-0.328,-0.0214,5.75
"Asia","NCL",-2.21,-0.172,-0.377,-0.115,NA,-9.51,NA,-0.0235,-0.0712,3.49
"Asia","PHL",-1.94,-0.211,-0.19,-0.358,-2.48,-3.24,-0.0102,-0.119,-0.11,2.51
"Asia","PNG",-2.42,-0.136,-0.529,-0.422,-0.0744,-5.52,-0.0448,-0.256,-0.0504,5.98
"Asia","SGP",-0.452,-1.07,-0.156,-0.206,-1.65,-1.73,NA,-0.606,NA,6.39
"Asia","SLB",-1.43,-0.0822,-1,-0.456,NA,-1.21,-0.0436,-0.144,NA,6.68
"Asia","THA",-1.91,-0.0825,-0.807,-0.033,-2.14,-4.92,NA,-0.0229,-0.0101,2
"Asia","TLS",-0.703,-0.169,-0.293,-0.103,-0.688,-2.19,-0.0344,-0.0467,-0.0843,2.22
"Asia","VNM",-1.2,-0.512,-0.416,-0.274,-1.66,-1.36,NA,-0.166,NA,3.6
"Asia","VUT",-2.88,NA,NA,-0.429,-3.26,-1.59,-0.408,NA,NA,21.4
"Brazil","BRA-AC",-2.69,-0.572,NA,NA,-6.31,-2.7,-0.077,-0.456,-0.207,4.24
"Brazil","BRA-AL",0.545,-0.104,-0.364,-0.0392,-0.463,-1.92,-0.0691,-0.138,-0.208,4.37
"Brazil","BRA-AM",-4.21,-0.458,-0.0937,NA,-2.19,-5.92,-0.181,-0.549,-0.458,10.7
"Brazil","BRA-AP",-4.13,-0.174,-0.842,NA,-2.05,-6.64,NA,-0.0663,-0.336,5.01
"Brazil","BRA-BA",1.35,-0.2,-0.314,-0.162,-0.498,-1.71,NA,-0.0203,-0.0492,3.26
"Brazil","BRA-CE",0.972,-0.704,-1.08,NA,-0.0233,-1.95,NA,NA,NA,12
"Brazil","BRA-ES",-0.98,NA,-0.837,NA,-0.608,-1.45,-0.0759,-0.0277,NA,2.83
"Brazil","BRA-GO",0.175,-0.124,-0.055,NA,-0.4,-0.536,-0.0743,NA,-0.00261,2.89
"Brazil","BRA-MA",-1.76,-0.124,NA,-0.076,-2.2,-5.47,NA,NA,-0.135,2.98
"Brazil","BRA-MG",0.025,-0.347,-0.439,NA,-0.477,-1.1,-0.0244,0.000192,-0.0488,3.07
"Brazil","BRA-MS",-0.248,-0.0889,-0.246,NA,-0.147,-1.72,NA,NA,0.0225,3.13
"Brazil","BRA-MT",-0.721,-0.332,NA,-0.00778,-0.247,-2.53,NA,-0.234,-0.237,9.97
"Brazil","BRA-PA",-1.89,-0.887,NA,-0.0579,-0.587,-4.36,-0.0269,-0.475,-0.507,7.43
"Brazil","BRA-PB",2.75,-0.485,NA,NA,-0.739,-1.64,NA,NA,-0.163,3.84
"Brazil","BRA-PE",4.24,-0.436,-0.636,-0.0962,-0.614,-2.25,NA,-0.112,-0.0871,3.85
"Brazil","BRA-PI",0.139,-0.0151,NA,NA,-0.147,-0.971,-0.0522,-0.0129,-0.102,2.92
"Brazil","BRA-PR",-0.932,-0.124,NA,-0.188,-0.699,-3.14,-0.0718,NA,NA,2.28
"Brazil","BRA-RJ",-0.468,-0.322,-0.224,NA,-1.03,-3.44,-0.112,-0.0408,-0.0144,2.96
"Brazil","BRA-RN",0.935,-0.431,NA,NA,-1.1,-0.816,NA,-0.0488,NA,17.6
"Brazil","BRA-RO",-1.08,-1.26,NA,-0.0365,-0.172,-3.02,-0.0637,-0.278,-0.284,6.38
"Brazil","BRA-RR",-1.59,-0.74,-0.639,NA,-1.18,-3.97,NA,NA,-0.888,7.08
"Brazil","BRA-RS",-0.348,-0.306,-0.129,-0.439,-0.588,-2.34,-0.0719,NA,NA,1.42
"Brazil","BRA-SC",-0.746,-0.17,NA,-0.508,-0.79,-2.13,NA,NA,NA,2.06
"Brazil","BRA-SE",0.704,NA,NA,NA,-0.725,-1.59,-0.0925,NA,NA,3.44
"Brazil","BRA-SP",-1.57,-0.269,-0.16,-0.241,-1.35,-5.05,NA,NA,-0.031,3.07
"Brazil","BRA-TO",-0.203,0.0453,NA,NA,-0.234,-0.291,-0.0498,NA,NA,4.28
