"cont","iso3","mod","D","AUC","OA","EA","FOM","Sen","Spe","TSS","K"
"Africa","UGA","icar",52,92,85,50,73,85,85,69,69
"Africa","UGA","glm",40,88,81,50,68,81,81,62,62
"Africa","ZMB","icar",28,82,74,50,58,73,74,47,47
"Africa","ZMB","glm",10,71,65,50,48,65,65,31,31
"America","ATG","icar",24,83,75,52,52,68,79,48,48
"America","ATG","glm",19,79,71,52,46,63,76,39,39
"America","BHS","icar",38,88,79,50,66,79,79,59,59
"America","BHS","glm",11,72,66,50,49,66,66,32,32
"America","BLZ","icar",44,90,81,50,68,81,81,63,63
"America","BLZ","glm",27,82,74,50,58,74,74,47,47
"America","BOL","icar",47,91,83,50,71,83,83,66,66
"America","BOL","glm",33,87,79,50,65,79,79,57,57
"America","BRB","icar",22,80,73,50,57,73,73,45,45
"America","BRB","glm",22,79,72,50,57,72,72,45,45
"America","COL","icar",59,94,87,50,77,87,87,74,74
"America","COL","glm",49,92,85,50,75,85,85,71,71
"America","CRI","icar",45,90,83,50,71,83,83,66,66
"America","CRI","glm",42,90,82,50,70,82,82,64,64
"America","CUB","icar",29,83,75,50,60,75,75,50,50
"America","CUB","glm",12,74,68,50,51,68,68,35,35
"America","DMA","icar",10,71,65,50,48,65,65,30,30
"America","DMA","glm",4,63,59,50,42,59,60,19,19
"America","DOM","icar",28,82,74,50,59,74,75,49,49
"America","DOM","glm",22,80,72,50,56,72,72,44,44
"America","ECU","icar",62,95,88,50,78,88,88,75,75
"America","ECU","glm",54,93,86,50,75,86,86,72,72
"America","GLP","icar",35,89,81,50,67,80,81,61,61
"America","GLP","glm",32,88,80,50,67,80,80,61,61
"America","GRD","icar",44,90,83,50,71,83,83,66,66
"America","GRD","glm",44,90,83,50,71,83,83,66,66
"America","GTM","icar",32,84,76,50,61,76,76,51,51
"America","GTM","glm",24,81,73,50,58,73,73,47,47
"America","GUF","icar",71,97,92,50,85,92,92,84,84
"America","GUF","glm",61,96,90,50,82,90,90,81,81
"America","GUY","icar",59,95,89,50,80,89,89,77,77
"America","GUY","glm",48,94,88,50,78,88,88,75,75
"America","HND","icar",29,82,74,50,59,74,74,48,48
"America","HND","glm",17,76,69,50,53,69,69,39,39
"America","HTI","icar",20,79,71,50,56,71,71,43,43
"America","HTI","glm",12,72,67,50,50,67,67,34,34
"America","JAM","icar",34,86,78,50,64,78,78,56,56
"America","JAM","glm",25,82,75,50,59,74,75,49,49
"America","KNA","icar",33,87,82,59,52,68,87,55,55
"America","KNA","glm",31,85,78,59,45,62,84,46,46
"America","LCA","icar",34,88,81,50,68,81,81,62,62
"America","LCA","glm",32,88,80,50,67,80,80,61,61
"America","MAF","icar",10,74,70,56,38,55,78,33,33
"America","MAF","glm",12,73,70,56,37,54,77,31,31
"America","MEX","icar",27,81,73,50,58,73,74,47,47
"America","MEX","glm",17,77,70,50,54,70,70,40,40
"America","MSR","icar",34,90,87,77,34,51,92,43,43
"America","MSR","glm",32,88,87,77,33,50,92,42,42
"America","MTQ","icar",26,85,77,50,63,77,77,55,55
"America","MTQ","glm",24,85,77,50,63,77,77,54,54
"America","NIC","icar",32,84,76,50,62,76,76,52,52
"America","NIC","glm",20,80,72,50,56,72,72,44,44
"America","PAN","icar",49,91,84,50,72,84,84,67,67
"America","PAN","glm",43,90,82,50,70,82,83,65,65
"America","PER","icar",61,95,89,50,80,89,89,78,78
"America","PER","glm",52,94,87,50,77,87,87,74,74
"America","PRI","icar",14,75,69,50,52,68,69,37,37
"America","PRI","glm",8,72,66,50,49,66,66,32,32
"America","PRY","icar",23,79,72,50,56,72,72,43,43
"America","PRY","glm",9,69,64,50,47,64,64,29,29
"America","SLV","icar",29,83,75,50,59,74,75,49,49
"America","SLV","glm",23,81,73,50,58,73,73,47,47
"America","SUR","icar",59,94,88,50,79,88,88,76,76
"America","SUR","glm",47,92,86,50,75,86,85,71,71
"America","SXM","icar",11,77,72,54,44,61,79,40,40
"America","SXM","glm",15,76,72,54,44,61,78,39,39
"America","TTO","icar",45,91,84,50,72,84,84,68,68
"America","TTO","glm",44,92,84,50,72,84,84,68,68
"America","VCT","icar",50,93,86,50,75,86,86,72,72
"America","VCT","glm",49,93,86,50,75,86,86,72,72
"America","VEN","icar",65,96,90,50,82,90,90,80,80
"America","VEN","glm",59,95,89,50,81,89,89,79,79
"America","VGB","icar",27,85,77,50,63,77,77,54,54
"America","VGB","glm",19,79,73,50,58,73,73,46,46
"America","VIR","icar",9,71,66,50,49,65,66,31,31
"America","VIR","glm",1,53,51,50,34,51,52,3,3
"Asia","AUS-QLD","icar",41,88,80,50,67,80,80,60,60
"Asia","AUS-QLD","glm",23,82,74,50,59,74,74,48,48
"Asia","BGD","icar",33,85,76,50,62,76,76,53,53
"Asia","BGD","glm",23,82,74,50,58,74,74,47,47
"Asia","BRN","icar",49,93,86,50,75,86,86,71,71
"Asia","BRN","glm",36,89,81,50,69,81,82,63,63
"Asia","BTN","icar",25,83,76,50,61,76,76,52,52
"Asia","BTN","glm",23,82,76,50,61,76,76,52,52
"Asia","FJI","icar",53,93,86,50,75,86,86,71,71
"Asia","FJI","glm",45,91,84,50,73,84,84,68,68
"Asia","IDN","icar",50,90,82,50,70,82,82,65,65
"Asia","IDN","glm",35,87,79,50,65,79,79,57,57
"Asia","IND-AND","icar",46,91,84,50,72,84,84,68,68
"Asia","IND-AND","glm",39,90,82,50,70,82,83,65,65
"Asia","IND-WEST","icar",33,85,76,50,62,76,76,53,53
"Asia","IND-WEST","glm",24,82,74,50,58,74,74,48,48
"Asia","IND-EAST","icar",30,84,75,50,60,75,75,50,50
"Asia","IND-EAST","glm",25,82,74,50,59,74,74,48,48
"Asia","KHM","icar",53,93,85,50,74,85,85,70,70
"Asia","KHM","glm",27,83,76,50,61,76,76,51,51
"Asia","LAO","icar",29,83,74,50,59,74,75,49,49
"Asia","LAO","glm",22,81,73,50,58,73,74,47,47
"Asia","LKA","icar",26,82,74,50,59,74,74,48,48
"Asia","LKA","glm",22,81,73,50,58,73,73,47,47
"Asia","MMR","icar",29,83,75,50,60,75,75,49,49
"Asia","MMR","glm",22,82,74,50,58,74,74,47,47
"Asia","MYS","icar",40,88,80,50,67,80,80,60,60
"Asia","MYS","glm",26,83,75,50,60,75,75,51,51
"Asia","NCL","icar",44,89,82,50,69,82,82,64,64
"Asia","NCL","glm",36,87,78,50,64,78,78,56,56
"Asia","PHL","icar",40,88,80,50,66,80,80,59,59
"Asia","PHL","glm",32,86,78,50,64,78,78,56,56
"Asia","PNG","icar",49,92,85,50,73,85,85,69,69
"Asia","PNG","glm",36,90,82,50,70,82,82,65,65
"Asia","SGP","icar",31,86,77,50,63,78,77,55,55
"Asia","SGP","glm",31,85,77,50,63,77,77,54,54
"Asia","SLB","icar",48,92,84,50,72,84,84,68,68
"Asia","SLB","glm",34,88,81,50,67,80,81,61,61
"Asia","THA","icar",38,87,79,50,65,79,79,58,58
"Asia","THA","glm",32,86,78,50,64,78,78,56,56
"Asia","TLS","icar",25,81,73,50,57,73,73,46,46
"Asia","TLS","glm",19,78,71,50,55,71,71,42,42
"Asia","VNM","icar",34,85,77,50,63,77,77,54,54
"Asia","VNM","glm",21,81,74,50,58,73,74,47,47
"Asia","VUT","icar",61,95,89,50,80,89,89,78,78
"Asia","VUT","glm",11,60,55,50,37,54,56,10,10
"Brazil","BRA-AC","icar",57,93,86,50,76,86,86,73,73
"Brazil","BRA-AC","glm",52,92,85,50,74,85,85,70,70
"Brazil","BRA-AL","icar",26,82,74,50,59,74,74,48,48
"Brazil","BRA-AL","glm",19,79,71,50,55,71,71,43,43
"Brazil","BRA-AM","icar",69,96,91,50,83,91,91,81,81
"Brazil","BRA-AM","glm",52,93,86,50,75,86,86,72,72
"Brazil","BRA-AP","icar",66,96,91,50,83,91,91,81,81
