"cont","year","fc","perc"
"Asia",2084,125565003,57.734961346298
"Africa",2085,144856486,47.3236509071918
"America",2085,461004668,32.9290519871518
"Asia",2085,123859185,58.3091377647558
"Africa",2086,143783568,47.7138122639705
"America",2086,458783393,33.2522222940677
"Asia",2086,122153367,58.8833141832136
"Africa",2087,142710650,48.1039736207492
"America",2087,456562118,33.5753926009837
"Asia",2087,120448533,59.4571593883791
"Africa",2088,141637732,48.4941349775279
"America",2088,454340843,33.8985629078996
"Asia",2088,118743888,60.0309409763574
"Africa",2089,140564814,48.8842963343066
"America",2089,452119568,34.2217332148156
"Asia",2089,117039243,60.6047225643357
"Africa",2090,139491896,49.2744576910854
"America",2090,449898293,34.5449035217315
"Asia",2090,115334598,61.178504152314
"Africa",2091,138418978,49.6646190478641
"America",2091,447677018,34.8680738286474
"Asia",2091,113629953,61.7522857402923
"Africa",2092,137346060,50.0547804046428
"America",2092,445460403,35.190566158442
"Asia",2092,111925308,62.3260673282706
"Africa",2093,136273142,50.4449417614215
"America",2093,443251415,35.5119488462828
"Asia",2093,110220663,62.8998489162489
"Africa",2094,135200224,50.8351031182002
"America",2094,441042568,35.8333110202236
"Asia",2094,108532266,63.4681614457186
"Africa",2095,134127306,51.225264474979
"America",2095,438833721,36.1546731941644
"Asia",2095,106930530,64.0073039801477
"Africa",2096,133055539,51.6150072762654
"America",2096,436624874,36.4760353681052
"Asia",2096,105328794,64.5464465145769
"Africa",2097,132052914,51.9796069291189
"America",2097,434416027,36.797397542046
"Asia",2097,103727058,65.0855890490061
"Africa",2098,131050289,52.3442065819724
"America",2098,432207180,37.1187597159868
"Asia",2098,102125322,65.6247315834352
"Africa",2099,130047664,52.7088062348259
"America",2099,429998333,37.4401218899276
"Asia",2099,100523586,66.1638741178644
"Africa",2100,129045039,53.0734058876794
"America",2100,427790430,37.7613467225803
"Asia",2100,98921850,66.7030166522936
"Africa",2101,128042414,53.4380055405329
"America",2101,425582803,38.0825314003649
"Asia",2101,97320114,67.2421591867227
"Africa",2102,127039789,53.8026051933864
"America",2102,423375215,38.403710404092
"Asia",2102,95718378,67.7813017211519
"Africa",2103,126037164,54.1672048462399
"America",2103,421181674,38.7228457287153
"Asia",2103,94116642,68.3204442555811
"Africa",2104,125034539,54.5318044990934
"America",2104,418988133,39.0419810533387
