area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Brazil,Brazil – Parana,PR,low,11893114,7575301,10816475,14027981,20440859,23662288,26892691,33878466,41564961,45702981,49961757,58810590,69126053,1,1
America,Brazil,Brazil – Parana,PR,mean,11893114,11171114,16157551,21144852,31784396,38119134,44768274,59720583,78296335,88841128,100099110,126914738,163602913,1,2
America,Brazil,Brazil – Parana,PR,high,11893114,14730801,21500894,28695332,46498221,57141991,69461928,99008857,138541535,163602913,163602913,163602913,163602913,1,3
America,Brazil,Brazil – Pernambouco,PE,low,197747,106839,150886,194121,284100,328755,372563,646325,1159285,1535557,1970805,2996791,2996791,1,1
America,Brazil,Brazil – Pernambouco,PE,mean,197747,208729,306518,402213,849444,1502038,2364515,2996791,2996791,2996791,2996791,2996791,2996791,1,2
America,Brazil,Brazil – Pernambouco,PE,high,197747,313885,462339,783930,2996791,2996791,2996791,2996791,2996791,2996791,2996791,2996791,2996791,1,3
America,Brazil,Brazil – Piaui,PI,low,813160,342630,511818,715469,1109337,1296816,1483323,2171021,2292741,2292741,2292741,2292741,2292741,1,1
America,Brazil,Brazil – Piaui,PI,mean,813160,845620,1292076,1718334,2292741,2292741,2292741,2292741,2292741,2292741,2292741,2292741,2292741,1,2
America,Brazil,Brazil – Piaui,PI,high,813160,1352602,2000508,2292741,2292741,2292741,2292741,2292741,2292741,2292741,2292741,2292741,2292741,1,3
America,Brazil,Brazil – Rio de Janeiro,RJ,low,1707418,286475,464269,658341,1084352,1316779,1549289,2432387,3868802,4840277,5919614,8352672,12218576,1,1
America,Brazil,Brazil – Rio de Janeiro,RJ,mean,1707418,1378965,2276028,3275685,6108834,8674400,11613686,19521348,32220659,40193354,46667398,52746949,52746949,1,2
America,Brazil,Brazil – Rio de Janeiro,RJ,high,1707418,2720429,4542697,7001862,16258789,23296950,32831745,52746949,52746949,52746949,52746949,52746949,52746949,1,3
America,Brazil,Brazil – Rio Grande do Norte,RN,low,38699,28866,43485,56492,82371,94570,107078,279003,379162,379162,379162,379162,379162,1,1
America,Brazil,Brazil – Rio Grande do Norte,RN,mean,38699,46006,66989,87263,333614,379162,379162,379162,379162,379162,379162,379162,379162,1,2
America,Brazil,Brazil – Rio Grande do Norte,RN,high,38699,61706,89408,229945,379162,379162,379162,379162,379162,379162,379162,379162,379162,1,3
America,Brazil,Brazil – Rio Grande do Sul,RS,low,4823721,2725844,4027559,5361492,8144289,9586150,11064718,14461396,18463911,20743686,23157071,28359686,34789245,1,1
America,Brazil,Brazil – Rio Grande do Sul,RS,mean,4823721,3999506,6001080,8084150,12854687,16004564,19489355,28030784,39668065,46488612,53725981,70253655,94751116,1,2
America,Brazil,Brazil – Rio Grande do Sul,RS,high,4823721,5304678,8054651,11174308,20092512,26136670,33622764,52485230,76392592,91705121,103244394,103244394,103244394,1,3
America,Brazil,Brazil – Rondonia,RO,low,127749844,110540010,159584288,207184335,305292753,359083313,415966180,538598373,667564506,734597983,802802963,941673914,1086210544,1,1
