"area_cont","area_ctry","area_name","area_code","alt_m","alt_sd","slope_m","slope_sd","ddefor_m","ddefor_sd","dedge_m","dedge_sd","driver_m","driver_sd","droad_m","droad_sd","dtown_m","dtown_sd"
"America","Panama","Panama","PAN",296.679925948164,403.467994506699,8.58400880616431,7.70366681019269,895.3022,1620.74885513386,508.2141,929.614391458647,2441.4266,2274.99403234488,16132.37135,16854.1569608715,11428.962,8167.13440674126
"America","Paraguay","Paraguay","PRY",225.6957,86.7775715196959,2.9359,2.89808749618723,175.6725,207.122021089818,90.50475,113.450332861296,7533.4893,6676.35889053212,6307.79495,4949.52944710827,13431.68505,8522.42013140641
"America","Peru","Peru","PER",566.41891,674.440870624914,6.65209,8.89157574522606,2030.74086,3703.25328898736,1497.49925,2730.53539664568,5484.11224,5274.00101670728,34672.95788,39908.7226898318,20150.38844,18350.510851076
"America","Puerto Rico","Puerto Rico","PRI",309.371889239397,239.334241318563,9.69610935856993,7.24804356969799,153.6092,246.476964075856,95.78495,145.208349542085,1805.50975,3106.68439341703,535.983,1180.85316895088,5352.7777,2652.2451240586
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",333.603280592248,210.594423345112,14.3345187980839,8.57443192509199,687.197119907374,587.219959528643,278.658368912367,299.580870695255,3349.89232216513,1876.19950148857,1164.79115710254,698.751823480791,1684.78992691222,819.666399931088
"America","Saint Lucia","Saint Lucia","LCA",156.055452587286,121.846940325747,11.2824725742624,7.50532702363975,469.3914,655.751304683963,209.76185,311.503376309552,1373.7604,1277.09923440372,1273.8908,1290.22363806713,1902.82085,1160.78759936856
"America","Saint Martin","Saint Martin","MAF",190.032335907336,106.688596943143,15.7648005148005,7.74870957883894,121.142765376586,82.4913063604465,63.8932070017665,46.4946794510863,2859.02649751084,1357.99638225197,615.524490123655,405.831425598231,2215.00642363899,1514.72209243324
"America","Saint Vincent","Saint Vincent","VCT",246.72124095349,214.934556502823,13.9017662837188,7.56789402405603,701.888338833883,959.994993341693,159.814431443144,249.372805328007,4601.36668666867,9646.44463344989,1651.39718971897,1652.18644931969,2444.74117411741,1629.98985397286
"America","Sint Maarten","Sint Maarten","SXM",165.932026688907,71.143423450013,18.1930775646372,6.1141827874844,108.415070774355,89.5966461784692,55.7169025811823,35.5276141566173,1400.87260616153,507.955914182329,583.163197335554,234.510682740258,1606.36303080766,414.268644182926
"America","Suriname","Suriname","SUR",111.654463993006,107.371603828311,3.28998652242014,3.65940480497876,1486.04651416916,1915.11791729574,1199.41542216071,1645.00049486183,4219.690209077,3468.57134762125,54412.5005099439,61438.7242315368,31272.0623588548,27370.1679977332
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",92.3217147435898,108.189933992136,5.36929086538462,6.39444361598751,429.3924,744.97213800018,341.56225,633.452871137179,4572.79755,3583.73796062889,1820.96655,1912.47617346905,3825.2657,2657.5890519006
"America","Venezuela","Venezuela","VEN",416.404681728674,456.657193943546,6.92227025389464,8.11041757901254,1241.51872392981,2220.95655036966,961.393528767506,1760.06686495329,8520.04963530865,8107.11102127721,73951.661699252,89919.2622490975,27419.6846293664,25979.6686135576
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",160.100045729384,117.351026043721,17.5684670494385,7.90148948681886,137.943571785893,128.533417363374,66.8536768384192,69.4512913145862,8826.3951975988,11027.6331466796,1368.78884442221,2333.30365219552,5418.432016008,4090.05638963012
"America","Virgin Isl. US","Virgin Isl. US","VIR",133.331577881304,88.3899556642043,13.4199412598744,7.39921539561784,187.894144707235,222.045380182303,80.2822141107055,104.818538683685,NA,NA,424.511375568778,490.343173400908,4883.39011950598,2913.55582523642
"Africa","Angola","Angola","AGO",722.99604980249,387.72892954573,5.24026201310066,5.05823938044806,289.61965,728.038856458021,127.48675,309.153660214009,10791.98385,8715.84111098308,11277.42315,11578.1291261843,21406.8214,16008.8481941996
"Africa","Benin","Benin","BEN",45.4961201501877,72.6258034860695,1.0022027534418,1.120592521759,248.8098,348.19481990057,47.87855,39.3866216524819,6600.4811,6539.299069362,2153.55175,2545.30563256362,3122.47345,2439.78409846393
"Africa","Burundi","Burundi","BDI",1773.85705,513.341323371703,13.5066,8.31105950679613,192.4349,299.387417743774,155.57185,260.464378413246,4266.69,3589.19832249904,1915.38695,1596.54189751513,3832.1751,1979.53333047219
"Africa","Cameroon","Cameroon","CMR",584.598419845383,295.483740695288,4.41740293942741,4.57579184343481,1449.98772615306,2497.37569777227,927.281979954133,1780.52188823587,8326.10027180837,8350.29051963215,7040.21585407288,8755.52330494518,6490.68175061582,6833.65761415143
"Africa","CAR","CAR","CAF",559.91565,107.434095795164,2.55455,2.03256755460752,593.59475,1367.41604278074,394.9752,1124.26789107379,13117.6931,10740.1148471447,13535.1778,15875.6168687467,12865.83235,13160.1407842742
