"cont","iso3","mod","D","AUC","OA","EA","FOM","Sen","Spe","TSS","K","nfor","ndefor"
"Africa","TGO","glm",9,70,65,50,48,65,65,29,29,10000,10000
"Africa","TGO","rf",76,70,64,50,47,64,64,28,28,10000,10000
"Africa","TZA","icar",46,90,82,50,70,82,82,64,64,9978,9973
"Africa","TZA","glm",32,86,78,50,64,78,78,56,56,9978,9973
"Africa","TZA","rf",85,89,81,50,68,81,81,61,61,9978,9973
"Africa","UGA","icar",53,93,85,50,74,85,85,71,71,10000,10000
"Africa","UGA","glm",42,89,82,50,69,82,82,63,63,10000,10000
"Africa","UGA","rf",86,90,82,50,70,82,82,64,64,10000,10000
"Africa","ZMB","icar",33,85,76,50,61,76,76,52,52,10000,10000
"Africa","ZMB","glm",11,75,68,50,51,68,68,36,36,10000,10000
"Africa","ZMB","rf",79,78,72,50,56,72,72,43,43,10000,10000
"America","ATG","icar",34,87,80,54,56,72,84,56,56,9876,5777
"America","ATG","glm",25,81,74,54,48,65,80,44,44,9876,5777
"America","ATG","rf",70,84,76,53,52,68,81,49,49,9876,5777
"America","BHS","icar",39,88,80,50,66,80,80,59,59,9910,9932
"America","BHS","glm",17,78,71,50,55,71,71,42,42,9910,9932
"America","BHS","rf",82,82,74,50,59,74,74,48,48,9910,9932
"America","BLZ","icar",40,89,80,50,67,80,80,60,60,9999,9999
"America","BLZ","glm",24,81,72,50,57,72,72,45,45,9999,9999
"America","BLZ","rf",83,88,79,50,65,79,79,58,58,9999,9999
"America","BOL","icar",47,91,83,50,71,83,83,66,66,30485,30485
"America","BOL","glm",34,87,79,50,65,79,79,58,58,30485,30485
"America","BOL","rf",85,90,82,50,70,82,82,64,64,30485,30485
"America","BRB","icar",14,76,69,51,46,63,74,37,37,9964,7004
"America","BRB","glm",13,74,68,51,44,61,72,34,34,9964,7004
"America","BRB","rf",82,86,78,51,57,73,81,54,54,9964,7004
"America","COL","icar",56,93,86,50,75,86,86,72,72,49998,49996
"America","COL","glm",43,90,83,50,71,83,83,66,66,49998,49996
"America","COL","rf",89,94,87,50,76,87,87,73,73,49998,49996
"America","CRI","icar",44,90,82,50,69,82,82,64,64,9992,9987
"America","CRI","glm",40,89,81,50,68,81,81,62,62,9992,9987
"America","CRI","rf",86,90,82,50,70,82,82,65,65,9992,9987
"America","CUB","icar",27,82,74,50,59,74,74,48,48,9946,9934
"America","CUB","glm",12,73,66,50,50,66,66,33,33,9946,9934
"America","CUB","rf",79,79,71,50,55,71,71,42,42,9946,9934
"America","DMA","icar",47,92,85,50,74,85,85,71,71,9991,9870
"America","DMA","glm",44,91,85,50,73,85,85,69,69,9991,9870
"America","DMA","rf",88,93,86,50,75,86,86,72,72,9991,9870
"America","DOM","icar",24,80,73,50,57,73,73,45,45,9994,9995
"America","DOM","glm",18,78,71,50,55,71,71,41,41,9994,9995
"America","DOM","rf",79,79,72,50,56,72,72,44,44,9994,9995
"America","ECU","icar",51,92,84,50,73,84,84,69,69,14901,14903
"America","ECU","glm",47,91,84,50,72,84,83,67,67,14901,14903
"America","ECU","rf",87,92,84,50,73,84,84,69,69,14901,14903
"America","GLP","icar",43,90,81,50,69,81,81,63,63,9972,9926
