"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Brazil","Brazil – Rio Grande do Norte","RN",32473,28177,25817,23795,22471,76,335,185,484,484,2.1,17631,14964,0,0,0,0,0,0,0,0,0,2039
"America","Brazil","Brazil – Rio Grande do Sul","RS",2586364,2414616,2228175,2127260,2063991,6507,23907,11154,36660,36660,1.8,1697391,1513843,1304615,805244,520660,220448,0,0,0,0,0,2064
"America","Brazil","Brazil – Rondonia","RO",16553658,14786157,13841285,13213886,12506829,13802,134715,107663,161768,161768,1.2,10889149,10080061,9245293,7494842,6584719,5658966,3729807,1644917,544911,0,0,2088
"America","Brazil","Brazil – Roraima","RR",16747771,16439654,16250552,16095866,15523023,21985,60430,17340,103521,103521,0.7,14487813,13969961,13426428,12258446,11639558,11005041,9658351,8155931,7347161,6411684,3931655,2114
"America","Brazil","Brazil – Santa Catarina","SC",2997830,2705430,2510129,2409351,2339719,2292,19694,15202,24186,24186,1,2097859,1976681,1829823,1455192,1232978,995136,441797,0,0,0,0,2077
"America","Brazil","Brazil – Sao Paulo","SP",3071448,2881552,2795470,2688417,2644314,2832,15839,10289,21389,21389,0.8,2430424,2323232,2190359,1843697,1635469,1411612,886242,205142,0,0,0,2083
"America","Brazil","Brazil – Sergipe","SE",75640,68152,62689,58368,55226,224,794,355,1234,1234,2.2,42886,36469,4370,0,0,0,0,0,0,0,0,2041
"America","Brazil","Brazil – Tocantins","TO",1770972,1581455,1368198,1157649,932765,9001,44567,26926,62209,62209,5.9,310675,0,0,0,0,0,0,0,0,0,0,2035
"America","Colombia","Colombia","COL",70288882,68461983,67016729,65435709,64205391,18215,295620,259919,331320,331320,0.5,60892191,59235591,57578991,54265791,52609191,50952591,47639391,44326191,42669591,41012991,37699791,2213
"America","Costa Rica","Costa Rica","CRI",2432832,2356545,2289463,2178989,2117271,2033,18618,14633,22604,22604,1,1891231,1778211,1665191,1439151,1326131,1213111,987071,761031,648011,534991,308951,2113
"America","Cuba","Cuba","CUB",1566658,1446283,1334451,1273577,1203791,2561,15251,10232,20270,20270,1.6,1001091,899741,798391,595691,494341,392991,190291,0,0,0,0,2079
"America","Dominica","Dominica","DMA",70674,70565,70000,69111,67462,65,220,93,347,347,0.5,63992,62257,60522,57052,55317,53582,50112,46642,44907,43172,39702,2214
"America","Dominican Rep.","Dominican Rep.","DOM",1266228,1142089,1017578,911636,866469,3001,15492,9610,21373,21373,2.3,652739,545874,439009,225279,118414,11549,0,0,0,0,0,2060
"America","Ecuador","Ecuador","ECU",15490598,15235859,14964214,14662498,14380353,9226,62028,43944,80111,80111,0.5,13579243,13178688,12778133,11977023,11576468,11175913,10374803,9573693,9173138,8772583,7971473,2199
"America","El Salvador","El Salvador","SLV",132516,119075,110921,103620,96781,236,1619,1157,2081,2081,2.1,75971,65566,55161,34351,23946,13541,0,0,0,0,0,2066
"America","French Guiana","French Guiana","GUF",8120655,8109002,8092691,8078458,8065771,241,2941,2469,3413,3413,0,8031641,8014576,7997511,7963381,7946316,7929251,7895121,7860991,7843926,7826861,7792731,4383
