"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Brazil","Brazil – Rio Grande do Sul","RS",2533050,2379768,2213848,2121504,2073850,2348,14004,9402,18607,14004,0.7,1933810,1863790,1793770,1642874,1551142,1456592,1248096,997155,862738,728321,448564,2112
"America","Brazil","Brazil – Rondonia","RO",16500312,14727169,13800306,13190813,12435992,11227,136426,114420,158431,136426,1,11071732,10389602,9707472,8332355,7628513,6921854,5489138,4013976,3267449,2520923,1016946,2107
"America","Brazil","Brazil – Roraima","RR",16714804,16413642,16228110,16077545,15592631,21902,63551,20622,106479,63551,0.4,14957121,14639366,14321611,13675244,13335778,12993493,12289527,11543116,11160964,10778812,10003585,2161
"America","Brazil","Brazil – Santa Catarina","SC",2933889,2651378,2484865,2402215,2354689,1626,13020,9833,16208,13020,0.5,2224489,2159389,2094289,1953232,1866421,1776791,1578135,1337034,1207537,1078040,808123,2119
"America","Brazil","Brazil – Sao Paulo","SP",3029457,2855477,2781321,2682038,2652706,3026,12862,6930,18794,12862,0.5,2524086,2459776,2395466,2255989,2169967,2081127,1884051,1644530,1515823,1387116,1118779,2122
"America","Brazil","Brazil – Sergipe","SE",73520,66100,60986,56835,54430,220,656,226,1086,656,1.1,47870,44590,41310,23893,0,0,0,0,0,0,0,2055
"America","Brazil","Brazil – Tocantins","TO",1730508,1546890,1341400,1135858,953634,8486,38777,22144,55410,38777,3.4,565864,371979,178094,0,0,0,0,0,0,0,0,2045
"America","Colombia","Colombia","COL",70048687,68133144,66802262,65330122,64254235,21568,254796,212523,297069,254796,0.4,61706275,60432295,59158315,56610355,55336375,54062395,51514435,48966475,47692495,46418515,43870555,2272
"America","Costa Rica","Costa Rica","CRI",2411733,2339438,2276723,2171066,2131563,2667,14520,9291,19748,14520,0.7,1986363,1913763,1841163,1695963,1623363,1550763,1405563,1260363,1187763,1115163,969963,2166
"America","Cuba","Cuba","CUB",1520507,1396383,1297060,1242821,1155013,3245,14086,7725,20446,14086,1.1,1014153,943723,873293,732433,662003,591573,450713,309853,239423,168993,28133,2101
"America","Dominica","Dominica","DMA",70662,70528,69931,69044,67410,66,254,126,383,254,0.4,64870,63600,62330,59790,58520,57250,54710,52170,50900,49630,47090,2285
"America","Dominican Rep.","Dominican Rep.","DOM",1254328,1109296,992770,905233,871148,2653,12164,6964,17364,12164,1.3,749508,688688,627868,506228,445408,384588,262948,141308,80488,19668,0,2091
"America","Ecuador","Ecuador","ECU",15459965,15157761,14902851,14614637,14390928,10184,51193,31232,71154,51193,0.3,13878998,13623033,13367068,12855138,12599173,12343208,11831278,11319348,11063383,10807418,10295488,2301
"America","El Salvador","El Salvador","SLV",128663,115950,108855,102185,96656,217,1220,796,1645,1220,1.2,84456,78356,72256,60056,53956,47856,35656,23456,17356,11256,0,2099
"America","French Guiana","French Guiana","GUF",8118023,8103644,8088397,8075666,8064475,239,2390,1922,2857,2390,0,8040575,8028625,8016675,7992775,7980825,7968875,7944975,7921075,7909125,7897175,7873275,5394
"America","Grenada","Grenada","GRD",25671,23906,21792,19599,19149,105,264,57,470,264,1.3,16509,15189,13869,11229,9909,8589,5949,3309,1989,669,0,2092
"America","Guadeloupe","Guadeloupe","GLP",79842,78964,77168,75131,73457,68,370,237,502,370,0.5,69757,67907,66057,62357,60507,58657,54957,51257,49407,47557,43857,2218
"America","Guatemala","Guatemala","GTM",3449029,3002703,2701746,2486775,2275440,4772,42648,33295,52000,42648,1.7,1848960,1635720,1422480,996000,782760,569520,143040,0,0,0,0,2073
"America","Guyana","Guyana","GUY",18618253,18541623,18489142,18433790,18365647,1973,12342,8474,16210,12342,0.1,18242227,18180517,18118807,17995387,17933677,17871967,17748547,17625127,17563417,17501707,17378287,3508
"America","Haiti","Haiti","HTI",247385,190316,162190,136542,122162,687,4001,2655,5346,4001,2.8,82152,62147,42142,2132,0,0,0,0,0,0,0,2050
"America","Honduras","Honduras","HND",3384398,3164220,2992667,2763133,2568531,5799,42409,31042,53775,42409,1.5,2144441,1932396,1720351,1296261,1084216,872171,448081,23991,0,0,0,2080
"America","Jamaica","Jamaica","JAM",471672,440280,421123,403484,395420,596,2572,1403,3741,2572,0.6,369700,356840,343980,318260,305400,292540,266820,241100,228240,215380,189660,2173
"America","Martinique","Martinique","MTQ",72737,72250,70074,67604,66055,87,400,229,571,400,0.6,62055,60055,58055,54055,52055,50055,46055,42055,40055,38055,34055,2185
"America","Mexico","Mexico","MEX",9098171,8170886,7390063,6835027,6263914,13807,112620,85558,139682,112620,1.6,5137714,4574614,4011514,2885314,2322214,1759114,632914,0,0,0,0,2075
"America","Montserrat","Montserrat","MSR",3413,3409,3366,3317,3294,2,7,3,11,7,0.2,3224,3189,3154,3084,3049,3014,2944,2874,2839,2804,2734,2490
