"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Brazil","Brazil – Sergipe","SE",73520,66100,60986,56835,54430,220,656,226,1086,226,0.4,52170,51040,49910,47650,46520,45390,34681,14858,1201,0,0,54430
"America","Brazil","Brazil – Tocantins","TO",1730508,1546890,1341400,1135858,953634,8486,38777,22144,55410,22144,1.8,732194,621474,510754,289314,178594,67874,0,0,0,0,0,953634
"America","Colombia","Colombia","COL",70048687,68133144,66802262,65330122,64254235,21568,254796,212523,297069,212523,0.3,62129005,61066390,60003775,57878545,56815930,55753315,53628085,51502855,50440240,49377625,47252395,2322
"America","Costa Rica","Costa Rica","CRI",2411733,2339438,2276723,2171066,2131563,2667,14520,9291,19748,9291,0.4,2038653,1992198,1945743,1852833,1806378,1759923,1667013,1574103,1527648,1481193,1388283,2249
"America","Cuba","Cuba","CUB",1520507,1396383,1297060,1242821,1155013,3245,14086,7725,20446,7725,0.6,1077763,1039138,1000513,923263,884638,846013,768763,691513,652888,614263,537013,2169
"America","Dominica","Dominica","DMA",70662,70528,69931,69044,67410,66,254,126,383,126,0.2,66150,65520,64890,63630,63000,62370,61110,59850,59220,58590,57330,2555
"America","Dominican Rep.","Dominican Rep.","DOM",1254328,1109296,992770,905233,871148,2653,12164,6964,17364,6964,0.7,801508,766688,731868,662228,627408,592588,522948,453308,418488,383668,314028,2145
"America","Ecuador","Ecuador","ECU",15459965,15157761,14902851,14614637,14390928,10184,51193,31232,71154,31232,0.2,14078608,13922448,13766288,13453968,13297808,13141648,12829328,12517008,12360848,12204688,11892368,2480
"America","El Salvador","El Salvador","SLV",128663,115950,108855,102185,96656,217,1220,796,1645,796,0.8,88696,84716,80736,72776,68796,64816,56856,48896,44916,40936,32976,2141
"America","French Guiana","French Guiana","GUF",8118023,8103644,8088397,8075666,8064475,239,2390,1922,2857,1922,0,8045255,8035645,8026035,8006815,7997205,7987595,7968375,7949155,7939545,7929935,7910715,6215
