"area_cont","area_ctry","area_name","area_code","proj","for2000","for2010","for2020","d","p","for2030","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","for2110","loss21","yrdis"
"America","Brazil","Brazil – Paraiba","PB","mean",46,41,38,308,0.8,35,32,18,0,0,0,0,0,0,0,0,100,"2054"
"America","Brazil","Brazil – Paraiba","PB","high",46,41,38,494,1.3,33,21,0,0,0,0,0,0,0,0,0,100,"2044"
"America","Brazil","Brazil – Parana","PR","low",3202,2673,2475,12721,0.5,2348,2221,2094,2030,1966,1831,1686,1610,1533,1376,1201,57,"2151"
"America","Brazil","Brazil – Parana","PR","mean",3202,2673,2475,19780,0.8,2277,2080,1871,1750,1627,1361,1052,889,725,388,0,88,"2110"
"America","Brazil","Brazil – Parana","PR","high",3202,2673,2475,26839,1.1,2207,1931,1595,1405,1196,741,261,4,0,0,0,100,"2086"
"America","Brazil","Brazil – Pernambouco","PE","low",138,119,109,432,0.4,105,101,96,94,92,79,57,43,27,0,0,100,"2099"
"America","Brazil","Brazil – Pernambouco","PE","mean",138,119,109,936,0.8,100,91,70,44,15,0,0,0,0,0,0,100,"2063"
"America","Brazil","Brazil – Pernambouco","PE","high",138,119,109,1439,1.3,95,73,0,0,0,0,0,0,0,0,0,100,"2050"
"America","Brazil","Brazil – Piaui","PI","low",104,74,55,846,1.2,46,38,29,25,21,4,0,0,0,0,0,100,"2072"
"America","Brazil","Brazil – Piaui","PI","mean",104,74,55,1967,3,35,15,0,0,0,0,0,0,0,0,0,100,"2047"
"America","Brazil","Brazil – Piaui","PI","high",104,74,55,3087,5.2,24,0,0,0,0,0,0,0,0,0,0,100,"2038"
"America","Brazil","Brazil – Rio de Janeiro","RJ","low",820,736,694,1141,0.2,683,672,660,654,649,629,600,582,563,522,463,36,"2145"
"America","Brazil","Brazil – Rio de Janeiro","RJ","mean",820,736,694,4143,0.6,653,612,559,517,472,362,209,124,39,0,0,100,"2093"
"America","Brazil","Brazil – Rio de Janeiro","RJ","high",820,736,694,7146,1,623,544,405,314,203,0,0,0,0,0,0,100,"2069"
"America","Brazil","Brazil – Rio Grande do Norte","RN","low",31,25,22,195,0.8,20,18,16,15,14,3,0,0,0,0,0,100,"2073"
"America","Brazil","Brazil – Rio Grande do Norte","RN","mean",31,25,22,312,1.3,19,15,1,0,0,0,0,0,0,0,0,100,"2051"
"America","Brazil","Brazil – Rio Grande do Norte","RN","high",31,25,22,428,1.9,17,6,0,0,0,0,0,0,0,0,0,100,"2042"
"America","Brazil","Brazil – Rio Grande do Sul","RS","low",2533,2214,2074,9402,0.4,1980,1886,1792,1745,1698,1595,1484,1424,1364,1241,1099,51,"2152"
"America","Brazil","Brazil – Rio Grande do Sul","RS","mean",2533,2214,2074,14004,0.7,1934,1794,1643,1551,1457,1248,997,863,728,449,98,82,"2112"
"America","Brazil","Brazil – Rio Grande do Sul","RS","high",2533,2214,2074,18607,0.9,1888,1694,1441,1292,1124,751,354,138,0,0,0,100,"2088"
"America","Brazil","Brazil – Rondonia","RO","low",16500,13800,12436,114420,0.9,11292,10148,9003,8431,7859,6707,5545,4960,4375,3201,2009,81,"2127"
"America","Brazil","Brazil – Rondonia","RO","mean",16500,13800,12436,136426,1,11072,9707,8332,7629,6922,5489,4014,3267,2521,1017,0,94,"2107"
"America","Brazil","Brazil – Rondonia","RO","high",16500,13800,12436,158431,1.2,10852,9260,7608,6760,5893,4122,2326,1411,459,0,0,100,"2093"
"America","Brazil","Brazil – Roraima","RR","low",16715,16228,15593,20622,0.1,15386,15180,14974,14871,14768,14553,14329,14214,14097,13862,13608,17,"2241"
"America","Brazil","Brazil – Roraima","RR","mean",16715,16228,15593,63551,0.4,14957,14322,13675,13336,12993,12290,11543,11161,10779,10004,9158,40,"2161"
"America","Brazil","Brazil – Roraima","RR","high",16715,16228,15593,106479,0.7,14528,13456,12324,11735,11128,9876,8600,7945,7252,5545,2869,67,"2121"
"America","Brazil","Brazil – Santa Catarina","SC","low",2934,2485,2355,9833,0.4,2256,2158,2060,2011,1961,1855,1739,1677,1614,1487,1341,49,"2155"
"America","Brazil","Brazil – Santa Catarina","SC","mean",2934,2485,2355,13020,0.5,2224,2094,1953,1866,1777,1578,1337,1208,1078,808,468,72,"2119"
"America","Brazil","Brazil – Santa Catarina","SC","high",2934,2485,2355,16208,0.7,2193,2023,1794,1657,1500,1152,778,574,333,0,0,100,"2096"
