"area_cont","area_ctry","area_name","area_code","proj","C2020","C2030","C2040","C2050","C2060","C2070","C2080","C2090","C2100","C2110"
"America","Brazil","Brazil – Rondonia","RO","mean",152293,188418,366527,552220,749292,957947,1182271,1414563,1648580,1807845
"America","Brazil","Brazil – Rondonia","RO","high",152293,217299,425874,652504,898040,1165638,1444837,1733985,1807845,1807845
"America","Brazil","Brazil – Roraima","RR","low",68476,26185,52334,77880,103027,129267,156938,185919,215523,247584
"America","Brazil","Brazil – Roraima","RR","mean",68476,79943,157889,239051,323817,409875,498378,587760,682608,790441
"America","Brazil","Brazil – Roraima","RR","high",68476,132382,266676,405754,546792,698661,862873,1040539,1269083,1636765
"America","Brazil","Brazil – Santa Catarina","SC","low",8094,6498,12920,19361,25802,32811,40445,48684,57181,67006
"America","Brazil","Brazil – Santa Catarina","SC","mean",8094,8580,17094,26336,37932,51094,67251,84883,103633,127765
"America","Brazil","Brazil – Santa Catarina","SC","high",8094,10659,21753,36814,56280,79841,105720,137369,161043,161043
"America","Brazil","Brazil – Sao Paulo","SP","low",9435,4904,10198,16001,21928,28579,36144,44639,53589,64467
"America","Brazil","Brazil – Sao Paulo","SP","mean",9435,9406,20225,32196,47756,65964,89045,114887,142571,178012
"America","Brazil","Brazil – Sao Paulo","SP","high",9435,14300,31026,53867,84099,121725,163209,212329,257759,257759
"America","Brazil","Brazil – Sergipe","SE","low",174,73,140,204,266,562,1178,1703,1703,1703
"America","Brazil","Brazil – Sergipe","SE","mean",174,198,377,886,1703,1703,1703,1703,1703,1703
"America","Brazil","Brazil – Sergipe","SE","high",174,315,841,1703,1703,1703,1703,1703,1703,1703
"America","Brazil","Brazil – Tocantins","TO","low",24106,13789,27727,42269,58189,63510,63510,63510,63510,63510
"America","Brazil","Brazil – Tocantins","TO","mean",24106,24193,49936,63510,63510,63510,63510,63510,63510,63510
"America","Brazil","Brazil – Tocantins","TO","high",24106,34965,63510,63510,63510,63510,63510,63510,63510,63510
"America","Colombia","Colombia","COL","low",171784,182318,361404,548156,738911,927324,1118361,1317577,1529148,1752379
"America","Colombia","Colombia","COL","mean",171784,217536,434390,662209,888778,1117295,1357504,1615570,1888621,2174991
"America","Colombia","Colombia","COL","high",171784,253042,509268,775445,1039621,1315346,1614382,1933910,2271469,2624564
"America","Costa Rica","Costa Rica","CRI","low",5625,3183,7340,12138,17507,23335,29506,35975,42743,49808
"America","Costa Rica","Costa Rica","CRI","mean",5625,5424,12782,21482,31103,41463,52548,64279,76496,89080
"America","Costa Rica","Costa Rica","CRI","high",5625,7912,18934,31905,46252,61891,78495,95705,113028,125231
"America","Cuba","Cuba","CUB","low",3092,1177,3025,4942,6991,9132,11314,13537,15824,18202
"America","Cuba","Cuba","CUB","mean",3092,2688,6249,10157,14199,18486,23038,27856,32821,33516
"America","Cuba","Cuba","CUB","high",3092,4253,9772,15685,22136,29134,33516,33516,33516,33516
"America","Dominica","Dominica","DMA","low",73,31,65,103,141,181,223,266,310,354
"America","Dominica","Dominica","DMA","mean",73,66,142,225,313,402,492,582,675,771
"America","Dominica","Dominica","DMA","high",73,104,226,359,495,632,776,930,1091,1262
"America","Dominican Rep.","Dominican Rep.","DOM","low",6205,3293,7030,11069,15300,19671,24145,28755,33516,38469
"America","Dominican Rep.","Dominican Rep.","DOM","mean",6205,6055,13142,20733,28693,37127,46157,55590,56949,56949
"America","Dominican Rep.","Dominican Rep.","DOM","high",6205,8975,19611,31021,43491,56949,56949,56949,56949,56949
"America","Ecuador","Ecuador","ECU","low",30827,15016,33475,54088,76767,100933,126306,153036,181061,210214
"America","Ecuador","Ecuador","ECU","mean",30827,26498,60190,98890,141016,186676,235274,286172,339528,395911
"America","Ecuador","Ecuador","ECU","high",30827,39022,90063,148520,213577,283547,358284,439131,525857,617875
"America","El Salvador","El Salvador","SLV","low",506,349,677,996,1314,1631,1943,2252,2550,2832
"America","El Salvador","El Salvador","SLV","mean",506,524,1017,1503,1984,2451,2885,3283,3631,3631
"America","El Salvador","El Salvador","SLV","high",506,698,1357,2006,2627,3182,3631,3631,3631,3631
"America","French Guiana","French Guiana","GUF","low",2761,2840,5383,7718,10077,12581,15125,17590,20013,22409
"America","French Guiana","French Guiana","GUF","mean",2761,3483,6529,9427,12515,15668,18709,21702,24714,27784
"America","French Guiana","French Guiana","GUF","high",2761,4114,7653,11217,14990,18642,22213,25835,29544,33350
"America","Grenada","Grenada","GRD","low",94,14,34,56,79,102,125,146,167,188
"America","Grenada","Grenada","GRD","mean",94,94,193,285,377,470,572,706,706,706
"America","Grenada","Grenada","GRD","high",94,172,337,504,706,706,706,706,706,706
"America","Guadeloupe","Guadeloupe","GLP","low",82,71,133,192,249,302,360,421,485,551
"America","Guadeloupe","Guadeloupe","GLP","mean",82,107,199,285,375,472,576,690,818,962
"America","Guadeloupe","Guadeloupe","GLP","high",82,140,261,382,515,665,837,1041,1286,1562
"America","Guatemala","Guatemala","GTM","low",23685,18526,38355,58319,78258,98408,118628,135598,135598,135598
"America","Guatemala","Guatemala","GTM","mean",23685,23997,49603,75113,100908,126844,135598,135598,135598,135598
"America","Guatemala","Guatemala","GTM","high",23685,29581,60775,92047,123645,135598,135598,135598,135598,135598
"America","Guyana","Guyana","GUY","low",11145,12508,21965,31828,41555,51293,61278,71522,81913,92345
"America","Guyana","Guyana","GUY","mean",11145,16850,30975,45143,59519,74444,89605,105010,120609,136364
"America","Guyana","Guyana","GUY","high",11145,21141,39856,58629,78278,98302,118725,139441,160306,181276
"America","Haiti","Haiti","HTI","low",1232,846,1727,2622,3522,4024,4024,4024,4024,4024
"America","Haiti","Haiti","HTI","mean",1232,1292,2635,3969,4024,4024,4024,4024,4024,4024
"America","Haiti","Haiti","HTI","high",1232,1739,3546,4024,4024,4024,4024,4024,4024,4024
"America","Honduras","Honduras","HND","low",28299,21806,45729,68938,90781,112128,133939,157077,181282,188247
