area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Brazil,Brazil – Piaui,PI,high,990750,1559867,2351920,2762571,2762571,2762571,2762571,2762571,2762571,2762571,2762571,2762571,2762571,1,3
America,Brazil,Brazil – Rio de Janeiro,RJ,low,3386460,948923,1428744,1907876,2868818,3351425,3834272,5520645,7979734,9534217,11177936,14683301,19903586,1,1
America,Brazil,Brazil – Rio de Janeiro,RJ,mean,3386460,3479059,5235479,6991688,11459543,15134983,19111549,29017599,43258183,51413030,57692372,63410557,63410557,1,2
America,Brazil,Brazil – Rio de Janeiro,RJ,high,3386460,6026181,9063558,12762944,25047179,33426957,43902098,63410557,63410557,63410557,63410557,63410557,63410557,1,3
America,Brazil,Brazil – Rio Grande do Norte,RN,low,168618,104646,159344,211737,321914,377920,433290,1086553,1345560,1345560,1345560,1345560,1345560,1,1
America,Brazil,Brazil – Rio Grande do Norte,RN,mean,168618,169891,255238,344453,1238743,1345560,1345560,1345560,1345560,1345560,1345560,1345560,1345560,1,2
America,Brazil,Brazil – Rio Grande do Norte,RN,high,168618,233277,354619,929351,1345560,1345560,1345560,1345560,1345560,1345560,1345560,1345560,1345560,1,3
America,Brazil,Brazil – Rio Grande do Sul,RS,low,7416287,2890017,4913807,7165392,12122182,14777077,17533754,23834028,31099611,35118775,39301168,48076471,58531425,1,1
America,Brazil,Brazil – Rio Grande do Sul,RS,mean,7416287,4867707,8279932,12013016,20863359,26660722,32918830,47531757,66205968,76622437,87312163,110401682,141264553,1,2
America,Brazil,Brazil – Rio Grande do Sul,RS,high,7416287,7066380,11959293,17737730,33978749,44362696,56666018,85506443,118519200,137660880,150609615,150609615,150609615,1,3
America,Brazil,Brazil – Rondonia,RO,low,150325937,133041994,192934206,250877174,367022462,426816320,487491622,611893867,739436956,805296642,872031935,1007150708,1145415633,1,1
America,Brazil,Brazil – Rondonia,RO,mean,150325937,156310947,226537418,295081947,437254268,512286738,588685022,745655431,913431058,999505867,1085984853,1260100819,1377187098,1,2
America,Brazil,Brazil – Rondonia,RO,high,150325937,179319283,259707534,340555437,514470821,606081498,700713529,901048168,1108526261,1214877827,1323152957,1377187098,1377187098,1,3
America,Brazil,Brazil – Roraima,RR,low,63111258,22201214,33089343,44016528,65662971,76445997,87225266,109819252,133599367,145946023,158412802,183502448,210437654,1,1
America,Brazil,Brazil – Roraima,RR,mean,63111258,67422129,100716867,134414607,203287139,238865360,273597282,344039054,417548272,454696095,492204179,572344375,664143781,1,2
America,Brazil,Brazil – Roraima,RR,high,63111258,112494224,169254578,226402948,340656659,398710380,457941345,585968193,726376336,800774058,880528932,1079923949,1398037525,1,3
America,Brazil,Brazil – Santa Catarina,SC,low,11307520,8497089,12782604,17091628,25761533,30113503,34470419,43964622,54332486,59881907,65534072,77110267,90515832,1,1
America,Brazil,Brazil – Santa Catarina,SC,mean,11307520,11273180,16972144,22705983,35191757,42910063,50917074,68816550,90851485,102841231,114935834,140509781,173428875,1,2
America,Brazil,Brazil – Santa Catarina,SC,high,11307520,14059209,21181624,28993167,49398913,61685922,75881214,108049793,143354670,163050418,186622751,219800288,219800288,1,3
America,Brazil,Brazil – Sao Paulo,SP,low,9504371,4762886,7283526,9855406,15216770,17951863,20682204,26843617,33838407,37689403,41662424,49890534,59874701,1,1
America,Brazil,Brazil – Sao Paulo,SP,mean,9504371,9105596,14038813,19108852,30192172,37177087,44528734,61242358,82215023,93722330,105369011,130054329,161836117,1,2
America,Brazil,Brazil – Sao Paulo,SP,high,9504371,13648608,21053517,29108512,50145666,62925685,77746853,111464720,148497810,169010153,193269773,235813659,235813659,1,3
America,Brazil,Brazil – Sergipe,SE,low,370188,135182,196661,255881,372816,431979,491022,1049264,2142222,2991360,3071821,3071821,3071821,1,1
America,Brazil,Brazil – Sergipe,SE,mean,370188,361396,532224,701838,1630310,3071821,3071821,3071821,3071821,3071821,3071821,3071821,3071821,1,2
America,Brazil,Brazil – Sergipe,SE,high,370188,585213,866502,1549632,3071821,3071821,3071821,3071821,3071821,3071821,3071821,3071821,3071821,1,3
America,Brazil,Brazil – Tocantins,TO,low,25381014,14553716,21383668,28330231,42411158,49590177,57049691,61735858,61735858,61735858,61735858,61735858,61735858,1,1
America,Brazil,Brazil – Tocantins,TO,mean,25381014,24860196,37132236,49623102,61735858,61735858,61735858,61735858,61735858,61735858,61735858,61735858,61735858,1,2
America,Brazil,Brazil – Tocantins,TO,high,25381014,35378306,53340423,61735858,61735858,61735858,61735858,61735858,61735858,61735858,61735858,61735858,61735858,1,3
America,Colombia,Colombia,COL,low,214136365,203886252,302885675,401184615,598598111,697982232,796575464,990153969,1182129812,1278631143,1376177309,1575459859,1780848431,1,1
