area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Brazil,Brazil – Tocantins,TO,mean,24105627,24193025,36774524,49935555,63509688,63509688,63509688,63509688,63509688,63509688,63509688,63509688,63509688,1,2
America,Brazil,Brazil – Tocantins,TO,high,24105627,34964905,54012303,63509688,63509688,63509688,63509688,63509688,63509688,63509688,63509688,63509688,63509688,1,3
America,Colombia,Colombia,COL,low,171784133,182317953,271350190,361404067,548155675,643732720,738911265,927323956,1118360576,1216659978,1317577095,1529148441,1752378958,1,1
America,Colombia,Colombia,COL,mean,171784133,217536394,324974244,434389605,662209463,775979499,888777908,1117294574,1357504216,1484292735,1615569636,1888620998,2174990514,1,2
America,Colombia,Colombia,COL,high,171784133,253041571,379018889,509267774,775445382,907004350,1039620825,1315345642,1614381995,1771931675,1933910243,2271468628,2624564055,1,3
America,Costa Rica,Costa Rica,CRI,low,5625162,3183374,5159889,7339502,12138210,14757519,17507470,23335405,29505862,32700347,35975057,42742659,49807695,1,1
America,Costa Rica,Costa Rica,CRI,mean,5625162,5424057,8934750,12782353,21482014,26195859,31102790,41462555,52548185,58346189,64278811,76496292,89079860,1,2
America,Costa Rica,Costa Rica,CRI,high,5625162,7911950,13107314,18933795,31905302,38910635,46251557,61890994,78495059,87053468,95704775,113027535,125230688,1,3
America,Cuba,Cuba,CUB,low,3091819,1176963,2086808,3024501,4941892,5947520,6990932,9132015,11313835,12419873,13537243,15823992,18202256,1,1
America,Cuba,Cuba,CUB,mean,3091819,2687756,4425350,6249359,10156834,12157577,14199391,18485788,23038075,25415672,27856054,32821361,33515755,1,2
America,Cuba,Cuba,CUB,high,3091819,4253392,6927429,9772278,15685014,18841643,22135530,29134017,33515755,33515755,33515755,33515755,33515755,1,3
America,Dominica,Dominica,DMA,low,72825,31081,47941,65282,102682,121954,141037,181021,222956,244369,265779,309829,354186,1,1
America,Dominica,Dominica,DMA,mean,72825,65851,103577,142270,224941,268131,312665,402380,491772,537023,582331,674592,771055,1,2
America,Dominica,Dominica,DMA,high,72825,104269,163222,226279,359491,426829,494635,631789,775616,851788,930192,1091318,1262229,1,3
