area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,id_cont,id_d
America,Brazil,Brazil – Paraiba,PB,high,65483,106616,154288,826043,894267,894267,894267,894267,894267,894267,894267,894267,1,3
America,Brazil,Brazil – Parana,PR,low,15177424,11862833,17103995,22258258,32527251,37813096,43815436,56386759,71666150,80213148,89563399,111128739,1,1
America,Brazil,Brazil – Parana,PR,mean,15177424,15513775,22472650,29381929,45563490,54793943,66052666,91761778,126108272,148296195,162364943,162364943,1,2
America,Brazil,Brazil – Parana,PR,high,15177424,19109871,27825419,37921320,63303454,79124519,97752285,151004815,162364943,162364943,162364943,162364943,1,3
America,Brazil,Brazil – Pernambouco,PE,low,245788,162840,230757,298183,436916,555281,976345,2096719,3002915,3002915,3002915,3002915,1,1
America,Brazil,Brazil – Pernambouco,PE,mean,245788,272144,395585,525123,1873888,3002915,3002915,3002915,3002915,3002915,3002915,3002915,1,2
America,Brazil,Brazil – Pernambouco,PE,high,245788,382178,574854,1411823,3002915,3002915,3002915,3002915,3002915,3002915,3002915,3002915,1,3
America,Brazil,Brazil – Piaui,PI,low,1127033,619176,996621,1343245,1909537,2178195,2249434,2249434,2249434,2249434,2249434,2249434,1,1
America,Brazil,Brazil – Piaui,PI,mean,1127033,1284909,1844874,2242510,2249434,2249434,2249434,2249434,2249434,2249434,2249434,2249434,1,2
America,Brazil,Brazil – Piaui,PI,high,1127033,1818546,2249434,2249434,2249434,2249434,2249434,2249434,2249434,2249434,2249434,2249434,1,3
America,Brazil,Brazil – Rio de Janeiro,RJ,low,2327107,722629,1186577,1694968,2833779,3552775,4984381,8583657,15158231,19393011,24304021,35558096,1,1
America,Brazil,Brazil – Rio de Janeiro,RJ,mean,2327107,1966092,3290373,4756478,10833919,15533971,23061648,42118524,52563663,52563663,52563663,52563663,1,2
America,Brazil,Brazil – Rio de Janeiro,RJ,high,2327107,3445552,5834850,10224604,27339851,40882339,52563663,52563663,52563663,52563663,52563663,52563663,1,3
America,Brazil,Brazil – Rio Grande do Norte,RN,low,41068,24326,36653,47762,68589,105855,386485,386485,386485,386485,386485,386485,1,1
America,Brazil,Brazil – Rio Grande do Norte,RN,mean,41068,43639,63097,82281,386485,386485,386485,386485,386485,386485,386485,386485,1,2
America,Brazil,Brazil – Rio Grande do Norte,RN,high,41068,61169,91780,386485,386485,386485,386485,386485,386485,386485,386485,386485,1,3
America,Brazil,Brazil – Rio Grande do Sul,RS,low,5715820,2797863,4283054,5831224,9117172,10948816,13317773,18702984,26252695,30698998,35615806,46414897,1,1
America,Brazil,Brazil – Rio Grande do Sul,RS,mean,5715820,6287276,9862675,13832003,24827444,31894772,41038800,62591149,90112821,103004192,103004192,103004192,1,2
America,Brazil,Brazil – Rio Grande do Sul,RS,high,5715820,10117041,16432522,24844270,49205181,65580619,85316596,103004192,103004192,103004192,103004192,103004192,1,3
America,Brazil,Brazil – Rondonia,RO,low,123697424,106109131,152525382,197059341,289299020,338601792,391565737,505943022,631857936,697981453,765553605,903801006,1,1
America,Brazil,Brazil – Rondonia,RO,mean,123697424,129735318,186066464,242613976,368249747,438818330,516676147,683182880,860056015,952429821,1051361925,1262379087,1,2
America,Brazil,Brazil – Rondonia,RO,high,123697424,152759070,219921254,292118368,461302821,558587691,661915798,885989272,1137824706,1273060484,1341635984,1341635984,1,3
