system:index,a_cat,area_code,area_name,b_cat,b_col,b_row,cat,fc2000,fc2001,fc2002,fc2003,fc2004,fc2005,fc2006,fc2007,fc2008,fc2009,fc2010,fc2011,fc2012,fc2013,fc2014,fc2015,fc2016,fc2017,fc2018,fc2019,fc2020,fc2021,.geo
00000000000000000273,16,IDN,Indonesia,33396,276,88,628,694054.1527078064,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,693161.3586404236,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000274,16,IDN,Indonesia,33396,276,88,629,3110163.006771313,3109354.0538854273,3109354.0538854273,3109354.0538854273,3109354.0538854273,3109354.0538854273,3108461.047965017,3108461.047965017,3102227.537842755,3102227.537842755,3100441.5297861146,3100441.5297861146,3100441.5297861146,3100441.5297861146,3099548.526368146,3099548.526368146,3099548.526368146,3091620.094180598,3090727.096560969,3088048.099246516,3088048.099246516,3088048.099246516,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c2,16,IDN,Indonesia,34476,276,85,707,1607135.7840576172,1598236.9451293945,1596457.1770629883,1570650.5305786133,1570650.5305786133,1543064.199645996,1510138.5711669922,1508358.7848510742,1502129.617553711,1500349.859008789,1483442.114074707,1483442.114074707,1483442.114074707,1475433.167602539,1475433.167602539,1473653.4074707031,1472763.527770996,1463864.7337036133,1458525.448791504,1458525.448791504,1457635.5579833984,1454965.911743164,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c3,16,IDN,Indonesia,34476,276,85,708,863617.0520931468,860057.6374202953,860057.6374202953,832472.1695247876,831582.3168636548,803996.898589729,756855.6127089558,755965.7568739948,753296.193275362,751516.481178194,715922.3597182331,715922.3597182331,715922.3597182331,713252.8040541706,713252.8040541706,712362.9521864948,712362.9521864948,712362.9521864948,712362.9521864948,712362.9521864948,712362.9521864948,707023.8234633503,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013ac,16,IDN,Indonesia,34476,276,85,5070,3690845.0402243207,3690845.0402243207,3689065.5225851606,3682819.654820819,3682819.654820819,3682620.7630737294,3672833.281628417,3672833.281628417,3672833.281628417,3672833.281628417,3671032.7966459375,3671032.7966459375,3670701.315107277,3667142.2496775896,3667142.2496775896,3664528.745238539,3664528.745238539,3664528.745238539,3664528.745238539,3664528.745238539,3664528.745238539,3664528.745238539,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013ad,16,IDN,Indonesia,34476,276,85,5071,2.054637961653189E7,2.050018050216278E7,2.0456410082531E7,2.017134694001152E7,2.0139771827891372E7,1.9841055256410107E7,1.9309791952967014E7,1.929384569354319E7,1.9187909088611785E7,1.91763419306528E7,1.8993188533206943E7,1.8949073031851485E7,1.8889231006366316E7,1.885003852642031E7,1.8832808013459314E7,1.8730922520209327E7,1.870422930615903E7,1.8668386873266347E7,1.8611084482255746E7,1.859862737385731E7,1.853988780373294E7,1.8498340244678427E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016d9,16,IDN,Indonesia,34476,276,85,5883,5.0907655644934855E7,5.0755016429673426E7,5.0607765103514716E7,5.0217497973143145E7,5.018066496191436E7,4.974036973036395E7,4.89872124163237E7,4.897098882548902E7,4.89190450992834E7,4.888256969223994E7,4.859994762328361E7,4.852432129607294E7,4.8310292161047615E7,4.814666992281614E7,4.811203890368126E7,4.784404831196075E7,4.775716695623446E7,4.770584480975223E7,4.7649794712279096E7,4.761020564325504E7,4.74296473076567E7,4.742075051590865E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016da,16,IDN,Indonesia,34476,276,85,5884,1.0112947653231797E8,1.0068069333209585E8,9.998456283422609E7,9.939918020393397E7,9.932006901647897E7,9.882733130016798E7,9.840045022055994E7,9.811510297810651E7,9.764490069812077E7,9.750881182348698E7,9.72130407034349E7,9.707162226569074E7,9.67860326169957E7,9.655893832289122E7,9.647621999610901E7,9.611029496813554E7,9.588727768660884E7,9.578708201639974E7,9.54198145426142E7,9.530833104148805E7,9.488726963601406E7,9.488460110329922E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001713,16,IDN,Indonesia,34476,276,85,1941,3.3005425492127137E9,3.2781279478384666E9,3.252005119038147E9,3.2430285866040196E9,3.2408849541100507E9,3.228062178274668E9,3.2064139192368164E9,3.1948439020191817E9,3.1872007268628893E9,3.175457483351949E9,3.163421374362582E9,3.159496660957448E9,3.1457152324977736E9,3.14259517693385E9,3.1349598108449655E9,3.1181615833204484E9,3.1127203007345953E9,3.106702853293398E9,3.100386922833905E9,3.097876730001654E9,3.0922590071927476E9,3.091503696079866E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bff,17,MMR,Myanmar,38436,276,74,3105,2520978.8022022913,2250632.4489808325,2101903.8787808283,1750030.4116864374,1419236.2590774838,1236737.2294522156,1112050.8977871765,1032184.0665058211,824949.1140522078,754436.6431049422,747557.5102924422,720901.3066791609,711874.1666566138,708434.6883240943,663720.2279359107,633622.7308655982,594927.0481263404,559732.8421032475,543395.0753796147,530496.6815807866,527057.2384655522,516738.82989621634,"{""type"":""MultiPoint"",""coordinates"":[]}"
