system:index,a_cat,area_code,area_name,b_cat,b_col,b_row,cat,fc2000,fc2001,fc2002,fc2003,fc2004,fc2005,fc2006,fc2007,fc2008,fc2009,fc2010,fc2011,fc2012,fc2013,fc2014,fc2015,fc2016,fc2017,fc2018,fc2019,fc2020,fc2021,.geo
0000000000000000123b,16,MEX,Mexico,42548,68,62,4668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001372,16,MEX,Mexico,42548,68,62,4979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003cd,16,MEX,Mexico,42548,68,62,2495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003df,16,MEX,Mexico,42548,68,62,2513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001243,16,MEX,Mexico,42188,68,63,4676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003cc,16,MEX,Mexico,42188,68,63,2494,5590.4044189453125,4791.8065185546875,4791.8065185546875,4791.8065185546875,4791.8065185546875,3993.1392822265625,3194.475830078125,2395.8273315429688,2395.8273315429688,2395.8273315429688,2395.8273315429688,2395.8273315429688,1597.1676025390625,1597.1676025390625,1597.1676025390625,1597.1676025390625,1597.1676025390625,1597.1676025390625,1597.1676025390625,1597.1676025390625,1597.1676025390625,1597.1676025390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ef8,16,MEX,Mexico,41828,68,64,3833,532246.8364839442,524228.61456011614,512685.5056702858,503865.43370983656,503865.43370983656,497485.39413751353,494611.3646431718,492205.9215279374,492205.9215279374,488608.69424019614,488608.69424019614,488608.69424019614,488608.69424019614,488608.69424019614,488608.69424019614,488608.69424019614,488608.69424019614,488608.69424019614,462148.6093402938,462148.6093402938,462148.6093402938,462148.6093402938,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c8,16,MEX,Mexico,41828,68,64,2490,9595443.466496725,9409204.91384852,9229404.182059014,9163359.409475766,9151342.164256135,9116431.098946603,8957319.640928019,8795551.31805683,8773096.115847357,8639642.3111735,8613183.897355141,8604360.706925454,8568268.151566567,8557842.110795083,8543048.341800224,8534222.663699638,8525814.044857966,8519397.818173395,8334417.379311953,8250998.603372011,8230945.088662538,8206556.538443768,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d6b,16,MEX,Mexico,41468,68,65,3436,5679407.174983963,5662366.2328452915,5644507.643184647,5638827.78692244,5630709.7933921665,5618534.8781699985,5576332.193660721,5554422.0023765415,5551987.675289139,5545493.289852127,5528464.986446366,5514671.7797202915,5500060.0969199985,5500060.0969199985,5497628.600704178,5485453.07409285,5480584.800350174,5467597.53490828,5404279.73046492,5309009.806359385,5300894.465966319,5283844.800316905,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001142,16,MEX,Mexico,41468,68,65,4419,1347288.1145632276,1343228.5356447706,1343228.5356447706,1341604.6694948683,1341604.6694948683,1340792.7390749464,1338357.0995485792,1329426.052978755,1328614.1766359815,1327802.2601320753,1326990.3558352003,1322930.8850710401,1318059.555359126,1318059.555359126,1318059.555359126,1315623.8651735792,1314811.945190669,1314000.0880129347,1300197.8933107862,1288019.3500978956,1284771.6771242628,1271781.4093630323,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001143,16,MEX,Mexico,41468,68,65,4420,2151000.082604264,2136409.8410881506,2133167.5483635413,2130735.7866447913,2126682.985802506,2125061.9062736975,2120198.5902946936,2102366.1719597327,2101555.6374748694,2098313.355309342,2097502.8172844397,2095881.7447746738,2092639.4063347324,2091018.2582024082,2090207.762413834,2084533.7394646152,2082912.6775139316,2082912.6775139316,2070754.2610100254,1998414.3498853508,1991119.2088331047,1991119.2088331047,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001144,16,MEX,Mexico,41468,68,65,4421,999429.9944919961,998619.7504124063,997809.4552463907,997809.4552463907,997809.4552463907,997809.4552463907,996999.1547703164,994568.2903904336,991327.1291355508,991327.1291355508,989706.5247043985,988896.2629856485,988896.2629856485,988085.9748386758,987275.6884617227,983224.2601169961,983224.2601169961,982413.9649509805,981603.6627659219,976741.8688816446,976741.8688816446,975121.2503513711,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001146,16,MEX,Mexico,41468,68,65,4423,2069457.730729646,2068647.6487594312,2067151.3417454148,2066341.2615452195,2066341.2615452195,2063910.9627781296,2062290.7301731491,2062290.7301731491,2062290.7301731491,2062290.7301731491,2059860.32038311,2059860.32038311,2059050.123849907,2059050.123849907,2058239.9185276413,2057429.776620903,2057429.776620903,2054999.4990330124,2047841.3739834663,2040667.7061741257,2039047.4154026413,2038237.194211235,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001147,16,MEX,Mexico,41468,68,65,4424,1371977.1446557129,1366069.0900043554,1358779.2095111914,1357969.2404560156,1355539.315651328,1350679.3883441992,1348970.4747627997,1343300.652619245,1342490.672943952,1342490.672943952,1342490.672943952,1338440.72879112,1336010.8003853583,1335200.7960518622,1335200.7960518622,1334390.781098249,1334390.781098249,1334390.781098249,1331150.906525495,1323051.0024117257,1319811.1366890694,1315243.635977232,"{""type"":""MultiPoint"",""coordinates"":[]}"
