"area_cont","area_ctry","area_name","area_code","int","pa","alt","slope","ddefor","dedge","driver","droad","dtown","Vrho"
"Asia","India","India – Andaman and N.","AN",-6.39,0.0286,-0.0802,-0.175,-0.096,-19.1,0.0253,-0.102,0.0288,4.33
"Asia","India","India – West. Ghats","WG",-0.0412,-0.305,-0.473,-0.0363,-0.63,-2.05,NA,-0.163,-0.0462,2.34
"Asia","India","India – North-East","NE",-0.939,-0.163,-0.321,-0.219,-4.86,-1.69,-0.0299,-0.159,NA,1.73
"Asia","Cambodia","Cambodia","KHM",-0.413,-0.255,-1.19,-0.217,-0.962,-0.423,NA,-0.419,-0.273,9.43
"Asia","Laos","Laos","LAO",-0.366,-0.427,-0.376,-0.315,-1.25,-0.86,NA,-0.118,-0.208,2.18
"Asia","Sri Lanka","Sri Lanka","LKA",-0.0903,-0.307,-0.0875,-0.249,-0.828,-1.44,-0.0283,-0.108,-0.0749,1.82
"Asia","Myanmar","Myanmar","MMR",-0.351,-0.21,-0.404,-0.183,-1.02,-1.74,-0.0944,-0.166,-0.0394,2.55
"Asia","Malaysia","Malaysia","MYS",-0.733,-1.08,-0.507,-0.459,-0.665,-1.96,NA,-0.227,-0.0388,6.83
"Asia","New Caledonia","New Caledonia","NCL",-1.58,NA,-0.374,-0.0797,-0.415,-7.73,NA,-0.122,-0.0348,3.74
"Asia","Philippines","Philippines","PHL",-1.41,-0.18,-0.184,-0.41,-1.52,-2.7,NA,-0.156,-0.0294,2.22
"Asia","Papua New Guinea","Papua New Guinea","PNG",-1.54,-0.288,-0.582,-0.411,-0.158,-3.83,-0.0791,-0.254,-0.144,6.34
"Asia","Singapore","Singapore","SGP",0.346,-1.23,-0.166,-0.145,-1.14,-1.26,NA,-0.882,NA,10.9
"Asia","Solomon Isl.","Solomon Isl.","SLB",-0.275,-0.191,-0.553,-0.477,-0.39,-1.21,-0.375,-0.485,NA,5.68
"Asia","Thailand","Thailand","THA",-1.39,-0.202,-0.761,-0.00416,-1.72,-3.55,-0.0257,-0.0538,NA,1.9
"Asia","Timor-Leste","Timor-Leste","TLS",-0.474,-0.00336,-0.283,-0.0474,-0.673,-1.59,-0.0765,-0.0224,-0.0773,1.93
"Asia","Vietnam","Vietnam","VNM",-0.79,-0.525,-0.291,-0.299,-1.63,-1.55,NA,-0.161,NA,3.27
"Asia","Vanuatu","Vanuatu","VUT",-2.79,-0.48,-0.0419,-0.493,-0.597,-2.83,-0.184,NA,NA,18
"America","Brazil","Brazil – Acre","AC",-4.17,-0.723,NA,-0.0061,-5.46,-5.17,-0.00419,NA,-0.308,3.93
