"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","French Guiana","French Guiana","GUF",8120655,8109002,8092691,8078458,8065771,241,2941,2469,3413,2941,0,8036361,8021656,8006951,7977541,7962836,7948131,7918721,7889311,7874606,7859901,7830491,4762
"America","Grenada","Grenada","GRD",25702,24494,22191,19717,19141,120,293,57,529,293,1.4,16211,14746,13281,10351,8886,7421,4491,1561,96,0,0,2085
"America","Guadeloupe","Guadeloupe","GLP",80041,79361,77548,75391,72939,78,375,222,529,375,0.5,69189,67314,65439,61689,59814,57939,54189,50439,48564,46689,42939,2214
"America","Guatemala","Guatemala","GTM",3503631,3041953,2727576,2501803,2281565,4818,48871,39428,58314,48871,2,1792855,1548500,1304145,815435,571080,326725,0,0,0,0,0,2066
"America","Guyana","Guyana","GUY",18629589,18560054,18503776,18443678,18361596,1962,15128,11284,18973,15128,0.1,18210316,18134676,18059036,17907756,17832116,17756476,17605196,17453916,17378276,17302636,17151356,3233
"America","Haiti","Haiti","HTI",256246,199991,167635,139270,121983,557,4839,3747,5931,4839,3.3,73593,49398,25203,0,0,0,0,0,0,0,0,2045
"America","Honduras","Honduras","HND",3434964,3199796,3018384,2778623,2571484,5513,46114,35309,56918,46114,1.6,2110344,1879774,1649204,1188064,957494,726924,265784,0,0,0,0,2075
"America","Jamaica","Jamaica","JAM",482132,448766,426769,405883,395296,699,3293,1924,4663,3293,0.8,362366,345901,329436,296506,280041,263576,230646,197716,181251,164786,131856,2140
"America","Martinique","Martinique","MTQ",72811,72502,70609,67890,65994,91,428,250,606,428,0.6,61714,59574,57434,53154,51014,48874,44594,40314,38174,36034,31754,2174
"America","Mexico","Mexico","MEX",9349925,8349575,7512429,6919623,6269836,20021,134601,95361,173842,134601,2,4923826,4250821,3577816,2231806,1558801,885796,0,0,0,0,0,2066
"America","Montserrat","Montserrat","MSR",3418,3416,3396,3320,3287,3,11,4,18,11,0.3,3177,3122,3067,2957,2902,2847,2737,2627,2572,2517,2407,2318
"America","Nicaragua","Nicaragua","NIC",4971710,4685975,4312486,3749173,3375969,19094,96464,59040,133889,96464,2.5,2411329,1929009,1446689,482049,0,0,0,0,0,0,0,2054
