"area_cont","area_ctry","area_name","area_code","mod","D","AUC","OA","EA","FOM","Sen","Spe","TSS","K","nfor","ndefor"
"America","Brazil","Brazil – Mato Grosso","MT","icar",40,86,78,50,64,78,78,56,56,33283,33283
"America","Brazil","Brazil – Mato Grosso","MT","glm",15,77,70,50,54,70,70,41,41,33283,33283
"America","Brazil","Brazil – Mato Grosso","MT","rf",80,80,72,50,56,72,72,43,43,33283,33283
"America","Brazil","Brazil – Mato Grosso do Sul","MS","icar",22,78,70,50,54,70,70,40,40,10000,10000
"America","Brazil","Brazil – Mato Grosso do Sul","MS","glm",9,71,66,50,49,66,66,31,31,10000,10000
"America","Brazil","Brazil – Mato Grosso do Sul","MS","rf",70,68,63,50,46,63,63,26,26,10000,10000
"America","Brazil","Brazil – Minas Gerais","MG","icar",31,83,75,50,60,75,75,49,49,10000,10000
"America","Brazil","Brazil – Minas Gerais","MG","glm",15,76,69,50,53,69,69,39,39,10000,10000
"America","Brazil","Brazil – Minas Gerais","MG","rf",79,79,72,50,56,72,72,44,44,10000,10000
"America","Brazil","Brazil – Para","PA","icar",55,92,85,50,74,85,85,70,70,49999,50000
"America","Brazil","Brazil – Para","PA","glm",40,89,81,50,68,81,81,62,62,49999,50000
"America","Brazil","Brazil – Para","PA","rf",87,92,84,50,72,84,84,67,67,49999,50000
"America","Brazil","Brazil – Paraiba","PB","icar",27,83,75,50,60,75,76,51,51,9975,9994
"America","Brazil","Brazil – Paraiba","PB","glm",22,82,75,50,60,75,75,50,50,9975,9994
"America","Brazil","Brazil – Paraiba","PB","rf",83,85,77,50,63,77,77,55,55,9975,9994
"America","Brazil","Brazil – Parana","PR","icar",24,80,73,50,57,73,73,45,45,9995,9999
"America","Brazil","Brazil – Parana","PR","glm",17,78,70,50,54,70,70,40,40,9995,9999
"America","Brazil","Brazil – Parana","PR","rf",78,75,67,50,50,67,67,34,34,9995,9999
"America","Brazil","Brazil – Pernambouco","PE","icar",33,86,77,50,63,77,77,54,54,9975,9997
"America","Brazil","Brazil – Pernambouco","PE","glm",27,84,76,50,61,76,76,52,52,9975,9997
"America","Brazil","Brazil – Pernambouco","PE","rf",83,87,79,50,65,79,79,57,57,9975,9997
"America","Brazil","Brazil – Piaui","PI","icar",20,77,70,50,54,70,70,40,40,9999,10000
"America","Brazil","Brazil – Piaui","PI","glm",10,71,66,50,49,66,66,32,32,9999,10000
"America","Brazil","Brazil – Piaui","PI","rf",77,74,68,50,51,67,68,35,35,9999,10000
"America","Brazil","Brazil – Rio de Janeiro","RJ","icar",41,90,82,50,69,82,82,63,63,9992,9980
"America","Brazil","Brazil – Rio de Janeiro","RJ","glm",35,88,80,50,67,80,80,60,60,9992,9980
"America","Brazil","Brazil – Rio de Janeiro","RJ","rf",84,88,81,50,68,81,81,62,62,9992,9980
"America","Brazil","Brazil – Rio Grande do Norte","RN","icar",25,82,75,50,60,75,75,50,50,9947,9984
"America","Brazil","Brazil – Rio Grande do Norte","RN","glm",15,77,71,50,55,71,71,43,43,9947,9984
"America","Brazil","Brazil – Rio Grande do Norte","RN","rf",33,75,69,50,53,69,69,38,38,9947,9984
"America","Brazil","Brazil – Rio Grande do Sul","RS","icar",25,81,73,50,58,73,73,46,46,10000,9999
"America","Brazil","Brazil – Rio Grande do Sul","RS","glm",20,79,71,50,55,71,71,42,42,10000,9999
"America","Brazil","Brazil – Rio Grande do Sul","RS","rf",79,80,72,50,56,72,72,44,44,10000,9999
"America","Brazil","Brazil – Rondonia","RO","icar",47,90,81,50,69,81,81,63,63,13800,13800
"America","Brazil","Brazil – Rondonia","RO","glm",28,82,74,50,59,74,74,49,49,13800,13800
"America","Brazil","Brazil – Rondonia","RO","rf",83,86,78,50,63,78,78,55,55,13800,13800
"America","Brazil","Brazil – Roraima","RR","icar",58,94,86,50,76,86,86,73,73,16228,16228
"America","Brazil","Brazil – Roraima","RR","glm",43,90,82,50,69,82,82,64,64,16228,16228
"America","Brazil","Brazil – Roraima","RR","rf",89,94,87,50,77,87,87,74,74,16228,16228
"America","Brazil","Brazil – Santa Catarina","SC","icar",28,82,74,50,59,74,75,49,49,9998,10000
"America","Brazil","Brazil – Santa Catarina","SC","glm",21,79,72,50,56,71,72,43,43,9998,10000
"America","Brazil","Brazil – Santa Catarina","SC","rf",79,76,68,50,51,68,68,36,36,9998,10000
"America","Brazil","Brazil – Sao Paulo","SP","icar",45,90,81,50,68,81,81,63,63,9994,10000
"America","Brazil","Brazil – Sao Paulo","SP","glm",34,86,78,50,64,78,78,57,57,9994,10000
"America","Brazil","Brazil – Sao Paulo","SP","rf",85,89,81,50,68,81,81,62,62,9994,10000
"America","Brazil","Brazil – Sergipe","SE","icar",24,82,74,50,58,73,74,47,47,9975,9991
"America","Brazil","Brazil – Sergipe","SE","glm",17,78,72,50,56,72,72,43,43,9975,9991
"America","Brazil","Brazil – Sergipe","SE","rf",58,73,68,50,51,68,68,36,36,9975,9991
"America","Brazil","Brazil – Tocantins","TO","icar",22,77,69,50,53,69,69,38,38,10000,10000
"America","Brazil","Brazil – Tocantins","TO","glm",3,63,59,50,41,59,59,17,17,10000,10000
"America","Brazil","Brazil – Tocantins","TO","rf",76,70,65,50,48,65,65,30,30,10000,10000
"America","Colombia","Colombia","COL","icar",56,93,86,50,75,86,86,72,72,49998,49996
"America","Colombia","Colombia","COL","glm",43,90,83,50,71,83,83,66,66,49998,49996
"America","Colombia","Colombia","COL","rf",89,94,87,50,76,87,87,73,73,49998,49996
"America","Costa Rica","Costa Rica","CRI","icar",44,90,82,50,69,82,82,64,64,9992,9987
"America","Costa Rica","Costa Rica","CRI","glm",40,89,81,50,68,81,81,62,62,9992,9987
"America","Costa Rica","Costa Rica","CRI","rf",86,90,82,50,70,82,82,65,65,9992,9987
"America","Cuba","Cuba","CUB","icar",27,82,74,50,59,74,74,48,48,9946,9934
"America","Cuba","Cuba","CUB","glm",12,73,66,50,50,66,66,33,33,9946,9934
"America","Cuba","Cuba","CUB","rf",79,79,71,50,55,71,71,42,42,9946,9934
"America","Dominica","Dominica","DMA","icar",47,92,85,50,74,85,85,71,71,9991,9870
