"cont","iso3","int","pa","alt","slope","ddefor","dedge","driver","droad","dtown","Vrho"
"America","SUR",-0.596,-0.47,-0.54,-0.0187,-0.92,NA,-0.0345,-1.05,-0.529,11.9
"America","SXM",-4.74,NA,-0.736,-0.118,-0.931,NA,NA,NA,NA,24.9
"America","TTO",-0.431,-0.22,-0.194,-0.24,-0.563,-0.589,NA,-0.235,-0.15,2.03
"America","VCT",-2.15,-0.324,NA,-0.107,-0.692,-0.141,NA,NA,-0.172,6.94
"America","VEN",-0.928,-0.0908,-0.425,-0.157,-0.886,-0.926,-0.177,NA,-0.652,8.48
"America","VGB",-1.27,NA,NA,-0.464,-0.76,NA,NA,NA,NA,51.5
"America","VIR",-1.93,NA,NA,-0.208,NA,NA,NA,-0.577,NA,40.2
"Asia","AUS-QLD",-1.45,-0.421,NA,-0.221,-0.348,-0.595,0.0229,-0.405,NA,15.6
"Asia","BGD",-0.572,-0.128,NA,-0.175,-0.437,-0.22,NA,0.00464,-0.0646,2.88
"Asia","BRN",-0.0549,-1.47,-0.568,-0.272,-1.21,NA,NA,-0.599,-0.416,18.9
"Asia","BTN",0.0195,-0.463,-0.448,-0.162,-0.768,-0.59,-0.196,-0.252,-0.0933,5.46
"Asia","FJI",-0.159,-0.435,NA,-0.289,-0.434,-0.139,-0.293,-0.247,NA,13.4
"Asia","IDN",-1.33,-0.957,-0.571,-0.348,-0.79,-0.154,NA,-0.382,-0.109,7.32
"Asia","IND-AND",-0.225,-0.326,-0.376,-0.282,-0.968,-1.09,NA,-0.592,NA,24.5
"Asia","IND-WEST",0.631,-0.463,-0.182,-0.417,-0.66,-0.465,-0.0542,-0.341,-0.0554,4.58
"Asia","IND-EAST",-0.786,-0.174,-0.146,-0.459,-1.29,-0.516,NA,-0.223,-0.0958,2.8
"Asia","KHM",-0.984,-0.107,-0.701,-0.559,-0.562,NA,NA,-0.489,-0.208,9.74
"Asia","LAO",-0.734,-0.757,-0.461,-0.388,-0.884,-0.178,NA,-0.115,-0.385,3.23
"Asia","LKA",0.0629,-0.752,-0.142,-0.22,-0.888,-0.532,-0.0127,-0.297,-0.0713,4.39
"Asia","MMR",-0.225,-0.682,-0.391,-0.51,-0.707,-0.283,-0.0733,-0.297,-0.152,5.32
"Asia","MYS",-0.229,-1.39,-0.504,-0.277,-0.208,-0.0803,NA,-0.273,-0.0109,5.67
"Asia","NCL",0.483,-0.0123,NA,-0.187,-0.512,-1.21,NA,-0.37,-0.235,7.26
"Asia","PHL",-0.574,-0.121,-0.161,-0.25,-0.553,-0.35,NA,-0.0844,NA,3.46
"Asia","PNG",-0.397,-0.334,-0.827,-0.187,-0.637,-0.366,-0.0525,-0.265,-0.0958,6.06
"Asia","SGP",0.86,-1.49,-0.118,-0.044,-0.277,-0.523,NA,-1.21,NA,25.1
"Asia","SLB",-0.144,NA,-0.369,-0.0778,-0.0616,NA,-0.196,-0.297,NA,2.68
"Asia","THA",-0.703,-0.818,-0.699,-0.458,-1.53,-0.579,NA,-0.0263,-0.131,3.66
"Asia","TLS",-0.0321,-0.0644,NA,-0.274,-0.59,-0.44,-0.00656,-0.274,NA,2.01
"Asia","VNM",-0.865,-0.949,-1,-0.428,-0.712,-0.522,-0.0211,-0.24,NA,5.31
"Asia","VUT",-0.176,-0.749,-0.129,-0.119,-0.0456,-0.408,NA,NA,-0.337,9.11
"Brazil","BRA-AC",-1.55,-0.447,-0.012,NA,-2.26,-1.41,-0.169,-0.317,-0.33,5.44
"Brazil","BRA-AL",0.127,-0.373,NA,-0.342,-0.326,-0.455,NA,-0.0421,-0.0536,1.45
"Brazil","BRA-AM",-1.82,-0.593,-0.184,NA,-1.32,-1.02,-0.445,-0.819,-0.725,16.5
"Brazil","BRA-AP",-0.697,-0.0499,-0.408,-0.0148,-0.814,-1.09,-0.0408,-0.602,-0.604,7.98
"Brazil","BRA-BA",-0.147,-0.201,NA,-0.323,-0.284,-0.439,NA,NA,NA,3.8
"Brazil","BRA-CE",0.382,-0.387,-0.227,-0.476,-0.468,-0.0855,-0.033,-0.0606,-0.0788,3.32
"Brazil","BRA-ES",-0.126,-1.01,-0.0119,-0.306,-0.366,-1.06,NA,NA,NA,1.73
"Brazil","BRA-GO",-0.384,NA,NA,-0.307,-0.462,-0.0378,NA,-0.02,NA,5.91
"Brazil","BRA-MA",-0.551,-0.341,NA,-0.292,-0.423,-0.0498,NA,-0.0642,-0.131,2.07
"Brazil","BRA-MG",-0.242,-0.317,NA,-0.334,-0.544,-0.133,NA,NA,NA,3.34
"Brazil","BRA-MS",-0.974,-0.916,NA,-0.418,-0.515,-0.291,NA,-0.207,NA,11.6
"Brazil","BRA-MT",-0.962,-0.743,NA,-0.172,-0.829,-0.564,NA,-0.317,-0.292,11.1
"Brazil","BRA-PA",-0.789,-0.929,-0.0658,-0.0876,-0.988,-0.696,-0.00332,-0.912,-0.455,7.78
"Brazil","BRA-PB",0.256,-0.706,-0.132,-0.475,-0.401,-0.449,0.0121,-0.118,NA,3.74
"Brazil","BRA-PE",1.05,-0.644,-0.168,-0.404,-0.383,-0.588,NA,-0.0627,-0.0737,2.27
"Brazil","BRA-PI",-0.521,NA,NA,-0.284,-0.385,-0.184,NA,-0.0281,-0.105,4.65
"Brazil","BRA-PR",-1.07,-0.218,NA,-0.13,-0.626,-0.0997,NA,NA,NA,4.58
"Brazil","BRA-RJ",-0.179,-0.283,-0.13,-0.128,-0.379,-1.1,-0.0752,-0.0173,-0.0448,3.12
"Brazil","BRA-RN",-0.0471,-0.501,NA,-0.618,-0.739,-0.282,-0.0377,-0.186,-0.136,7.9
"Brazil","BRA-RO",-0.772,-1.48,NA,-0.138,-1.5,-0.191,0.0111,-0.35,-0.203,6.44
"Brazil","BRA-RR",-1.24,-0.445,-0.48,NA,-0.678,-0.769,-0.0775,-0.329,-1.03,11.5
"Brazil","BRA-RS",-0.295,-0.627,NA,-0.449,-0.508,-0.309,NA,-0.0844,NA,4.02
"Brazil","BRA-SC",-0.48,-0.576,NA,-0.467,-0.281,-0.254,NA,-0.0627,-0.0319,3.28
"Brazil","BRA-SE",-0.188,-0.377,NA,-0.212,-0.199,-0.135,NA,-0.0303,NA,3.14
"Brazil","BRA-SP",-1.32,-0.302,NA,-0.308,-1.03,-0.97,NA,-0.0373,NA,7.69
"Brazil","BRA-TO",-0.371,-0.421,NA,-0.28,-0.228,NA,NA,-0.153,-0.00682,4.1
