"cont","iso3","int","pa","alt","slope","ddefor","dedge","driver","droad","dtown","Vrho"
"America","LCA",-1.35,NA,-0.278,-0.152,-0.766,-3.29,NA,-0.044,-0.0771,3.9
"America","MAF",-0.505,-1.18,NA,-0.334,-0.249,-0.609,NA,NA,NA,7.7
"America","MEX",-0.773,-0.328,-0.185,-0.257,-0.746,-1.6,NA,-0.0564,NA,3.6
"America","MSR",-6.51,NA,-0.243,NA,-1.47,-5.27,-0.329,NA,NA,7.12
"America","MTQ",-1.75,-0.124,-0.392,-0.213,-1.27,-4.94,-0.0113,-0.0198,-0.00576,1.85
"America","NIC",-1.14,NA,-0.299,-0.0919,-0.584,-1.44,NA,-0.178,NA,3.45
"America","PAN",-2.23,-0.344,-0.147,-0.23,-2.31,-3.58,NA,-0.521,NA,3.17
"America","PER",-2.36,-0.684,-0.549,-0.338,-2.94,-4.88,-0.00804,-0.531,-0.457,4.98
"America","PRI",-0.0337,NA,-0.264,-0.09,-0.65,-0.741,NA,NA,-0.0607,2.47
"America","PRY",-0.497,-0.167,-0.117,-0.182,-0.673,-0.394,NA,-0.0582,NA,3.46
"America","SLV",-0.0768,-0.426,-0.322,-0.172,-0.766,-1.57,-0.0122,-0.0678,-0.111,5.86
"America","SUR",-1.38,-0.171,-0.584,NA,-0.716,-1.23,NA,-0.553,-0.51,14.2
"America","SXM",-0.0324,NA,NA,-0.533,-0.629,-0.461,-0.523,-0.186,-0.29,30.4
"America","TTO",-2.84,-0.292,-0.0828,-0.0321,-2.42,-5.56,0.0108,-0.0737,-0.163,1.79
"America","VCT",-0.339,NA,-0.806,-0.14,-1.79,-1.17,NA,-0.0983,NA,2.32
"America","VEN",-3.16,-0.12,-0.378,-0.109,-1.66,-7.35,-0.0904,-0.444,-0.356,5.86
"America","VGB",0.511,NA,-0.386,NA,-1.05,-0.937,NA,NA,NA,12.9
"America","VIR",0.00802,-0.0374,NA,-0.127,-0.162,-0.647,NA,-0.0369,NA,6.46
"Asia","AUS-QLD",-1.06,-0.428,NA,-0.0877,-0.794,-2.6,NA,-0.0253,NA,5.39
"Asia","BGD",-0.323,-0.511,-0.0997,-0.143,-0.625,-1.33,NA,-0.185,-0.0237,4.13
"Asia","BRN",-0.491,-1.1,-0.863,-0.353,-2.1,-0.404,NA,-0.744,-0.256,16
"Asia","BTN",-1.22,-0.00877,-0.0329,-0.00863,-6.34,-1.58,-0.0242,-0.0664,NA,0.821
"Asia","FJI",-2.03,-0.381,-0.454,-0.125,NA,-5.28,NA,-0.199,-0.0516,5.34
"Asia","IDN",-1.29,-0.738,-0.378,-0.541,-1.16,-2.09,NA,-0.389,-0.115,7.26
"Asia","IND-AND",-6.39,0.0286,-0.0802,-0.175,-0.096,-19.1,0.0253,-0.102,0.0288,4.33
"Asia","IND-WEST",-0.0412,-0.305,-0.473,-0.0363,-0.63,-2.05,NA,-0.163,-0.0462,2.34
"Asia","IND-EAST",-0.939,-0.163,-0.321,-0.219,-4.86,-1.69,-0.0299,-0.159,NA,1.73
"Asia","KHM",-0.413,-0.255,-1.19,-0.217,-0.962,-0.423,NA,-0.419,-0.273,9.43
"Asia","LAO",-0.366,-0.427,-0.376,-0.315,-1.25,-0.86,NA,-0.118,-0.208,2.18
"Asia","LKA",-0.0903,-0.307,-0.0875,-0.249,-0.828,-1.44,-0.0283,-0.108,-0.0749,1.82
"Asia","MMR",-0.351,-0.21,-0.404,-0.183,-1.02,-1.74,-0.0944,-0.166,-0.0394,2.55
"Asia","MYS",-0.733,-1.08,-0.507,-0.459,-0.665,-1.96,NA,-0.227,-0.0388,6.83
"Asia","NCL",-1.58,NA,-0.374,-0.0797,-0.415,-7.73,NA,-0.122,-0.0348,3.74
"Asia","PHL",-1.41,-0.18,-0.184,-0.41,-1.52,-2.7,NA,-0.156,-0.0294,2.22
"Asia","PNG",-1.54,-0.288,-0.582,-0.411,-0.158,-3.83,-0.0791,-0.254,-0.144,6.34
"Asia","SGP",0.346,-1.23,-0.166,-0.145,-1.14,-1.26,NA,-0.882,NA,10.9
"Asia","SLB",-0.275,-0.191,-0.553,-0.477,-0.39,-1.21,-0.375,-0.485,NA,5.68
"Asia","THA",-1.39,-0.202,-0.761,-0.00416,-1.72,-3.55,-0.0257,-0.0538,NA,1.9
"Asia","TLS",-0.474,-0.00336,-0.283,-0.0474,-0.673,-1.59,-0.0765,-0.0224,-0.0773,1.93
"Asia","VNM",-0.79,-0.525,-0.291,-0.299,-1.63,-1.55,NA,-0.161,NA,3.27
"Asia","VUT",-2.79,-0.48,-0.0419,-0.493,-0.597,-2.83,-0.184,NA,NA,18
"Brazil","BRA-AC",-4.17,-0.723,NA,-0.0061,-5.46,-5.17,-0.00419,NA,-0.308,3.93
"Brazil","BRA-AL",0.718,-0.248,-0.427,-0.0101,-0.48,-1.65,-0.114,-0.116,-0.207,3.51
