"cont","iso3","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100"
"Brazil","BRA-AM",154656047,167950645,246934726,324815578,484171036,564297029,646719533,815883274,990323079,1079625053,1171159313,1359615783
"Brazil","BRA-AP",8983680,5705987,9144228,12824531,23624656,30592342,40046694,63337517,92561320,110026614,130903524,182303121
"Brazil","BRA-BA",12330682,11054282,17363797,24118108,40840617,50541565,62243260,88994916,120977639,140185751,143914431,143914431
"Brazil","BRA-CE",478808,515738,821920,1092463,2033332,2033332,2033332,2033332,2033332,2033332,2033332,2033332
"Brazil","BRA-ES",1721466,2048374,2985113,3965614,7578412,10316371,14979222,23955195,23955195,23955195,23955195,23955195
"Brazil","BRA-GO",3008811,2837199,4017160,5070634,5989753,5989753,5989753,5989753,5989753,5989753,5989753,5989753
"Brazil","BRA-MA",55572655,56937458,82977412,110425932,174144982,259740888,259740888,259740888,259740888,259740888,259740888,259740888
"Brazil","BRA-MG",16389419,15975292,24543561,34482619,49066192,49066192,49066192,49066192,49066192,49066192,49066192,49066192
"Brazil","BRA-MS",2942909,2581021,4083643,5624446,9663875,12086959,15122746,22553219,22553219,22553219,22553219,22553219
"Brazil","BRA-MT",245464030,235184129,355261108,475985234,725748868,856820819,994408325,1286295643,1602326976,1769143727,1943673317,2314340528
"Brazil","BRA-PA",444812849,482562842,713742466,944270758,1417389279,1662557307,1916871420,2441361182,2981477248,3258894416,3543112838,4130805693
"Brazil","BRA-PB",67528,78028,108429,136786,925248,925248,925248,925248,925248,925248,925248,925248
"Brazil","BRA-PE",253302,276965,400625,526939,1677574,2920952,3157756,3157756,3157756,3157756,3157756,3157756
"Brazil","BRA-PI",1142496,1263597,1822883,2232235,2290942,2290942,2290942,2290942,2290942,2290942,2290942,2290942
"Brazil","BRA-PR",18691772,18316878,26349571,34246981,51978227,61747103,73117752,98867898,130637036,150483935,174098016,199489921
"Brazil","BRA-RJ",2740176,2248284,3781751,5472065,11527774,15906355,22553591,40083459,61872209,61872209,61872209,61872209
"Brazil","BRA-RN",43903,44878,64993,85468,410272,410272,410272,410272,410272,410272,410272,410272
"Brazil","BRA-RO",127887228,133755392,192659470,250464499,376481644,447671070,526196284,693862228,871950226,964390814,1060200438,1259578954
"Brazil","BRA-RR",63221141,68547606,101216179,133850475,202915533,239726232,278847012,361970996,450148597,495952926,544416092,649833918
"Brazil","BRA-RS",7672734,5640175,8767755,12125641,20824461,26162122,32926238,49250743,69307038,80909906,94334807,127534036
"Brazil","BRA-SC",13939837,13764607,20271841,26709973,41645391,49990558,59983732,82470619,108273089,122534348,138558911,175923288
"Brazil","BRA-SE",181427,173557,264644,357078,1552151,1552151,1552151,1552151,1552151,1552151,1552151,1552151
"Brazil","BRA-SP",8303714,4798634,8199614,12298650,24371316,32148283,42212127,66175305,94583511,110378185,128106814,168392746
"Brazil","BRA-TO",18454283,14944943,22058374,31271196,34695710,34695710,34695710,34695710,34695710,34695710,34695710,34695710
