"cont","year","fc","perc"
"Asia",2101,75066914,76.0013648741837
"Africa",2102,115577199,58.4035611762167
"America",2102,411687611,41.7489920708866
"Asia",2102,73315953,76.5611411047416
"Africa",2103,114432135,58.8156717398697
"America",2103,409201774,42.100721165784
"Asia",2103,71564992,77.1209173352995
"Africa",2104,113287071,59.2277823035226
"America",2104,406715937,42.4524502606813
"Asia",2104,69814031,77.6806935658574
"Africa",2105,112142007,59.6398928671755
"America",2105,404230100,42.8041793555787
"Asia",2105,68094597,78.2303907225691
"Africa",2106,110996943,60.0520034308284
"America",2106,401744263,43.155908450476
"Asia",2106,66581803,78.7140257795068
"Africa",2107,109914643,60.4415251196088
"America",2107,399258426,43.5076375453734
"Asia",2107,65069009,79.1976608364445
"Africa",2108,108861133,60.8206852363481
"America",2108,396772589,43.8593666402707
"Asia",2108,63556215,79.6812958933821
"Africa",2109,107807623,61.1998453530874
"America",2109,394286752,44.2110957351681
"Asia",2109,62043421,80.1649309503198
"Africa",2110,106754113,61.5790054698267
"America",2110,391800915,44.5628248300654
"Asia",2110,60547461,80.6431842351533
"Africa",2111,105700603,61.9581655865661
"America",2111,389315078,44.9145539249628
"Asia",2111,59052674,81.1210625159071
"Africa",2112,104647093,62.3373257033054
"America",2112,386837494,45.2651152762711
"Asia",2112,57557887,81.5989407966609
"Africa",2113,103602913,62.7131279365038
"America",2113,384381155,45.6126706040062
"Asia",2113,56063100,82.0768190774147
"Africa",2114,102561387,63.087974990397
"America",2114,381924816,45.9602259317413
"Asia",2114,54568313,82.5546973581685
"Africa",2115,101519861,63.4628220442902
"America",2115,379468477,46.3077812594764
"Asia",2115,53073526,83.0325756389223
"Africa",2116,100478335,63.8376690981834
"America",2116,377012138,46.6553365872115
"Asia",2116,51578739,83.5104539196761
"Africa",2117,99436809,64.2125161520766
"America",2117,374555799,47.0028919149466
"Asia",2117,50131915,83.9729985937155
"Africa",2118,98395283,64.5873632059699
"America",2118,372099460,47.3504472426818
"Asia",2118,48701168,84.4304035059563
"Africa",2119,97353928,64.9621487166599
"America",2119,369643121,47.6980025704169
"Asia",2119,47270421,84.8878084181971
"Africa",2120,96312847,65.3368356142642
"America",2120,367186782,48.045557898152
"Asia",2120,45839674,85.3452133304379
"Africa",2121,95271766,65.7115225118685
"America",2121,364730443,48.3931132258871
"Asia",2121,44408927,85.8026182426786
"Africa",2122,94230685,66.0862094094728
"America",2122,362274104,48.7406685536222
"Asia",2122,42978180,86.2600231549194
"Africa",2123,93189604,66.4608963070771
"America",2123,359817765,49.0882238813573
"Asia",2123,42323378,86.4693611100891
"Africa",2124,92148523,66.8355832046813
"America",2124,357361426,49.4357792090924
"Asia",2124,42033294,86.562099970672
"Africa",2125,91107442,67.2102701022856
"America",2125,354905087,49.7833345368275
"Asia",2125,41743210,86.6548388312549
"Africa",2126,90066361,67.5849569998899
"America",2126,352448748,50.1308898645627
"Asia",2126,41453126,86.7475776918379
"Africa",2127,89025280,67.9596438974942
"America",2127,349992409,50.4784451922978
"Asia",2127,41163042,86.8403165524208
"Africa",2128,87984199,68.3343307950985
"America",2128,347536070,50.8260005200329
"Asia",2128,40872958,86.9330554130037
"Africa",2129,86943118,68.7090176927028
"America",2129,345079731,51.173555847768
"Asia",2129,40638269,87.0080846819443
"Africa",2130,85902037,69.0837045903071
"America",2130,342623392,51.5211111755031
"Asia",2130,40411990,87.0804253027088
"Africa",2131,84860956,69.4583914879113
"America",2131,340167053,51.8686665032382
"Asia",2131,40185711,87.1527659234733
"Africa",2132,83819875,69.8330783855156
"America",2132,337710714,52.2162218309733
"Asia",2132,39959432,87.2251065442378
"Africa",2133,82779078,70.2076630710164
"America",2133,335255789,52.5635770872878
"Asia",2133,39733153,87.2974471650022
"Africa",2134,81738437,70.5821916118406
"America",2134,332802268,52.9107336871137
"Asia",2134,39506874,87.3697877857667
"Africa",2135,80697796,70.9567201526649
"America",2135,330348747,53.2578902869397
"Asia",2135,39280595,87.4421284065312
"Africa",2136,79657155,71.3312486934891
"America",2136,327895226,53.6050468867657
"Asia",2136,39111591,87.4961584060967
"Africa",2137,78616514,71.7057772343133
"America",2137,325441705,53.9522034865917
"Asia",2137,39000235,87.5317585376416
"Africa",2138,77575873,72.0803057751375
"America",2138,322988184,54.2993600864177
"Asia",2138,38888879,87.5673586691865
"Africa",2139,76535232,72.4548343159617
"America",2139,320534663,54.6465166862437
"Asia",2139,38777523,87.6029588007315
"Africa",2140,75494591,72.829362856786
"America",2140,318081142,54.9936732860697
