"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Guatemala","Guatemala","GTM",3503631,3041953,2727576,2501803,2281565,4817,48867,39425,58309,58309,2.4,1698475,1406930,1115385,532295,240750,0,0,0,0,0,0,2059
"America","Guyana","Guyana","GUY",18629589,18560054,18503776,18443678,18361596,1961,15128,11284,18972,18972,0.1,18171876,18077016,17982156,17792436,17697576,17602716,17412996,17223276,17128416,17033556,16843836,2987
"America","Haiti","Haiti","HTI",256246,199991,167635,139270,121983,557,4840,3747,5932,5932,4.3,62663,33003,3343,0,0,0,0,0,0,0,0,2040
"America","Honduras","Honduras","HND",3434964,3199796,3018384,2778623,2571484,5513,46107,35302,56912,56912,2.1,2002364,1717804,1433244,864124,579564,295004,0,0,0,0,0,2065
"America","Jamaica","Jamaica","JAM",482132,448766,426769,405883,395296,700,3295,1924,4667,4667,1.2,348626,325291,301956,255286,231951,208616,161946,115276,91941,68606,21936,2104
"America","Martinique","Martinique","MTQ",72811,72502,70609,67890,65994,91,428,250,605,605,0.9,59944,56919,53894,47844,44819,41794,35744,29694,26669,23644,17594,2129
"America","Mexico","Mexico","MEX",9349925,8349575,7512429,6919623,6269836,20022,134606,95362,173849,173849,2.6,4531346,3662101,2792856,1054366,185121,0,0,0,0,0,0,2056
"America","Montserrat","Montserrat","MSR",3418,3416,3396,3320,3287,3,11,4,17,17,0.5,3117,3032,2947,2777,2692,2607,2437,2267,2182,2097,1927,2213
"America","Nicaragua","Nicaragua","NIC",4971710,4685975,4312486,3749173,3375969,19099,96471,59037,133905,133905,3.6,2036919,1367394,697869,0,0,0,0,0,0,0,0,2045
"America","Panama","Panama","PAN",4442894,4334780,4214421,4117072,3998243,2403,23270,18559,27981,27981,0.7,3718433,3578528,3438623,3158813,3018908,2879003,2599193,2319383,2179478,2039573,1759763,2162
"America","Paraguay","Paraguay","PRY",2370210,1769522,1458034,1235606,1070949,8858,40701,23340,58063,58063,5,490319,200004,0,0,0,0,0,0,0,0,0,2038
"America","Peru","Peru","PER",73541440,72857996,72081208,71351409,70775079,5978,139441,127725,151158,151158,0.2,69263499,68507709,67751919,66240339,65484549,64728759,63217179,61705599,60949809,60194019,58682439,2488
"America","Puerto Rico","Puerto Rico","PRI",426377,393067,366795,344235,319918,1325,4794,2197,7390,7390,2.2,246018,209068,172118,98218,61268,24318,0,0,0,0,0,2063
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",9222,9182,8987,8828,8600,10,41,20,61,61,0.7,7990,7685,7380,6770,6465,6160,5550,4940,4635,4330,3720,2160
"America","Saint Lucia","Saint Lucia","LCA",47508,47412,46884,44869,43954,76,260,111,409,409,0.9,39864,37819,35774,31684,29639,27594,23504,19414,17369,15324,11234,2127
"America","Saint Martin","Saint Martin","MAF",729,690,563,493,255,12,29,6,52,52,22.7,0,0,0,0,0,0,0,0,0,0,0,2024
"America","Saint Vincent","Saint Vincent","VCT",28785,28764,28543,27834,27457,30,101,43,159,159,0.6,25867,25072,24277,22687,21892,21097,19507,17917,17122,16327,14737,2192
"America","Sint Maarten","Sint Maarten","SXM",308,291,217,189,105,5,12,3,21,21,29.1,0,0,0,0,0,0,0,0,0,0,0,2025
"America","Suriname","Suriname","SUR",13827704,13781883,13740572,13683871,13626641,1215,12244,9863,14624,14624,0.1,13480401,13407281,13334161,13187921,13114801,13041681,12895441,12749201,12676081,12602961,12456721,2951
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",348862,345103,333760,314079,306508,928,2875,1057,4693,4693,1.5,259578,236113,212648,165718,142253,118788,71858,24928,1463,0,0,2085
"America","Venezuela","Venezuela","VEN",44819033,43649334,42989517,42151553,41462787,24683,150789,102409,199168,199168,0.5,39471107,38475267,37479427,35487747,34491907,33496067,31504387,29512707,28516867,27521027,25529347,2228
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",4040,3382,2878,2467,1853,34,106,39,173,173,8.8,123,0,0,0,0,0,0,0,0,0,0,2030
"America","Virgin Isl. US","Virgin Isl. US","VIR",9284,8603,8185,7636,6426,59,175,60,290,290,4.3,3526,2076,626,0,0,0,0,0,0,0,0,2042
"Africa","Angola","Angola","AGO",7172909,6553638,6113253,5615976,5262095,11558,87859,65205,110512,110512,2,4156975,3604415,3051855,1946735,1394175,841615,0,0,0,0,0,2067
"Africa","Benin","Benin","BEN",75164,58665,47193,39348,32299,297,1524,941,2107,2107,5.7,11229,694,0,0,0,0,0,0,0,0,0,2035
"Africa","Burundi","Burundi","BDI",106984,78239,65078,57601,54976,372,1277,548,2007,2007,3.6,34906,24871,14836,0,0,0,0,0,0,0,0,2047
"Africa","Cameroon","Cameroon","CMR",23883397,23745710,23572206,23269723,22876201,8795,69531,52294,86769,86769,0.4,22008511,21574666,21140821,20273131,19839286,19405441,18537751,17670061,17236216,16802371,15934681,2283
"Africa","CAR","CAR","CAF",9810437,9561444,9345475,9083331,8819958,6898,52669,39149,66188,66188,0.7,8158078,7827138,7496198,6834318,6503378,6172438,5510558,4848678,4517738,4186798,3524918,2153
"Africa","Comoros","Comoros","COM",86655,86648,86647,86647,81881,490,1109,149,2069,2069,2.7,61191,50846,40501,19811,9466,0,0,0,0,0,0,2059
"Africa","Congo","Congo","COG",24093110,24055417,23972033,23671269,23376720,7497,57438,42744,72132,72132,0.3,22655400,22294740,21934080,21212760,20852100,20491440,19770120,19048800,18688140,18327480,17606160,2344
"Africa","DRC","DRC","COD",131616541,129175740,126163707,121659648,117811537,66837,860137,729137,991138,991138,0.8,107900157,102944467,97988777,88077397,83121707,78166017,68254637,58343257,53387567,48431877,38520497,2138
"Africa","Eq. Guinea","Eq. Guinea","GNQ",2647036,2646362,2642819,2625942,2610005,392,3106,2338,3874,3874,0.1,2571265,2551895,2532525,2493785,2474415,2455045,2416305,2377565,2358195,2338825,2300085,2693
"Africa","Ethiopia","Ethiopia","ETH",3806058,3286258,2858117,2422128,2131141,11401,76204,53859,98550,98550,4.1,1145641,652891,160141,0,0,0,0,0,0,0,0,2041
"Africa","Gabon","Gabon","GAB",24131699,24124649,24110306,24053665,23974448,2217,12950,8604,17295,17295,0.1,23801498,23715023,23628548,23455598,23369123,23282648,23109698,22936748,22850273,22763798,22590848,3406
"Africa","Gambia","Gambia","GMB",52100,47993,45724,44165,41529,115,378,152,603,603,1.4,35499,32484,29469,23439,20424,17409,11379,5349,2334,0,0,2088
"Africa","Ghana","Ghana","GHA",4931046,4770715,4467124,4091400,3325917,24093,114594,67372,161815,161815,4.4,1707767,898692,89617,0,0,0,0,0,0,0,0,2040
"Africa","Guinea","Guinea","GIN",1913692,1530673,1239294,995933,840609,3789,43364,35937,50791,50791,5.1,332699,78744,0,0,0,0,0,0,0,0,0,2036
