"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",4040,3382,2878,2467,1853,34,106,39,173,39,1.4,1463,1268,1073,683,488,293,0,0,0,0,0,2067
"America","Virgin Isl. US","Virgin Isl. US","VIR",9284,8603,8185,7636,6426,59,175,60,290,60,0.8,5826,5526,5226,4626,4326,4026,3426,2826,2526,2226,1626,2127
"Africa","Angola","Angola","AGO",7172909,6553638,6113253,5615976,5262095,11558,87859,65205,110512,65205,1.1,4610045,4284020,3957995,3305945,2979920,2653895,2001845,1349795,1023770,697745,45695,2100
"Africa","Benin","Benin","BEN",75164,58665,47193,39348,32299,297,1524,941,2107,941,2.2,22889,18184,13479,4069,0,0,0,0,0,0,0,2054
"Africa","Burundi","Burundi","BDI",106984,78239,65078,57601,54976,372,1277,548,2007,548,0.9,49496,46756,44016,38536,35796,33056,27576,22096,19356,16616,11136,2120
"Africa","Cameroon","Cameroon","CMR",23883397,23745710,23572206,23269723,22876201,8795,69531,52294,86769,52294,0.2,22353261,22091791,21830321,21307381,21045911,20784441,20261501,19738561,19477091,19215621,18692681,2457
"Africa","CAR","CAR","CAF",9810437,9561444,9345475,9083331,8819958,6898,52669,39149,66188,39149,0.4,8428468,8232723,8036978,7645488,7449743,7253998,6862508,6471018,6275273,6079528,5688038,2245
"Africa","Comoros","Comoros","COM",86655,86648,86647,86647,81881,490,1109,149,2069,149,0.2,80391,79646,78901,77411,76666,75921,74431,72941,72196,71451,69961,2569
"Africa","Congo","Congo","COG",24093110,24055417,23972033,23671269,23376720,7497,57438,42744,72132,42744,0.2,22949280,22735560,22521840,22094400,21880680,21666960,21239520,20812080,20598360,20384640,19957200,2566
"Africa","DRC","DRC","COD",131616541,129175740,126163707,121659648,117811537,66837,860137,729137,991138,729137,0.6,110520167,106874482,103228797,95937427,92291742,88646057,81354687,74063317,70417632,66771947,59480577,2181
"Africa","Eq. Guinea","Eq. Guinea","GNQ",2647036,2646362,2642819,2625942,2610005,392,3106,2338,3874,2338,0.1,2586625,2574935,2563245,2539865,2528175,2516485,2493105,2469725,2458035,2446345,2422965,3136
"Africa","Ethiopia","Ethiopia","ETH",3806058,3286258,2858117,2422128,2131141,11401,76204,53859,98550,53859,2.1,1592551,1323256,1053961,515371,246076,0,0,0,0,0,0,2059
"Africa","Gabon","Gabon","GAB",24131699,24124649,24110306,24053665,23974448,2217,12950,8604,17295,8604,0,23888408,23845388,23802368,23716328,23673308,23630288,23544248,23458208,23415188,23372168,23286128,4806
"Africa","Gambia","Gambia","GMB",52100,47993,45724,44165,41529,115,378,152,603,152,0.3,40009,39249,38489,36969,36209,35449,33929,32409,31649,30889,29369,2293
"Africa","Ghana","Ghana","GHA",4931046,4770715,4467124,4091400,3325917,24093,114594,67372,161815,67372,1.6,2652197,2315337,1978477,1304757,967897,631037,0,0,0,0,0,2069
"Africa","Guinea","Guinea","GIN",1913692,1530673,1239294,995933,840609,3789,43364,35937,50791,35937,3.4,481239,301554,121869,0,0,0,0,0,0,0,0,2043
"Africa","Guinea Bissau","Guinea Bissau","GNB",410011,357620,335068,312085,290321,277,4789,4247,5332,4247,1.3,247851,226616,205381,162911,141676,120441,77971,35501,14266,0,0,2088
"Africa","Ivory Coast","Ivory Coast","CIV",7710141,7163039,6367822,5110407,3871989,34008,258740,192085,325396,192085,3.5,1951139,990714,30289,0,0,0,0,0,0,0,0,2040
"Africa","Kenya","Kenya","KEN",1206091,1030146,901761,837152,749180,4497,18935,10121,27749,10121,1.2,647970,597365,546760,445550,394945,344340,243130,141920,91315,40710,0,2094
"Africa","Liberia","Liberia","LBR",8909145,8868862,8706835,8359197,7804544,13866,92196,65019,119374,65019,0.8,7154354,6829259,6504164,5853974,5528879,5203784,4553594,3903404,3578309,3253214,2603024,2140
"Africa","Madagascar","Madagascar","MDG",7211553,6334507,5668869,4960761,4543201,12667,125713,100885,150541,100885,1.9,3534351,3029926,2525501,1516651,1012226,507801,0,0,0,0,0,2065
"Africa","Malawi","Malawi","MWI",115028,92771,70952,47992,38379,582,3588,2447,4729,2447,4.1,13909,1674,0,0,0,0,0,0,0,0,0,2035
"Africa","Mauritius","Mauritius","MUS",49679,49256,47404,44690,43480,170,435,101,768,101,0.2,42470,41965,41460,40450,39945,39440,38430,37420,36915,36410,35400,2450
"Africa","Mayotte","Mayotte","MYT",17934,17898,17253,13477,12236,185,493,131,855,131,0.8,10926,10271,9616,8306,7651,6996,5686,4376,3721,3066,1756,2113
"Africa","Nigeria","Nigeria","NGA",7777166,7571499,7242546,6852150,6257778,16391,100785,68659,132910,68659,1,5571188,5227893,4884598,4198008,3854713,3511418,2824828,2138238,1794943,1451648,765058,2111
"Africa","Reunion","Reunion","REU",141857,141813,141743,138428,134053,180,706,352,1059,352,0.3,130533,128773,127013,123493,121733,119973,116453,112933,111173,109413,105893,2400
"Africa","Rwanda","Rwanda","RWA",288448,231137,199111,169040,159771,1311,5065,2495,7635,2495,1.3,134821,122346,109871,84921,72446,59971,35021,10071,0,0,0,2084
"Africa","Senegal","Senegal","SEN",139624,135014,131508,127980,123646,224,703,263,1142,263,0.2,121016,119701,118386,115756,114441,113126,110496,107866,106551,105236,102606,2490
"Africa","Sierra Leone","Sierra Leone","SLE",3462182,3033370,2364721,1787914,1379963,14410,112450,84207,140694,84207,4.3,537893,116858,0,0,0,0,0,0,0,0,0,2036
"Africa","South Sudan","South Sudan","SSD",268640,231854,206744,182335,163766,553,4551,3467,5634,3467,1.8,129096,111761,94426,59756,42421,25086,0,0,0,0,0,2067
"Africa","Tanzania","Tanzania","TZA",1444419,1293163,1208300,1130421,1089819,2070,13598,9540,17655,9540,0.8,994419,946719,899019,803619,755919,708219,612819,517419,469719,422019,326619,2134
"Africa","Togo","Togo","TGO",159931,125957,104138,87032,65083,855,3887,2211,5564,2211,2.4,42973,31918,20863,0,0,0,0,0,0,0,0,2049
"Africa","Uganda","Uganda","UGA",1888004,1489147,1105528,849742,744998,6444,43532,30901,56163,30901,3.2,435988,281483,126978,0,0,0,0,0,0,0,0,2044
"Africa","Zambia","Zambia","ZMB",182617,142735,115938,95857,79807,660,3782,2488,5075,2488,2.4,54927,42487,30047,5167,0,0,0,0,0,0,0,2052
"Asia","Australia","Australia – Queensland","QLD",2078357,1968732,1896545,1831643,1776671,3109,14193,8100,20286,8100,0.4,1695671,1655171,1614671,1533671,1493171,1452671,1371671,1290671,1250171,1209671,1128671,2239
"Asia","Bangladesh","Bangladesh","BGD",982346,901540,831470,797984,781964,931,5949,4124,7773,4124,0.5,740724,720104,699484,658244,637624,617004,575764,534524,513904,493284,452044,2209
"Asia","Bhutan","Bhutan","BTN",2019326,1952777,1886291,1824727,1795038,1253,10769,8313,13226,8313,0.4,1711908,1670343,1628778,1545648,1504083,1462518,1379388,1296258,1254693,1213128,1129998,2235
"Asia","Brunei","Brunei","BRN",515193,507557,502251,497818,494430,111,901,684,1119,684,0.1,487590,484170,480750,473910,470490,467070,460230,453390,449970,446550,439710,2742
"Asia","Cambodia","Cambodia","KHM",4829395,4371680,3882966,3218407,2792304,16576,110142,77653,142631,77653,2.2,2015774,1627509,1239244,462714,74449,0,0,0,0,0,0,2055
"Asia","Fiji","Fiji","FJI",1006437,988762,964772,936652,924361,717,4465,3060,5869,3060,0.3,893761,878461,863161,832561,817261,801961,771361,740761,725461,710161,679561,2322
"Asia","India","India – Andaman and N.","AN",612986,607541,592206,581136,573667,655,1960,675,3245,675,0.1,566917,563542,560167,553417,550042,546667,539917,533167,529792,526417,519667,2869
