area_cont,area_ctry,area_name,area_code,proj,for2000,for2005,for2010,for2015,for2020,d_se,d_mean,d_min,d_max,andef,pdef,for2030,for2035,for2040,for2050,for2055,for2060,for2070,for2080,for2085,for2090,for2100,yrdis,id_cont,id_d
America,Jamaica,Jamaica,JAM,low,482132,448766,426769,405883,395296,700,3295,1924,4667,1924,0.5,376056,366436,356816,337576,327956,318336,299096,279856,270236,260616,241376,2225,1,1
America,Jamaica,Jamaica,JAM,mean,482132,448766,426769,405883,395296,700,3295,1924,4667,3295,0.8,362346,345871,329396,296446,279971,263496,230546,197596,181121,164646,131696,2139,1,2
America,Jamaica,Jamaica,JAM,high,482132,448766,426769,405883,395296,700,3295,1924,4667,4667,1.2,348626,325291,301956,255286,231951,208616,161946,115276,91941,68606,21936,2104,1,3
America,Martinique,Martinique,MTQ,low,72811,72502,70609,67890,65994,91,428,250,605,250,0.4,63494,62244,60994,58494,57244,55994,53494,50994,49744,48494,45994,2283,1,1
America,Martinique,Martinique,MTQ,mean,72811,72502,70609,67890,65994,91,428,250,605,428,0.6,61714,59574,57434,53154,51014,48874,44594,40314,38174,36034,31754,2174,1,2
America,Martinique,Martinique,MTQ,high,72811,72502,70609,67890,65994,91,428,250,605,605,0.9,59944,56919,53894,47844,44819,41794,35744,29694,26669,23644,17594,2129,1,3
America,Mexico,Mexico,MEX,low,9349925,8349575,7512429,6919623,6269836,20022,134606,95362,173849,95362,1.3,5316216,4839406,4362596,3408976,2932166,2455356,1501736,548116,71306,0,0,2085,1,1
America,Mexico,Mexico,MEX,mean,9349925,8349575,7512429,6919623,6269836,20022,134606,95362,173849,134606,2,4923776,4250746,3577716,2231656,1558626,885596,0,0,0,0,0,2066,1,2
America,Mexico,Mexico,MEX,high,9349925,8349575,7512429,6919623,6269836,20022,134606,95362,173849,173849,2.6,4531346,3662101,2792856,1054366,185121,0,0,0,0,0,0,2056,1,3
America,Montserrat,Montserrat,MSR,low,3418,3416,3396,3320,3287,3,11,4,17,4,0.1,3247,3227,3207,3167,3147,3127,3087,3047,3027,3007,2967,2841,1,1
America,Montserrat,Montserrat,MSR,mean,3418,3416,3396,3320,3287,3,11,4,17,11,0.3,3177,3122,3067,2957,2902,2847,2737,2627,2572,2517,2407,2318,1,2
America,Montserrat,Montserrat,MSR,high,3418,3416,3396,3320,3287,3,11,4,17,17,0.5,3117,3032,2947,2777,2692,2607,2437,2267,2182,2097,1927,2213,1,3
America,Nicaragua,Nicaragua,NIC,low,4971710,4685975,4312486,3749173,3375969,19099,96471,59037,133905,59037,1.5,2785599,2490414,2195229,1604859,1309674,1014489,424119,0,0,0,0,2077,1,1
America,Nicaragua,Nicaragua,NIC,mean,4971710,4685975,4312486,3749173,3375969,19099,96471,59037,133905,96471,2.5,2411259,1928904,1446549,481839,0,0,0,0,0,0,0,2054,1,2
America,Nicaragua,Nicaragua,NIC,high,4971710,4685975,4312486,3749173,3375969,19099,96471,59037,133905,133905,3.6,2036919,1367394,697869,0,0,0,0,0,0,0,0,2045,1,3
America,Panama,Panama,PAN,low,4442894,4334780,4214421,4117072,3998243,2403,23270,18559,27981,18559,0.4,3812653,3719858,3627063,3441473,3348678,3255883,3070293,2884703,2791908,2699113,2513523,2235,1,1
America,Panama,Panama,PAN,mean,4442894,4334780,4214421,4117072,3998243,2403,23270,18559,27981,23270,0.6,3765543,3649193,3532843,3300143,3183793,3067443,2834743,2602043,2485693,2369343,2136643,2191,1,2
America,Panama,Panama,PAN,high,4442894,4334780,4214421,4117072,3998243,2403,23270,18559,27981,27981,0.7,3718433,3578528,3438623,3158813,3018908,2879003,2599193,2319383,2179478,2039573,1759763,2162,1,3
America,Paraguay,Paraguay,PRY,low,2370210,1769522,1458034,1235606,1070949,8858,40701,23340,58063,23340,1.7,837549,720849,604149,370749,254049,137349,0,0,0,0,0,2065,1,1
America,Paraguay,Paraguay,PRY,mean,2370210,1769522,1458034,1235606,1070949,8858,40701,23340,58063,40701,3.2,663939,460434,256929,0,0,0,0,0,0,0,0,2046,1,2
America,Paraguay,Paraguay,PRY,high,2370210,1769522,1458034,1235606,1070949,8858,40701,23340,58063,58063,5,490319,200004,0,0,0,0,0,0,0,0,0,2038,1,3
America,Peru,Peru,PER,low,73541440,72857996,72081208,71351409,70775079,5978,139441,127725,151158,127725,0.2,69497829,68859204,68220579,66943329,66304704,65666079,64388829,63111579,62472954,61834329,60557079,2574,1,1
America,Peru,Peru,PER,mean,73541440,72857996,72081208,71351409,70775079,5978,139441,127725,151158,139441,0.2,69380669,68683464,67986259,66591849,65894644,65197439,63803029,62408619,61711414,61014209,59619799,2527,1,2
America,Peru,Peru,PER,high,73541440,72857996,72081208,71351409,70775079,5978,139441,127725,151158,151158,0.2,69263499,68507709,67751919,66240339,65484549,64728759,63217179,61705599,60949809,60194019,58682439,2488,1,3
America,Puerto Rico,Puerto Rico,PRI,low,426377,393067,366795,344235,319918,1325,4794,2197,7390,2197,0.6,297948,286963,275978,254008,243023,232038,210068,188098,177113,166128,144158,2165,1,1
America,Puerto Rico,Puerto Rico,PRI,mean,426377,393067,366795,344235,319918,1325,4794,2197,7390,4794,1.4,271978,248008,224038,176098,152128,128158,80218,32278,8308,0,0,2086,1,2
America,Puerto Rico,Puerto Rico,PRI,high,426377,393067,366795,344235,319918,1325,4794,2197,7390,7390,2.2,246018,209068,172118,98218,61268,24318,0,0,0,0,0,2063,1,3
America,Saint Kitts and N.,Saint Kitts and N.,KNA,low,9222,9182,8987,8828,8600,10,41,20,61,20,0.2,8400,8300,8200,8000,7900,7800,7600,7400,7300,7200,7000,2450,1,1
America,Saint Kitts and N.,Saint Kitts and N.,KNA,mean,9222,9182,8987,8828,8600,10,41,20,61,41,0.5,8190,7985,7780,7370,7165,6960,6550,6140,5935,5730,5320,2229,1,2
America,Saint Kitts and N.,Saint Kitts and N.,KNA,high,9222,9182,8987,8828,8600,10,41,20,61,61,0.7,7990,7685,7380,6770,6465,6160,5550,4940,4635,4330,3720,2160,1,3
America,Saint Lucia,Saint Lucia,LCA,low,47508,47412,46884,44869,43954,76,260,111,409,111,0.2,42844,42289,41734,40624,40069,39514,38404,37294,36739,36184,35074,2415,1,1
America,Saint Lucia,Saint Lucia,LCA,mean,47508,47412,46884,44869,43954,76,260,111,409,260,0.6,41354,40054,38754,36154,34854,33554,30954,28354,27054,25754,23154,2189,1,2
America,Saint Lucia,Saint Lucia,LCA,high,47508,47412,46884,44869,43954,76,260,111,409,409,0.9,39864,37819,35774,31684,29639,27594,23504,19414,17369,15324,11234,2127,1,3
America,Saint Martin,Saint Martin,MAF,low,729,690,563,493,255,12,29,6,52,6,1.1,195,165,135,75,45,15,0,0,0,0,0,2062,1,1
America,Saint Martin,Saint Martin,MAF,mean,729,690,563,493,255,12,29,6,52,29,7,0,0,0,0,0,0,0,0,0,0,0,2028,1,2
America,Saint Martin,Saint Martin,MAF,high,729,690,563,493,255,12,29,6,52,52,22.7,0,0,0,0,0,0,0,0,0,0,0,2024,1,3
America,Saint Vincent,Saint Vincent,VCT,low,28785,28764,28543,27834,27457,30,101,43,159,43,0.2,27027,26812,26597,26167,25952,25737,25307,24877,24662,24447,24017,2658,1,1
America,Saint Vincent,Saint Vincent,VCT,mean,28785,28764,28543,27834,27457,30,101,43,159,101,0.4,26447,25942,25437,24427,23922,23417,22407,21397,20892,20387,19377,2291,1,2
America,Saint Vincent,Saint Vincent,VCT,high,28785,28764,28543,27834,27457,30,101,43,159,159,0.6,25867,25072,24277,22687,21892,21097,19507,17917,17122,16327,14737,2192,1,3
America,Sint Maarten,Sint Maarten,SXM,low,308,291,217,189,105,5,12,3,21,3,1.5,75,60,45,15,0,0,0,0,0,0,0,2055,1,1
America,Sint Maarten,Sint Maarten,SXM,mean,308,291,217,189,105,5,12,3,21,12,7.7,0,0,0,0,0,0,0,0,0,0,0,2028,1,2
America,Sint Maarten,Sint Maarten,SXM,high,308,291,217,189,105,5,12,3,21,21,29.1,0,0,0,0,0,0,0,0,0,0,0,2025,1,3
America,Suriname,Suriname,SUR,low,13827704,13781883,13740572,13683871,13626641,1215,12244,9863,14624,9863,0.1,13528011,13478696,13429381,13330751,13281436,13232121,13133491,13034861,12985546,12936231,12837601,3401,1,1
America,Suriname,Suriname,SUR,mean,13827704,13781883,13740572,13683871,13626641,1215,12244,9863,14624,12244,0.1,13504201,13442981,13381761,13259321,13198101,13136881,13014441,12892001,12830781,12769561,12647121,3132,1,2
America,Suriname,Suriname,SUR,high,13827704,13781883,13740572,13683871,13626641,1215,12244,9863,14624,14624,0.1,13480401,13407281,13334161,13187921,13114801,13041681,12895441,12749201,12676081,12602961,12456721,2951,1,3
America,Trinidad and Tobago,Trinidad and Tobago,TTO,low,348862,345103,333760,314079,306508,928,2875,1057,4693,1057,0.3,295938,290653,285368,274798,269513,264228,253658,243088,237803,232518,221948,2309,1,1
America,Trinidad and Tobago,Trinidad and Tobago,TTO,mean,348862,345103,333760,314079,306508,928,2875,1057,4693,2875,0.9,277758,263383,249008,220258,205883,191508,162758,134008,119633,105258,76508,2126,1,2
America,Trinidad and Tobago,Trinidad and Tobago,TTO,high,348862,345103,333760,314079,306508,928,2875,1057,4693,4693,1.5,259578,236113,212648,165718,142253,118788,71858,24928,1463,0,0,2085,1,3
America,Venezuela,Venezuela,VEN,low,44819033,43649334,42989517,42151553,41462787,24683,150789,102409,199168,102409,0.2,40438697,39926652,39414607,38390517,37878472,37366427,36342337,35318247,34806202,34294157,33270067,2424,1,1
America,Venezuela,Venezuela,VEN,mean,44819033,43649334,42989517,42151553,41462787,24683,150789,102409,199168,150789,0.4,39954897,39200952,38447007,36939117,36185172,35431227,33923337,32415447,31661502,30907557,29399667,2294,1,2
America,Venezuela,Venezuela,VEN,high,44819033,43649334,42989517,42151553,41462787,24683,150789,102409,199168,199168,0.5,39471107,38475267,37479427,35487747,34491907,33496067,31504387,29512707,28516867,27521027,25529347,2228,1,3
America,Virgin Isl. UK,Virgin Isl. UK,VGB,low,4040,3382,2878,2467,1853,34,106,39,173,39,1.4,1463,1268,1073,683,488,293,0,0,0,0,0,2067,1,1
America,Virgin Isl. UK,Virgin Isl. UK,VGB,mean,4040,3382,2878,2467,1853,34,106,39,173,106,4.5,793,263,0,0,0,0,0,0,0,0,0,2037,1,2
America,Virgin Isl. UK,Virgin Isl. UK,VGB,high,4040,3382,2878,2467,1853,34,106,39,173,173,8.8,123,0,0,0,0,0,0,0,0,0,0,2030,1,3
America,Virgin Isl. US,Virgin Isl. US,VIR,low,9284,8603,8185,7636,6426,59,175,60,290,60,0.8,5826,5526,5226,4626,4326,4026,3426,2826,2526,2226,1626,2127,1,1
America,Virgin Isl. US,Virgin Isl. US,VIR,mean,9284,8603,8185,7636,6426,59,175,60,290,175,2.4,4676,3801,2926,1176,301,0,0,0,0,0,0,2056,1,2
America,Virgin Isl. US,Virgin Isl. US,VIR,high,9284,8603,8185,7636,6426,59,175,60,290,290,4.3,3526,2076,626,0,0,0,0,0,0,0,0,2042,1,3
Africa,Angola,Angola,AGO,low,7172909,6553638,6113253,5615976,5262095,11558,87859,65205,110512,65205,1.1,4610045,4284020,3957995,3305945,2979920,2653895,2001845,1349795,1023770,697745,45695,2100,2,1
Africa,Angola,Angola,AGO,mean,7172909,6553638,6113253,5615976,5262095,11558,87859,65205,110512,87859,1.5,4383505,3944210,3504915,2626325,2187030,1747735,869145,0,0,0,0,2079,2,2
Africa,Angola,Angola,AGO,high,7172909,6553638,6113253,5615976,5262095,11558,87859,65205,110512,110512,2,4156975,3604415,3051855,1946735,1394175,841615,0,0,0,0,0,2067,2,3
Africa,Benin,Benin,BEN,low,75164,58665,47193,39348,32299,297,1524,941,2107,941,2.2,22889,18184,13479,4069,0,0,0,0,0,0,0,2054,2,1
Africa,Benin,Benin,BEN,mean,75164,58665,47193,39348,32299,297,1524,941,2107,1524,3.8,17059,9439,1819,0,0,0,0,0,0,0,0,2041,2,2
Africa,Benin,Benin,BEN,high,75164,58665,47193,39348,32299,297,1524,941,2107,2107,5.7,11229,694,0,0,0,0,0,0,0,0,0,2035,2,3
Africa,Burundi,Burundi,BDI,low,106984,78239,65078,57601,54976,372,1277,548,2007,548,0.9,49496,46756,44016,38536,35796,33056,27576,22096,19356,16616,11136,2120,2,1
Africa,Burundi,Burundi,BDI,mean,106984,78239,65078,57601,54976,372,1277,548,2007,1277,2.2,42206,35821,29436,16666,10281,3896,0,0,0,0,0,2063,2,2
Africa,Burundi,Burundi,BDI,high,106984,78239,65078,57601,54976,372,1277,548,2007,2007,3.6,34906,24871,14836,0,0,0,0,0,0,0,0,2047,2,3
Africa,Cameroon,Cameroon,CMR,low,23883397,23745710,23572206,23269723,22876201,8795,69531,52294,86769,52294,0.2,22353261,22091791,21830321,21307381,21045911,20784441,20261501,19738561,19477091,19215621,18692681,2457,2,1
Africa,Cameroon,Cameroon,CMR,mean,23883397,23745710,23572206,23269723,22876201,8795,69531,52294,86769,69531,0.3,22180891,21833236,21485581,20790271,20442616,20094961,19399651,18704341,18356686,18009031,17313721,2349,2,2
Africa,Cameroon,Cameroon,CMR,high,23883397,23745710,23572206,23269723,22876201,8795,69531,52294,86769,86769,0.4,22008511,21574666,21140821,20273131,19839286,19405441,18537751,17670061,17236216,16802371,15934681,2283,2,3
Africa,CAR,CAR,CAF,low,9810437,9561444,9345475,9083331,8819958,6898,52669,39149,66188,39149,0.4,8428468,8232723,8036978,7645488,7449743,7253998,6862508,6471018,6275273,6079528,5688038,2245,2,1
Africa,CAR,CAR,CAF,mean,9810437,9561444,9345475,9083331,8819958,6898,52669,39149,66188,52669,0.6,8293268,8029923,7766578,7239888,6976543,6713198,6186508,5659818,5396473,5133128,4606438,2187,2,2
Africa,CAR,CAR,CAF,high,9810437,9561444,9345475,9083331,8819958,6898,52669,39149,66188,66188,0.7,8158078,7827138,7496198,6834318,6503378,6172438,5510558,4848678,4517738,4186798,3524918,2153,2,3
Africa,Comoros,Comoros,COM,low,86655,86648,86647,86647,81881,490,1109,149,2069,149,0.2,80391,79646,78901,77411,76666,75921,74431,72941,72196,71451,69961,2569,2,1
Africa,Comoros,Comoros,COM,mean,86655,86648,86647,86647,81881,490,1109,149,2069,1109,1.4,70791,65246,59701,48611,43066,37521,26431,15341,9796,4251,0,2093,2,2
Africa,Comoros,Comoros,COM,high,86655,86648,86647,86647,81881,490,1109,149,2069,2069,2.7,61191,50846,40501,19811,9466,0,0,0,0,0,0,2059,2,3
Africa,Congo,Congo,COG,low,24093110,24055417,23972033,23671269,23376720,7497,57438,42744,72132,42744,0.2,22949280,22735560,22521840,22094400,21880680,21666960,21239520,20812080,20598360,20384640,19957200,2566,2,1
Africa,Congo,Congo,COG,mean,24093110,24055417,23972033,23671269,23376720,7497,57438,42744,72132,57438,0.2,22802340,22515150,22227960,21653580,21366390,21079200,20504820,19930440,19643250,19356060,18781680,2426,2,2
Africa,Congo,Congo,COG,high,24093110,24055417,23972033,23671269,23376720,7497,57438,42744,72132,72132,0.3,22655400,22294740,21934080,21212760,20852100,20491440,19770120,19048800,18688140,18327480,17606160,2344,2,3
Africa,DRC,DRC,COD,low,131616541,129175740,126163707,121659648,117811537,66837,860137,729137,991138,729137,0.6,110520167,106874482,103228797,95937427,92291742,88646057,81354687,74063317,70417632,66771947,59480577,2181,2,1
Africa,DRC,DRC,COD,mean,131616541,129175740,126163707,121659648,117811537,66837,860137,729137,991138,860137,0.7,109210167,104909482,100608797,92007427,87706742,83406057,74804687,66203317,61902632,57601947,49000577,2156,2,2
Africa,DRC,DRC,COD,high,131616541,129175740,126163707,121659648,117811537,66837,860137,729137,991138,991138,0.8,107900157,102944467,97988777,88077397,83121707,78166017,68254637,58343257,53387567,48431877,38520497,2138,2,3
Africa,Eq. Guinea,Eq. Guinea,GNQ,low,2647036,2646362,2642819,2625942,2610005,392,3106,2338,3874,2338,0.1,2586625,2574935,2563245,2539865,2528175,2516485,2493105,2469725,2458035,2446345,2422965,3136,2,1
Africa,Eq. Guinea,Eq. Guinea,GNQ,mean,2647036,2646362,2642819,2625942,2610005,392,3106,2338,3874,3106,0.1,2578945,2563415,2547885,2516825,2501295,2485765,2454705,2423645,2408115,2392585,2361525,2860,2,2
Africa,Eq. Guinea,Eq. Guinea,GNQ,high,2647036,2646362,2642819,2625942,2610005,392,3106,2338,3874,3874,0.1,2571265,2551895,2532525,2493785,2474415,2455045,2416305,2377565,2358195,2338825,2300085,2693,2,3
Africa,Ethiopia,Ethiopia,ETH,low,3806058,3286258,2858117,2422128,2131141,11401,76204,53859,98550,53859,2.1,1592551,1323256,1053961,515371,246076,0,0,0,0,0,0,2059,2,1
Africa,Ethiopia,Ethiopia,ETH,mean,3806058,3286258,2858117,2422128,2131141,11401,76204,53859,98550,76204,3.1,1369101,988081,607061,0,0,0,0,0,0,0,0,2047,2,2
Africa,Ethiopia,Ethiopia,ETH,high,3806058,3286258,2858117,2422128,2131141,11401,76204,53859,98550,98550,4.1,1145641,652891,160141,0,0,0,0,0,0,0,0,2041,2,3
Africa,Gabon,Gabon,GAB,low,24131699,24124649,24110306,24053665,23974448,2217,12950,8604,17295,8604,0,23888408,23845388,23802368,23716328,23673308,23630288,23544248,23458208,23415188,23372168,23286128,4806,2,1
Africa,Gabon,Gabon,GAB,mean,24131699,24124649,24110306,24053665,23974448,2217,12950,8604,17295,12950,0.1,23844948,23780198,23715448,23585948,23521198,23456448,23326948,23197448,23132698,23067948,22938448,3871,2,2
Africa,Gabon,Gabon,GAB,high,24131699,24124649,24110306,24053665,23974448,2217,12950,8604,17295,17295,0.1,23801498,23715023,23628548,23455598,23369123,23282648,23109698,22936748,22850273,22763798,22590848,3406,2,3
Africa,Gambia,Gambia,GMB,low,52100,47993,45724,44165,41529,115,378,152,603,152,0.3,40009,39249,38489,36969,36209,35449,33929,32409,31649,30889,29369,2293,2,1
Africa,Gambia,Gambia,GMB,mean,52100,47993,45724,44165,41529,115,378,152,603,378,0.9,37749,35859,33969,30189,28299,26409,22629,18849,16959,15069,11289,2129,2,2
Africa,Gambia,Gambia,GMB,high,52100,47993,45724,44165,41529,115,378,152,603,603,1.4,35499,32484,29469,23439,20424,17409,11379,5349,2334,0,0,2088,2,3
Africa,Ghana,Ghana,GHA,low,4931046,4770715,4467124,4091400,3325917,24093,114594,67372,161815,67372,1.6,2652197,2315337,1978477,1304757,967897,631037,0,0,0,0,0,2069,2,1
Africa,Ghana,Ghana,GHA,mean,4931046,4770715,4467124,4091400,3325917,24093,114594,67372,161815,114594,2.9,2179977,1607007,1034037,0,0,0,0,0,0,0,0,2049,2,2
Africa,Ghana,Ghana,GHA,high,4931046,4770715,4467124,4091400,3325917,24093,114594,67372,161815,161815,4.4,1707767,898692,89617,0,0,0,0,0,0,0,0,2040,2,3
Africa,Guinea,Guinea,GIN,low,1913692,1530673,1239294,995933,840609,3789,43364,35937,50791,35937,3.4,481239,301554,121869,0,0,0,0,0,0,0,0,2043,2,1
Africa,Guinea,Guinea,GIN,mean,1913692,1530673,1239294,995933,840609,3789,43364,35937,50791,43364,4.2,406969,190149,0,0,0,0,0,0,0,0,0,2039,2,2
Africa,Guinea,Guinea,GIN,high,1913692,1530673,1239294,995933,840609,3789,43364,35937,50791,50791,5.1,332699,78744,0,0,0,0,0,0,0,0,0,2036,2,3
Africa,Guinea Bissau,Guinea Bissau,GNB,low,410011,357620,335068,312085,290321,277,4789,4247,5332,4247,1.3,247851,226616,205381,162911,141676,120441,77971,35501,14266,0,0,2088,2,1
Africa,Guinea Bissau,Guinea Bissau,GNB,mean,410011,357620,335068,312085,290321,277,4789,4247,5332,4789,1.5,242431,218486,194541,146651,122706,98761,50871,2981,0,0,0,2080,2,2
Africa,Guinea Bissau,Guinea Bissau,GNB,high,410011,357620,335068,312085,290321,277,4789,4247,5332,5332,1.7,237001,210341,183681,130361,103701,77041,23721,0,0,0,0,2074,2,3
Africa,Ivory Coast,Ivory Coast,CIV,low,7710141,7163039,6367822,5110407,3871989,34008,258740,192085,325396,192085,3.5,1951139,990714,30289,0,0,0,0,0,0,0,0,2040,2,1
Africa,Ivory Coast,Ivory Coast,CIV,mean,7710141,7163039,6367822,5110407,3871989,34008,258740,192085,325396,258740,5.1,1284589,0,0,0,0,0,0,0,0,0,0,2034,2,2
Africa,Ivory Coast,Ivory Coast,CIV,high,7710141,7163039,6367822,5110407,3871989,34008,258740,192085,325396,325396,6.9,618029,0,0,0,0,0,0,0,0,0,0,2031,2,3
Africa,Kenya,Kenya,KEN,low,1206091,1030146,901761,837152,749180,4497,18935,10121,27749,10121,1.2,647970,597365,546760,445550,394945,344340,243130,141920,91315,40710,0,2094,2,1
Africa,Kenya,Kenya,KEN,mean,1206091,1030146,901761,837152,749180,4497,18935,10121,27749,18935,2.3,559830,465155,370480,181130,86455,0,0,0,0,0,0,2059,2,2
Africa,Kenya,Kenya,KEN,high,1206091,1030146,901761,837152,749180,4497,18935,10121,27749,27749,3.6,471690,332945,194200,0,0,0,0,0,0,0,0,2046,2,3
Africa,Liberia,Liberia,LBR,low,8909145,8868862,8706835,8359197,7804544,13866,92196,65019,119374,65019,0.8,7154354,6829259,6504164,5853974,5528879,5203784,4553594,3903404,3578309,3253214,2603024,2140,2,1
Africa,Liberia,Liberia,LBR,mean,8909145,8868862,8706835,8359197,7804544,13866,92196,65019,119374,92196,1.1,6882584,6421604,5960624,5038664,4577684,4116704,3194744,2272784,1811804,1350824,428864,2104,2,2
Africa,Liberia,Liberia,LBR,high,8909145,8868862,8706835,8359197,7804544,13866,92196,65019,119374,119374,1.5,6610804,6013934,5417064,4223324,3626454,3029584,1835844,642104,45234,0,0,2085,2,3
Africa,Madagascar,Madagascar,MDG,low,7211553,6334507,5668869,4960761,4543201,12667,125713,100885,150541,100885,1.9,3534351,3029926,2525501,1516651,1012226,507801,0,0,0,0,0,2065,2,1
Africa,Madagascar,Madagascar,MDG,mean,7211553,6334507,5668869,4960761,4543201,12667,125713,100885,150541,125713,2.5,3286071,2657506,2028941,771811,143246,0,0,0,0,0,0,2056,2,2
Africa,Madagascar,Madagascar,MDG,high,7211553,6334507,5668869,4960761,4543201,12667,125713,100885,150541,150541,3,3037791,2285086,1532381,26971,0,0,0,0,0,0,0,2050,2,3
Africa,Malawi,Malawi,MWI,low,115028,92771,70952,47992,38379,582,3588,2447,4729,2447,4.1,13909,1674,0,0,0,0,0,0,0,0,0,2035,2,1
Africa,Malawi,Malawi,MWI,mean,115028,92771,70952,47992,38379,582,3588,2447,4729,3588,6.8,2499,0,0,0,0,0,0,0,0,0,0,2030,2,2
Africa,Malawi,Malawi,MWI,high,115028,92771,70952,47992,38379,582,3588,2447,4729,4729,10.4,0,0,0,0,0,0,0,0,0,0,0,2028,2,3
Africa,Mauritius,Mauritius,MUS,low,49679,49256,47404,44690,43480,170,435,101,768,101,0.2,42470,41965,41460,40450,39945,39440,38430,37420,36915,36410,35400,2450,2,1
Africa,Mauritius,Mauritius,MUS,mean,49679,49256,47404,44690,43480,170,435,101,768,435,1,39130,36955,34780,30430,28255,26080,21730,17380,15205,13030,8680,2119,2,2
Africa,Mauritius,Mauritius,MUS,high,49679,49256,47404,44690,43480,170,435,101,768,768,1.8,35800,31960,28120,20440,16600,12760,5080,0,0,0,0,2076,2,3
Africa,Mayotte,Mayotte,MYT,low,17934,17898,17253,13477,12236,185,493,131,855,131,0.8,10926,10271,9616,8306,7651,6996,5686,4376,3721,3066,1756,2113,2,1
Africa,Mayotte,Mayotte,MYT,mean,17934,17898,17253,13477,12236,185,493,131,855,493,3.3,7306,4841,2376,0,0,0,0,0,0,0,0,2044,2,2
Africa,Mayotte,Mayotte,MYT,high,17934,17898,17253,13477,12236,185,493,131,855,855,6.6,3686,0,0,0,0,0,0,0,0,0,0,2034,2,3
Africa,Nigeria,Nigeria,NGA,low,7777166,7571499,7242546,6852150,6257778,16391,100785,68659,132910,68659,1,5571188,5227893,4884598,4198008,3854713,3511418,2824828,2138238,1794943,1451648,765058,2111,2,1
Africa,Nigeria,Nigeria,NGA,mean,7777166,7571499,7242546,6852150,6257778,16391,100785,68659,132910,100785,1.5,5249928,4746003,4242078,3234228,2730303,2226378,1218528,210678,0,0,0,2082,2,2
Africa,Nigeria,Nigeria,NGA,high,7777166,7571499,7242546,6852150,6257778,16391,100785,68659,132910,132910,2,4928678,4264128,3599578,2270478,1605928,941378,0,0,0,0,0,2067,2,3
Africa,Reunion,Reunion,REU,low,141857,141813,141743,138428,134053,180,706,352,1059,352,0.3,130533,128773,127013,123493,121733,119973,116453,112933,111173,109413,105893,2400,2,1
Africa,Reunion,Reunion,REU,mean,141857,141813,141743,138428,134053,180,706,352,1059,706,0.5,126993,123463,119933,112873,109343,105813,98753,91693,88163,84633,77573,2209,2,2
Africa,Reunion,Reunion,REU,high,141857,141813,141743,138428,134053,180,706,352,1059,1059,0.8,123463,118168,112873,102283,96988,91693,81103,70513,65218,59923,49333,2146,2,3
Africa,Rwanda,Rwanda,RWA,low,288448,231137,199111,169040,159771,1311,5065,2495,7635,2495,1.3,134821,122346,109871,84921,72446,59971,35021,10071,0,0,0,2084,2,1
Africa,Rwanda,Rwanda,RWA,mean,288448,231137,199111,169040,159771,1311,5065,2495,7635,5065,2.9,109121,83796,58471,7821,0,0,0,0,0,0,0,2051,2,2
Africa,Rwanda,Rwanda,RWA,high,288448,231137,199111,169040,159771,1311,5065,2495,7635,7635,4.7,83421,45246,7071,0,0,0,0,0,0,0,0,2040,2,3
Africa,Senegal,Senegal,SEN,low,139624,135014,131508,127980,123646,224,703,263,1142,263,0.2,121016,119701,118386,115756,114441,113126,110496,107866,106551,105236,102606,2490,2,1
Africa,Senegal,Senegal,SEN,mean,139624,135014,131508,127980,123646,224,703,263,1142,703,0.5,116616,113101,109586,102556,99041,95526,88496,81466,77951,74436,67406,2195,2,2
Africa,Senegal,Senegal,SEN,high,139624,135014,131508,127980,123646,224,703,263,1142,1142,0.9,112226,106516,100806,89386,83676,77966,66546,55126,49416,43706,32286,2128,2,3
Africa,Sierra Leone,Sierra Leone,SLE,low,3462182,3033370,2364721,1787914,1379963,14410,112450,84207,140694,84207,4.3,537893,116858,0,0,0,0,0,0,0,0,0,2036,2,1
Africa,Sierra Leone,Sierra Leone,SLE,mean,3462182,3033370,2364721,1787914,1379963,14410,112450,84207,140694,112450,6.2,255463,0,0,0,0,0,0,0,0,0,0,2032,2,2
Africa,Sierra Leone,Sierra Leone,SLE,high,3462182,3033370,2364721,1787914,1379963,14410,112450,84207,140694,140694,8.6,0,0,0,0,0,0,0,0,0,0,0,2029,2,3
Africa,South Sudan,South Sudan,SSD,low,268640,231854,206744,182335,163766,553,4551,3467,5634,3467,1.8,129096,111761,94426,59756,42421,25086,0,0,0,0,0,2067,2,1
Africa,South Sudan,South Sudan,SSD,mean,268640,231854,206744,182335,163766,553,4551,3467,5634,4551,2.5,118256,95501,72746,27236,4481,0,0,0,0,0,0,2055,2,2
Africa,South Sudan,South Sudan,SSD,high,268640,231854,206744,182335,163766,553,4551,3467,5634,5634,3.1,107426,79256,51086,0,0,0,0,0,0,0,0,2049,2,3
Africa,Tanzania,Tanzania,TZA,low,1444419,1293163,1208300,1130421,1089819,2070,13598,9540,17655,9540,0.8,994419,946719,899019,803619,755919,708219,612819,517419,469719,422019,326619,2134,2,1
Africa,Tanzania,Tanzania,TZA,mean,1444419,1293163,1208300,1130421,1089819,2070,13598,9540,17655,13598,1.2,953839,885849,817859,681879,613889,545899,409919,273939,205949,137959,1979,2100,2,2
Africa,Tanzania,Tanzania,TZA,high,1444419,1293163,1208300,1130421,1089819,2070,13598,9540,17655,17655,1.6,913269,824994,736719,560169,471894,383619,207069,30519,0,0,0,2081,2,3
