area_cont,area_ctry,area_name,area_code,proj,for2000,for2005,for2010,for2015,for2020,d_se,d_mean,d_min,d_max,andef,pdef,for2030,for2035,for2040,for2050,for2055,for2060,for2070,for2080,for2085,for2090,for2100,yrdis,id_cont,id_d
America,Brazil,Brazil – Rio de Janeiro,RJ,low,837693,782969,747498,704782,690662,1641,5789,2573,9005,2573,0.3,664932,652067,639202,613472,598426,570597,509860,413597,357804,297156,170297,2113,1,1
America,Brazil,Brazil – Rio de Janeiro,RJ,mean,837693,782969,747498,704782,690662,1641,5789,2573,9005,5789,0.8,632772,603827,574882,475236,408580,312219,102734,0,0,0,0,2075,1,2
America,Brazil,Brazil – Rio de Janeiro,RJ,high,837693,782969,747498,704782,690662,1641,5789,2573,9005,9005,1.3,600612,555339,484389,261539,115219,0,0,0,0,0,0,2059,1,3
America,Brazil,Brazil – Rio Grande do Norte,RN,low,32473,28177,25817,23795,22471,76,335,185,484,185,0.7,20621,19696,18771,16921,13816,0,0,0,0,0,0,2060,1,1
America,Brazil,Brazil – Rio Grande do Norte,RN,mean,32473,28177,25817,23795,22471,76,335,185,484,335,1.4,19121,17446,15771,0,0,0,0,0,0,0,0,2045,1,2
America,Brazil,Brazil – Rio Grande do Norte,RN,high,32473,28177,25817,23795,22471,76,335,185,484,484,2.1,17631,14963,0,0,0,0,0,0,0,0,0,2039,1,3
America,Brazil,Brazil – Rio Grande do Sul,RS,low,2586357,2414614,2228174,2127259,2063991,6504,23904,11155,36653,11155,0.5,1952441,1896666,1840891,1729341,1671385,1600646,1454089,1272006,1173303,1069745,857066,2133,1,1
America,Brazil,Brazil – Rio Grande do Sul,RS,mean,2586357,2414614,2228174,2127259,2063991,6504,23904,11155,36653,23904,1.1,1824951,1705431,1585911,1305115,1147884,960948,570313,154871,0,0,0,2084,1,2
America,Brazil,Brazil – Rio Grande do Sul,RS,high,2586357,2414614,2228174,2127259,2063991,6504,23904,11155,36653,36653,1.8,1697461,1513948,1304758,805428,520868,220695,0,0,0,0,0,2064,1,3
America,Brazil,Brazil – Rondonia,RO,low,16553658,14786157,13841285,13213886,12506829,13805,134722,107664,161781,107664,0.8,11430189,10891869,10353549,9276909,8736408,8183124,7071478,5924304,5343056,4756953,3579185,2130,1,1
America,Brazil,Brazil – Rondonia,RO,mean,16553658,14786157,13841285,13213886,12506829,13805,134722,107664,161781,134722,1,11159609,10485999,9812389,8423413,7712092,6971066,5472252,3948629,3170206,2349359,639099,2104,1,2
America,Brazil,Brazil – Rondonia,RO,high,16553658,14786157,13841285,13213886,12506829,13805,134722,107664,161781,161781,1.2,10889019,10079866,9245036,7494426,6584226,5658413,3729087,1643994,543899,0,0,2088,1,3
America,Brazil,Brazil – Roraima,RR,low,16747771,16439654,16250552,16095866,15523023,21985,60430,17340,103521,17340,0.1,15349623,15262923,15176223,15002823,14913943,14812279,14603872,14359938,14230311,14095828,13821299,2217,1,1
