"area_cont","area_ctry","area_name","area_code","proj","for2000","for2010","for2020","d","p","for2030","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","loss21","yrdis"
"America","Virgin Isl. UK","Virgin Isl. UK","VGB","mean",4,3,2,106,4.5,1,0,0,0,0,0,0,0,0,0,100,"2037"
"America","Virgin Isl. UK","Virgin Isl. UK","VGB","high",4,3,2,173,8.8,0,0,0,0,0,0,0,0,0,0,100,"2030"
"America","Virgin Isl. US","Virgin Isl. US","VIR","low",9,8,6,60,0.8,6,5,5,4,4,3,3,3,2,2,82,"2127"
"America","Virgin Isl. US","Virgin Isl. US","VIR","mean",9,8,6,175,2.4,5,3,1,0,0,0,0,0,0,0,100,"2056"
"America","Virgin Isl. US","Virgin Isl. US","VIR","high",9,8,6,290,4.3,4,1,0,0,0,0,0,0,0,0,100,"2042"
"Africa","Angola","Angola","AGO","low",7173,6113,5262,65205,1.1,4610,3958,3306,2980,2654,2002,1350,1024,698,46,99,"2100"
"Africa","Angola","Angola","AGO","mean",7173,6113,5262,87859,1.5,4384,3505,2626,2187,1748,869,0,0,0,0,100,"2079"
"Africa","Angola","Angola","AGO","high",7173,6113,5262,110512,2,4157,3052,1947,1394,842,0,0,0,0,0,100,"2067"
"Africa","Benin","Benin","BEN","low",75,47,32,941,2.2,23,13,4,0,0,0,0,0,0,0,100,"2054"
"Africa","Benin","Benin","BEN","mean",75,47,32,1524,3.8,17,2,0,0,0,0,0,0,0,0,100,"2041"
"Africa","Benin","Benin","BEN","high",75,47,32,2107,5.7,11,0,0,0,0,0,0,0,0,0,100,"2035"
"Africa","Burundi","Burundi","BDI","low",107,65,55,548,0.9,49,44,39,36,33,28,22,19,17,11,90,"2120"
"Africa","Burundi","Burundi","BDI","mean",107,65,55,1277,2.2,42,29,17,10,4,0,0,0,0,0,100,"2063"
"Africa","Burundi","Burundi","BDI","high",107,65,55,2007,3.6,35,15,0,0,0,0,0,0,0,0,100,"2047"
"Africa","Cameroon","Cameroon","CMR","low",23883,23572,22876,52294,0.2,22353,21830,21307,21046,20784,20262,19739,19477,19216,18693,22,"2457"
"Africa","Cameroon","Cameroon","CMR","mean",23883,23572,22876,69531,0.3,22181,21486,20790,20443,20095,19400,18704,18357,18009,17314,28,"2349"
