"area_cont","area_ctry","area_name","area_code","proj","for2000","for2010","for2020","d","p","for2030","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","loss21","yrdis"
"Africa","Guinea","Guinea","GIN","low",1914,1239,841,35937,3.4,481,122,0,0,0,0,0,0,0,0,100,"2043"
"Africa","Guinea","Guinea","GIN","mean",1914,1239,841,43364,4.2,407,0,0,0,0,0,0,0,0,0,100,"2039"
"Africa","Guinea","Guinea","GIN","high",1914,1239,841,50791,5.1,333,0,0,0,0,0,0,0,0,0,100,"2036"
"Africa","Guinea Bissau","Guinea Bissau","GNB","low",410,335,290,4247,1.3,248,205,163,142,120,78,36,14,0,0,100,"2088"
"Africa","Guinea Bissau","Guinea Bissau","GNB","mean",410,335,290,4789,1.5,242,195,147,123,99,51,3,0,0,0,100,"2080"
"Africa","Guinea Bissau","Guinea Bissau","GNB","high",410,335,290,5332,1.7,237,184,130,104,77,24,0,0,0,0,100,"2074"
"Africa","Ivory Coast","Ivory Coast","CIV","low",7710,6368,3872,192085,3.5,1951,30,0,0,0,0,0,0,0,0,100,"2040"
"Africa","Ivory Coast","Ivory Coast","CIV","mean",7710,6368,3872,258740,5.1,1285,0,0,0,0,0,0,0,0,0,100,"2034"
"Africa","Ivory Coast","Ivory Coast","CIV","high",7710,6368,3872,325396,6.9,618,0,0,0,0,0,0,0,0,0,100,"2031"
"Africa","Kenya","Kenya","KEN","low",1206,902,749,10121,1.2,648,547,446,395,344,243,142,91,41,0,100,"2094"
"Africa","Kenya","Kenya","KEN","mean",1206,902,749,18935,2.3,560,370,181,86,0,0,0,0,0,0,100,"2059"
"Africa","Kenya","Kenya","KEN","high",1206,902,749,27749,3.6,472,194,0,0,0,0,0,0,0,0,100,"2046"
"Africa","Liberia","Liberia","LBR","low",8909,8707,7805,65019,0.8,7154,6504,5854,5529,5204,4554,3903,3578,3253,2603,71,"2140"
"Africa","Liberia","Liberia","LBR","mean",8909,8707,7805,92196,1.1,6883,5961,5039,4578,4117,3195,2273,1812,1351,429,95,"2104"
"Africa","Liberia","Liberia","LBR","high",8909,8707,7805,119374,1.5,6611,5417,4223,3626,3030,1836,642,45,0,0,100,"2085"
"Africa","Madagascar","Madagascar","MDG","low",7212,5669,4543,100885,1.9,3534,2526,1517,1012,508,0,0,0,0,0,100,"2065"
"Africa","Madagascar","Madagascar","MDG","mean",7212,5669,4543,125713,2.5,3286,2029,772,143,0,0,0,0,0,0,100,"2056"
"Africa","Madagascar","Madagascar","MDG","high",7212,5669,4543,150541,3,3038,1532,27,0,0,0,0,0,0,0,100,"2050"
"Africa","Malawi","Malawi","MWI","low",115,71,38,2447,4.1,14,0,0,0,0,0,0,0,0,0,100,"2035"
"Africa","Malawi","Malawi","MWI","mean",115,71,38,3588,6.8,2,0,0,0,0,0,0,0,0,0,100,"2030"
"Africa","Malawi","Malawi","MWI","high",115,71,38,4729,10.4,0,0,0,0,0,0,0,0,0,0,100,"2028"
"Africa","Mauritius","Mauritius","MUS","low",50,47,43,101,0.2,42,41,40,40,39,38,37,37,36,35,29,"2450"
"Africa","Mauritius","Mauritius","MUS","mean",50,47,43,435,1,39,35,30,28,26,22,17,15,13,9,83,"2119"
"Africa","Mauritius","Mauritius","MUS","high",50,47,43,768,1.8,36,28,20,17,13,5,0,0,0,0,100,"2076"
"Africa","Mayotte","Mayotte","MYT","low",18,17,12,131,0.8,11,10,8,8,7,6,4,4,3,2,90,"2113"
"Africa","Mayotte","Mayotte","MYT","mean",18,17,12,493,3.3,7,2,0,0,0,0,0,0,0,0,100,"2044"
"Africa","Mayotte","Mayotte","MYT","high",18,17,12,855,6.6,4,0,0,0,0,0,0,0,0,0,100,"2034"
"Africa","Nigeria","Nigeria","NGA","low",7777,7243,6258,68659,1,5571,4885,4198,3855,3511,2825,2138,1795,1452,765,90,"2111"
"Africa","Nigeria","Nigeria","NGA","mean",7777,7243,6258,100785,1.5,5250,4242,3234,2730,2226,1219,211,0,0,0,100,"2082"
"Africa","Nigeria","Nigeria","NGA","high",7777,7243,6258,132910,2,4929,3600,2270,1606,941,0,0,0,0,0,100,"2067"
"Africa","Reunion","Reunion","REU","low",142,142,134,352,0.3,131,127,123,122,120,116,113,111,109,106,25,"2400"
"Africa","Reunion","Reunion","REU","mean",142,142,134,706,0.5,127,120,113,109,106,99,92,88,85,78,45,"2209"
"Africa","Reunion","Reunion","REU","high",142,142,134,1059,0.8,123,113,102,97,92,81,71,65,60,49,65,"2146"
"Africa","Rwanda","Rwanda","RWA","low",288,199,160,2495,1.3,135,110,85,72,60,35,10,0,0,0,100,"2084"
"Africa","Rwanda","Rwanda","RWA","mean",288,199,160,5065,2.9,109,58,8,0,0,0,0,0,0,0,100,"2051"
"Africa","Rwanda","Rwanda","RWA","high",288,199,160,7635,4.7,83,7,0,0,0,0,0,0,0,0,100,"2040"
"Africa","Senegal","Senegal","SEN","low",140,132,124,263,0.2,121,118,116,114,113,110,108,107,105,103,27,"2490"
"Africa","Senegal","Senegal","SEN","mean",140,132,124,703,0.5,117,110,103,99,96,88,81,78,74,67,52,"2195"
"Africa","Senegal","Senegal","SEN","high",140,132,124,1142,0.9,112,101,89,84,78,67,55,49,44,32,77,"2128"
"Africa","Sierra Leone","Sierra Leone","SLE","low",3462,2365,1380,84207,4.3,538,0,0,0,0,0,0,0,0,0,100,"2036"
"Africa","Sierra Leone","Sierra Leone","SLE","mean",3462,2365,1380,112450,6.2,255,0,0,0,0,0,0,0,0,0,100,"2032"
"Africa","Sierra Leone","Sierra Leone","SLE","high",3462,2365,1380,140694,8.6,0,0,0,0,0,0,0,0,0,0,100,"2029"
"Africa","South Sudan","South Sudan","SSD","low",269,207,164,3467,1.8,129,94,60,42,25,0,0,0,0,0,100,"2067"
"Africa","South Sudan","South Sudan","SSD","mean",269,207,164,4551,2.5,118,73,27,4,0,0,0,0,0,0,100,"2055"
"Africa","South Sudan","South Sudan","SSD","high",269,207,164,5634,3.1,107,51,0,0,0,0,0,0,0,0,100,"2049"
"Africa","Tanzania","Tanzania","TZA","low",1444,1208,1090,9540,0.8,994,899,804,756,708,613,517,470,422,327,77,"2134"
"Africa","Tanzania","Tanzania","TZA","mean",1444,1208,1090,13598,1.2,954,818,682,614,546,410,274,206,138,2,100,"2100"
"Africa","Tanzania","Tanzania","TZA","high",1444,1208,1090,17655,1.6,913,737,560,472,384,207,31,0,0,0,100,"2081"
"Africa","Togo","Togo","TGO","low",160,104,65,2211,2.4,43,21,0,0,0,0,0,0,0,0,100,"2049"
"Africa","Togo","Togo","TGO","mean",160,104,65,3887,4.6,26,0,0,0,0,0,0,0,0,0,100,"2036"
"Africa","Togo","Togo","TGO","high",160,104,65,5564,7.4,9,0,0,0,0,0,0,0,0,0,100,"2031"
"Africa","Uganda","Uganda","UGA","low",1888,1106,745,30901,3.2,436,127,0,0,0,0,0,0,0,0,100,"2044"
"Africa","Uganda","Uganda","UGA","mean",1888,1106,745,43532,4.9,310,0,0,0,0,0,0,0,0,0,100,"2037"
"Africa","Uganda","Uganda","UGA","high",1888,1106,745,56163,6.8,183,0,0,0,0,0,0,0,0,0,100,"2033"
"Africa","Zambia","Zambia","ZMB","low",183,116,80,2488,2.4,55,30,5,0,0,0,0,0,0,0,100,"2052"
"Africa","Zambia","Zambia","ZMB","mean",183,116,80,3782,3.9,42,4,0,0,0,0,0,0,0,0,100,"2041"
"Africa","Zambia","Zambia","ZMB","high",183,116,80,5075,5.6,29,0,0,0,0,0,0,0,0,0,100,"2035"
"Asia","Australia","Australia – Queensland","QLD","low",2078,1897,1777,8100,0.4,1696,1615,1534,1493,1453,1372,1291,1250,1210,1129,46,"2239"
"Asia","Australia","Australia – Queensland","QLD","mean",2078,1897,1777,14193,0.8,1635,1493,1351,1280,1209,1067,925,854,783,641,69,"2145"
"Asia","Australia","Australia – Queensland","QLD","high",2078,1897,1777,20286,1.1,1574,1371,1168,1067,965,762,560,458,357,154,93,"2107"
"Asia","Bangladesh","Bangladesh","BGD","low",982,831,782,4124,0.5,741,699,658,638,617,576,535,514,493,452,54,"2209"
"Asia","Bangladesh","Bangladesh","BGD","mean",982,831,782,5949,0.7,722,663,603,574,544,485,425,395,366,306,69,"2151"
"Asia","Bangladesh","Bangladesh","BGD","high",982,831,782,7773,1,704,627,549,510,471,393,316,277,238,160,84,"2120"
"Asia","Bhutan","Bhutan","BTN","low",2019,1886,1795,8313,0.4,1712,1629,1546,1504,1463,1379,1296,1255,1213,1130,44,"2235"
"Asia","Bhutan","Bhutan","BTN","mean",2019,1886,1795,10769,0.6,1687,1580,1472,1418,1364,1257,1149,1095,1041,934,54,"2186"
"Asia","Bhutan","Bhutan","BTN","high",2019,1886,1795,13226,0.7,1663,1531,1398,1332,1266,1134,1001,935,869,737,64,"2155"
"Asia","Brunei","Brunei","BRN","low",515,502,494,684,0.1,488,481,474,470,467,460,453,450,447,440,15,"2742"
"Asia","Brunei","Brunei","BRN","mean",515,502,494,901,0.2,485,476,467,463,458,449,440,436,431,422,18,"2568"
"Asia","Brunei","Brunei","BRN","high",515,502,494,1119,0.2,483,472,461,455,450,438,427,422,416,405,21,"2461"
"Asia","Cambodia","Cambodia","KHM","low",4829,3883,2792,77653,2.2,2016,1239,463,74,0,0,0,0,0,0,100,"2055"
"Asia","Cambodia","Cambodia","KHM","mean",4829,3883,2792,110142,3.3,1691,589,0,0,0,0,0,0,0,0,100,"2045"
"Asia","Cambodia","Cambodia","KHM","high",4829,3883,2792,142631,4.5,1366,0,0,0,0,0,0,0,0,0,100,"2039"
"Asia","Fiji","Fiji","FJI","low",1006,965,924,3060,0.3,894,863,833,817,802,771,741,725,710,680,32,"2322"
"Asia","Fiji","Fiji","FJI","mean",1006,965,924,4465,0.5,880,835,790,768,746,701,656,634,612,567,44,"2227"
"Asia","Fiji","Fiji","FJI","high",1006,965,924,5869,0.6,866,807,748,719,690,631,572,543,514,455,55,"2177"
"Asia","India","India – Andaman and N.","AN","low",613,592,574,675,0.1,567,560,553,550,547,540,533,530,526,520,15,"2869"
"Asia","India","India – Andaman and N.","AN","mean",613,592,574,1960,0.3,554,534,515,505,495,476,456,446,436,417,32,"2312"
"Asia","India","India – Andaman and N.","AN","high",613,592,574,3245,0.6,541,509,476,460,444,411,379,363,347,314,49,"2196"
"Asia","India","India – North-East","NE","low",7278,6053,5537,46215,0.8,5075,4613,4151,3920,3689,3226,2764,2533,2302,1840,75,"2139"
"Asia","India","India – North-East","NE","mean",7278,6053,5537,65405,1.1,4883,4229,3575,3248,2921,2267,1613,1286,959,305,96,"2104"
"Asia","India","India – North-East","NE","high",7278,6053,5537,84595,1.5,4691,3845,2999,2576,2153,1307,461,38,0,0,100,"2085"
"Asia","India","India – West. Ghats","WG","low",3159,2723,2201,37390,1.5,1827,1453,1079,892,705,331,0,0,0,0,100,"2078"
"Asia","India","India – West. Ghats","WG","mean",3159,2723,2201,54280,2.2,1658,1115,572,301,29,0,0,0,0,0,100,"2060"
"Asia","India","India – West. Ghats","WG","high",3159,2723,2201,71170,3,1489,777,65,0,0,0,0,0,0,0,100,"2050"
"Asia","Indonesia","Indonesia","IDN","low",141244,127699,116317,932180,0.8,106996,97674,88352,83691,79030,69708,60387,55726,51065,41743,70,"2144"
"Asia","Indonesia","Indonesia","IDN","mean",141244,127699,116317,1215436,1,104163,92009,79854,73777,67700,55546,43391,37314,31237,19083,86,"2115"
"Asia","Indonesia","Indonesia","IDN","high",141244,127699,116317,1498693,1.2,101330,86344,71357,63863,56370,41383,26396,18902,11409,0,100,"2097"
"Asia","Laos","Laos","LAO","low",11937,9862,8254,138267,1.5,6871,5488,4106,3414,2723,1340,0,0,0,0,100,"2079"
"Asia","Laos","Laos","LAO","mean",11937,9862,8254,163537,1.8,6618,4983,3348,2530,1712,77,0,0,0,0,100,"2070"
"Asia","Laos","Laos","LAO","high",11937,9862,8254,188807,2.1,6366,4478,2590,1646,702,0,0,0,0,0,100,"2063"
"Asia","Malaysia","Malaysia","MYS","low",25989,22532,20115,219391,1,17921,15727,13533,12436,11339,9145,6951,5854,4757,2563,90,"2111"
"Asia","Malaysia","Malaysia","MYS","mean",25989,22532,20115,269268,1.3,17422,14729,12036,10690,9344,6651,3958,2612,1266,0,100,"2094"
"Asia","Malaysia","Malaysia","MYS","high",25989,22532,20115,319146,1.5,16923,13732,10540,8944,7349,4157,966,0,0,0,100,"2083"
"Asia","Myanmar","Myanmar","MMR","low",18735,15639,13648,176304,1.2,11885,10122,8359,7477,6596,4833,3070,2188,1307,0,100,"2097"
"Asia","Myanmar","Myanmar","MMR","mean",18735,15639,13648,219704,1.5,11451,9254,7057,5958,4860,2663,466,0,0,0,100,"2082"
"Asia","Myanmar","Myanmar","MMR","high",18735,15639,13648,263105,1.8,11017,8386,5755,4439,3124,493,0,0,0,0,100,"2071"
"Asia","New Caledonia","New Caledonia","NCL","low",905,883,853,2365,0.3,829,805,782,770,758,734,711,699,687,663,27,"2380"
"Asia","New Caledonia","New Caledonia","NCL","mean",905,883,853,3246,0.4,820,788,755,739,723,690,658,642,625,593,34,"2282"
"Asia","New Caledonia","New Caledonia","NCL","high",905,883,853,4126,0.5,811,770,729,708,688,646,605,584,564,523,42,"2226"
"Asia","Papua New Guinea","Papua New Guinea","PNG","low",40632,39910,39233,40650,0.1,38827,38420,38014,37810,37607,37201,36794,36591,36388,35981,11,"2985"
"Asia","Papua New Guinea","Papua New Guinea","PNG","mean",40632,39910,39233,67637,0.2,38557,37880,37204,36866,36528,35851,35175,34837,34498,33822,17,"2600"
"Asia","Papua New Guinea","Papua New Guinea","PNG","high",40632,39910,39233,94624,0.2,38287,37341,36394,35921,35448,34502,33556,33082,32609,31663,22,"2434"
"Asia","Philippines","Philippines","PHL","low",14960,13822,12707,56575,0.4,12142,11576,11010,10727,10444,9879,9313,9030,8747,8181,45,"2244"
"Asia","Philippines","Philippines","PHL","mean",14960,13822,12707,104898,0.8,11658,10609,9560,9036,8511,7462,6413,5889,5364,4315,71,"2141"
"Asia","Philippines","Philippines","PHL","high",14960,13822,12707,153220,1.2,11175,9643,8111,7345,6578,5046,3514,2748,1982,450,97,"2102"
"Asia","Singapore","Singapore","SGP","low",17,15,14,107,0.7,13,11,10,10,9,8,7,7,6,5,70,"2146"
"Asia","Singapore","Singapore","SGP","mean",17,15,14,173,1.2,12,10,8,8,7,5,3,2,1,0,100,"2098"
"Asia","Singapore","Singapore","SGP","high",17,15,14,239,1.7,11,9,6,5,4,2,0,0,0,0,100,"2076"
"Asia","Solomon Isl.","Solomon Isl.","SLB","low",2763,2759,2738,962,0,2729,2719,2709,2704,2700,2690,2680,2676,2671,2661,4,"4866"
"Asia","Solomon Isl.","Solomon Isl.","SLB","mean",2763,2759,2738,1872,0.1,2719,2701,2682,2673,2663,2645,2626,2616,2607,2588,6,"3482"
"Asia","Solomon Isl.","Solomon Isl.","SLB","high",2763,2759,2738,2781,0.1,2710,2683,2655,2641,2627,2599,2571,2557,2543,2516,9,"3004"
"Asia","Sri Lanka","Sri Lanka","LKA","low",2114,1753,1576,13767,0.8,1438,1300,1163,1094,1025,887,750,681,612,474,78,"2134"
"Asia","Sri Lanka","Sri Lanka","LKA","mean",2114,1753,1576,21152,1.3,1364,1153,941,835,730,518,307,201,95,0,100,"2094"
"Asia","Sri Lanka","Sri Lanka","LKA","high",2114,1753,1576,28536,1.8,1290,1005,720,577,434,149,0,0,0,0,100,"2075"
"Asia","Thailand","Thailand","THA","low",7317,6410,5811,41180,0.7,5399,4988,4576,4370,4164,3752,3340,3134,2929,2517,66,"2161"
"Asia","Thailand","Thailand","THA","mean",7317,6410,5811,60742,1,5204,4596,3989,3685,3381,2774,2167,1863,1559,952,87,"2115"
"Asia","Thailand","Thailand","THA","high",7317,6410,5811,80305,1.3,5008,4205,3402,3000,2599,1796,993,591,190,0,100,"2092"
"Asia","Timor-Leste","Timor-Leste","TLS","low",134,90,75,781,0.9,67,60,52,48,44,36,28,24,21,13,90,"2116"
"Asia","Timor-Leste","Timor-Leste","TLS","mean",134,90,75,1957,2.4,56,36,17,7,0,0,0,0,0,0,100,"2058"
"Asia","Timor-Leste","Timor-Leste","TLS","high",134,90,75,3134,4.2,44,13,0,0,0,0,0,0,0,0,100,"2044"
"Asia","Vanuatu","Vanuatu","VUT","low",1159,1158,1150,217,0,1148,1145,1143,1142,1141,1139,1137,1136,1135,1132,2,"7318"
"Asia","Vanuatu","Vanuatu","VUT","mean",1159,1158,1150,700,0.1,1143,1136,1129,1125,1122,1115,1108,1104,1101,1094,6,"3662"
"Asia","Vanuatu","Vanuatu","VUT","high",1159,1158,1150,1183,0.1,1138,1126,1114,1108,1103,1091,1079,1073,1067,1055,9,"2991"
"Asia","Vietnam","Vietnam","VNM","low",11004,8814,7528,108445,1.3,6444,5359,4275,3733,3190,2106,1021,479,0,0,100,"2089"
"Asia","Vietnam","Vietnam","VNM","mean",11004,8814,7528,134541,1.6,6183,4837,3492,2819,2146,801,0,0,0,0,100,"2075"
"Asia","Vietnam","Vietnam","VNM","high",11004,8814,7528,160637,2,5922,4315,2709,1906,1103,0,0,0,0,0,100,"2066"
