"area_cont","area_ctry","area_name","area_code","proj","C2020","C2030","C2040","C2050","C2060","C2070","C2080","C2090","C2100"
"America","Brazil","Brazil – Sergipe","SE","high",171,276,1304,1465,1465,1465,1465,1465,1465
"America","Brazil","Brazil – Tocantins","TO","low",17732,9829,17900,27318,33408,33408,33408,33408,33408
"America","Brazil","Brazil – Tocantins","TO","mean",17732,14967,31211,33408,33408,33408,33408,33408,33408
"America","Brazil","Brazil – Tocantins","TO","high",17732,20574,33408,33408,33408,33408,33408,33408,33408
"America","Colombia","Colombia","COL","low",198345,190474,383603,591212,798325,1006990,1230353,1470445,1724358
"America","Colombia","Colombia","COL","mean",198345,216069,439888,676744,911950,1158513,1427151,1714392,2016035
"America","Colombia","Colombia","COL","high",198345,241880,497137,762043,1028295,1318284,1633616,1968712,2316250
"America","Costa Rica","Costa Rica","CRI","low",5661,3972,9110,15086,21620,28567,35986,43972,52607
"America","Costa Rica","Costa Rica","CRI","mean",5661,5268,12277,20395,29210,38802,49367,61033,73915
"America","Costa Rica","Costa Rica","CRI","high",5661,6647,15651,25973,37371,50151,64570,80782,99201
"America","Cuba","Cuba","CUB","low",3178,2273,5084,8068,11094,14207,17480,20841,24230
"America","Cuba","Cuba","CUB","mean",3178,3612,8010,12548,17353,22370,27551,33230,38487
"America","Cuba","Cuba","CUB","high",3178,5028,10978,17290,23969,31143,38487,38487,38487
"America","Dominica","Dominica","DMA","low",80,24,54,83,113,145,178,214,251
"America","Dominica","Dominica","DMA","mean",80,65,136,217,306,401,498,598,698
"America","Dominica","Dominica","DMA","high",80,105,231,375,529,687,844,1005,1171
"America","Dominican Rep.","Dominican Rep.","DOM","low",4050,2374,5110,8043,11134,14420,17939,21769,26166
"America","Dominican Rep.","Dominican Rep.","DOM","mean",4050,4025,8717,13867,19603,26452,31512,31512,31512
"America","Dominican Rep.","Dominican Rep.","DOM","high",4050,5743,12580,20465,30615,31512,31512,31512,31512
"America","Ecuador","Ecuador","ECU","low",39978,21560,49656,80670,113065,147082,182652,219599,257699
"America","Ecuador","Ecuador","ECU","mean",39978,32520,75064,120865,169873,221765,275901,332191,391081
"America","Ecuador","Ecuador","ECU","high",39978,44387,101420,163561,230626,301333,376065,454367,534222
"America","El Salvador","El Salvador","SLV","low",467,391,807,1219,1618,2001,2346,2652,2960
"America","El Salvador","El Salvador","SLV","mean",467,557,1139,1696,2212,2651,3081,3081,3081
"America","El Salvador","El Salvador","SLV","high",467,723,1458,2144,2709,3081,3081,3081,3081
"America","French Guiana","French Guiana","GUF","low",3109,3821,6498,9242,11996,14803,17635,20603,23725
"America","French Guiana","French Guiana","GUF","mean",3109,4356,7540,10822,14136,17511,21053,24814,28769
"America","French Guiana","French Guiana","GUF","high",3109,4856,8587,12401,16295,20339,24672,29271,34064
"America","Grenada","Grenada","GRD","low",60,8,18,30,42,54,66,78,91
"America","Grenada","Grenada","GRD","mean",60,55,121,196,280,369,462,513,513
"America","Grenada","Grenada","GRD","high",60,108,247,407,513,513,513,513,513
"America","Guadeloupe","Guadeloupe","GLP","low",80,49,96,144,194,238,279,318,358
"America","Guadeloupe","Guadeloupe","GLP","mean",80,82,164,241,308,377,450,526,609
"America","Guadeloupe","Guadeloupe","GLP","high",80,112,228,324,423,530,649,788,955
"America","Guatemala","Guatemala","GTM","low",17002,15040,32824,52369,73708,97313,117904,117904,117904
"America","Guatemala","Guatemala","GTM","mean",17002,19109,41948,67506,96273,117904,117904,117904,117904
"America","Guatemala","Guatemala","GTM","high",17002,23310,51511,83713,117904,117904,117904,117904,117904
"America","Guyana","Guyana","GUY","low",14196,20519,35952,49115,62669,76662,90813,105290,120046
"America","Guyana","Guyana","GUY","mean",14196,26593,44843,62981,81770,100946,120691,140640,160792
"America","Guyana","Guyana","GUY","high",14196,31684,53992,77285,101270,126058,151195,176585,202055
"America","Haiti","Haiti","HTI","low",935,846,1665,2557,2726,2726,2726,2726,2726
"America","Haiti","Haiti","HTI","mean",935,1087,2184,2726,2726,2726,2726,2726,2726
"America","Haiti","Haiti","HTI","high",935,1315,2678,2726,2726,2726,2726,2726,2726
"America","Honduras","Honduras","HND","low",18690,15926,32917,49352,65120,80862,98731,121483,128616
"America","Honduras","Honduras","HND","mean",18690,21162,43096,63858,84568,110253,128616,128616,128616
"America","Honduras","Honduras","HND","high",18690,26368,52936,78246,108369,128616,128616,128616,128616
"America","Jamaica","Jamaica","JAM","low",987,572,1174,1819,2496,3195,3911,4637,5376
"America","Jamaica","Jamaica","JAM","mean",987,998,2103,3291,4526,5797,7140,8578,10143
"America","Jamaica","Jamaica","JAM","high",987,1443,3087,4836,6680,8698,10977,13603,15875
"America","Martinique","Martinique","MTQ","low",89,42,90,139,192,246,301,357,415
"America","Martinique","Martinique","MTQ","mean",89,75,161,254,349,448,549,655,765
"America","Martinique","Martinique","MTQ","high",89,110,238,373,515,663,822,996,1192
"America","Mexico","Mexico","MEX","low",44771,36351,73231,111936,152045,193196,236102,265566,265566
"America","Mexico","Mexico","MEX","mean",44771,51250,104979,161576,220610,265566,265566,265566,265566
"America","Mexico","Mexico","MEX","high",44771,66555,137760,213042,265566,265566,265566,265566,265566
"America","Montserrat","Montserrat","MSR","low",2,1,1,2,3,3,4,5,5
"America","Montserrat","Montserrat","MSR","mean",2,2,4,6,8,9,11,13,15
"America","Montserrat","Montserrat","MSR","high",2,3,6,9,12,16,19,22,26
"America","Nicaragua","Nicaragua","NIC","low",36257,26250,52758,79885,105685,137263,171930,171930,171930
"America","Nicaragua","Nicaragua","NIC","mean",36257,43065,86923,133372,171930,171930,171930,171930,171930
"America","Nicaragua","Nicaragua","NIC","high",36257,60047,120970,171930,171930,171930,171930,171930,171930
"America","Panama","Panama","PAN","low",7496,6537,13337,20445,28150,36596,45475,54687,64279
"America","Panama","Panama","PAN","mean",7496,8243,16885,26247,36734,47930,59652,72071,85370
"America","Panama","Panama","PAN","high",7496,9963,20562,32502,45759,59804,74849,91213,108994
"America","Paraguay","Paraguay","PRY","low",20021,12466,23547,34092,44481,50813,50813,50813,50813
"America","Paraguay","Paraguay","PRY","mean",20021,20824,39200,50813,50813,50813,50813,50813,50813
"America","Paraguay","Paraguay","PRY","high",20021,28675,50813,50813,50813,50813,50813,50813,50813
"America","Peru","Peru","PER","low",139939,133408,276685,422553,569056,714758,859371,1003509,1147650
"America","Peru","Peru","PER","mean",139939,146165,303378,462960,622674,781175,938717,1096102,1253547
"America","Peru","Peru","PER","high",139939,159160,330104,503319,676193,847506,1018052,1188654,1359673
"America","Puerto Rico","Puerto Rico","PRI","low",1398,455,1050,1716,2437,3208,4034,4907,5831
"America","Puerto Rico","Puerto Rico","PRI","mean",1398,1168,2714,4506,6540,8835,11415,13358,13358
"America","Puerto Rico","Puerto Rico","PRI","high",1398,1973,4666,7945,11882,13358,13358,13358,13358
"America","Saint Kitts and N.","Saint Kitts and N.","KNA","low",7,1,5,9,13,17,22,26,31
"America","Saint Kitts and N.","Saint Kitts and N.","KNA","mean",7,5,13,23,32,42,52,63,74
"America","Saint Kitts and N.","Saint Kitts and N.","KNA","high",7,9,22,37,52,68,85,104,123
"America","Saint Lucia","Saint Lucia","LCA","low",57,23,48,71,95,120,145,170,195
"America","Saint Lucia","Saint Lucia","LCA","mean",57,56,112,170,229,292,357,426,500
"America","Saint Lucia","Saint Lucia","LCA","high",57,87,179,273,376,488,612,747,895
"America","Saint Martin","Saint Martin","MAF","low",4,1,2,3,4,4,4,4,4
"America","Saint Martin","Saint Martin","MAF","mean",4,4,4,4,4,4,4,4,4
"America","Saint Martin","Saint Martin","MAF","high",4,4,4,4,4,4,4,4,4
"America","Saint Vincent","Saint Vincent","VCT","low",13,2,7,13,19,26,32,38,44
"America","Saint Vincent","Saint Vincent","VCT","mean",13,9,24,38,54,70,88,107,127
"America","Saint Vincent","Saint Vincent","VCT","high",13,18,41,65,93,124,159,199,242
"America","Sint Maarten","Sint Maarten","SXM","low",1,0,1,1,1,1,1,1,1
"America","Sint Maarten","Sint Maarten","SXM","mean",1,1,1,1,1,1,1,1,1
"America","Sint Maarten","Sint Maarten","SXM","high",1,1,1,1,1,1,1,1,1
"America","Suriname","Suriname","SUR","low",13561,14205,28234,40862,53279,65906,78328,90534,102757
"America","Suriname","Suriname","SUR","mean",13561,17657,34429,49832,65469,80860,96025,111146,126393
"America","Suriname","Suriname","SUR","high",13561,21102,40450,58938,77486,95605,113688,131947,150447
"America","Trinidad and Tobago","Trinidad and Tobago","TTO","low",667,227,500,772,1061,1354,1663,1979,2306
"America","Trinidad and Tobago","Trinidad and Tobago","TTO","mean",667,694,1488,2360,3292,4285,5346,6494,7752
"America","Trinidad and Tobago","Trinidad and Tobago","TTO","high",667,1189,2602,4182,5944,7968,9347,11539,11539
"America","Venezuela","Venezuela","VEN","low",97556,61993,131601,209349,292081,379831,471932,567789,667054
"America","Venezuela","Venezuela","VEN","mean",97556,93530,204950,328050,461546,603318,752535,908785,1069926
"America","Venezuela","Venezuela","VEN","high",97556,127483,282679,456354,644838,846163,1057730,1275595,1498053
"America","Virgin Isl. UK","Virgin Isl. UK","VGB","low",18,7,16,27,41,52,52,52,52
"America","Virgin Isl. UK","Virgin Isl. UK","VGB","mean",18,24,52,52,52,52,52,52,52
"America","Virgin Isl. UK","Virgin Isl. UK","VGB","high",18,48,52,52,52,52,52,52,52
"America","Virgin Isl. US","Virgin Isl. US","VIR","low",46,24,50,72,87,103,119,136,154
"America","Virgin Isl. US","Virgin Isl. US","VIR","mean",46,69,115,164,197,197,197,197,197
"America","Virgin Isl. US","Virgin Isl. US","VIR","high",46,99,180,197,197,197,197,197,197
"Africa","Angola","Angola","AGO","low",42339,38483,74395,110679,148678,187475,226296,273121,361820
"Africa","Angola","Angola","AGO","mean",42339,50866,99434,150323,202743,258170,361820,361820,361820
"Africa","Angola","Angola","AGO","high",42339,63403,125259,190786,260401,361820,361820,361820,361820
"Africa","Benin","Benin","BEN","low",65,43,89,143,170,170,170,170,170
"Africa","Benin","Benin","BEN","mean",65,73,157,170,170,170,170,170,170
"Africa","Benin","Benin","BEN","high",65,101,170,170,170,170,170,170,170
